STATEFP,SLDLST,AFFGEOID,GEOID,NAME,LSAD,LSY,ALAND,AWATER,type,SLDUST
01,016,620L500US01016,01016,16,LL,2016,3754988059,43223365,lower,NA
01,021,620L500US01021,01021,21,LL,2016,220493600,1149174,lower,NA
01,001,620L500US01001,01001,1,LL,2016,534624710,3500214,lower,NA
01,083,620L500US01083,01083,83,LL,2016,763396487,4634451,lower,NA
01,030,620L500US01030,01030,30,LL,2016,1166833284,44153444,lower,NA
01,029,620L500US01029,01029,29,LL,2016,1136963182,10153248,lower,NA
01,006,620L500US01006,01006,6,LL,2016,397102127,1909955,lower,NA
01,061,620L500US01061,01061,61,LL,2016,2550001151,16711879,lower,NA
01,065,620L500US01065,01065,65,LL,2016,7111972690,39445801,lower,NA
01,103,620L500US01103,01103,103,LL,2016,106318814,6955697,lower,NA
01,037,620L500US01037,01037,37,LL,2016,3218187995,26145242,lower,NA
01,027,620L500US01027,01027,27,LL,2016,1210407976,119834779,lower,NA
01,015,620L500US01015,01015,15,LL,2016,406978408,4162136,lower,NA
01,096,620L500US01096,01096,96,LL,2016,474113178,189937194,lower,NA
01,011,620L500US01011,01011,11,LL,2016,1318716367,9093929,lower,NA
01,049,620L500US01049,01049,49,LL,2016,1551850338,10433419,lower,NA
01,079,620L500US01079,01079,79,LL,2016,120288028,2186556,lower,NA
01,050,620L500US01050,01050,50,LL,2016,664636459,9652799,lower,NA
01,012,620L500US01012,01012,12,LL,2016,1105189525,44359739,lower,NA
01,045,620L500US01045,01045,45,LL,2016,489541374,13499807,lower,NA
01,054,620L500US01054,01054,54,LL,2016,74699926,107073,lower,NA
01,051,620L500US01051,01051,51,LL,2016,508779935,1809333,lower,NA
01,010,620L500US01010,01010,10,LL,2016,346672839,18159965,lower,NA
01,036,620L500US01036,01036,36,LL,2016,522647225,36041095,lower,NA
01,055,620L500US01055,01055,55,LL,2016,91763543,145996,lower,NA
01,002,620L500US01002,01002,2,LL,2016,904997867,92311891,lower,NA
01,003,620L500US01003,01003,3,LL,2016,807289020,93551292,lower,NA
01,068,620L500US01068,01068,68,LL,2016,5848946334,93385179,lower,NA
01,046,620L500US01046,01046,46,LL,2016,58581461,325993,lower,NA
01,017,620L500US01017,01017,17,LL,2016,3205790768,6820733,lower,NA
01,019,620L500US01019,01019,19,LL,2016,168999520,373508,lower,NA
01,062,620L500US01062,01062,62,LL,2016,938310443,10329970,lower,NA
01,067,620L500US01067,01067,67,LL,2016,3143428971,41966090,lower,NA
01,078,620L500US01078,01078,78,LL,2016,202410617,13745208,lower,NA
01,042,620L500US01042,01042,42,LL,2016,1769828285,6345219,lower,NA
01,059,620L500US01059,01059,59,LL,2016,108725774,296551,lower,NA
01,033,620L500US01033,01033,33,LL,2016,2164167434,65301944,lower,NA
01,041,620L500US01041,01041,41,LL,2016,1002827710,38491079,lower,NA
01,004,620L500US01004,01004,4,LL,2016,753385490,115453617,lower,NA
01,084,620L500US01084,01084,84,LL,2016,4895697799,68612984,lower,NA
01,022,620L500US01022,01022,22,LL,2016,1955690775,13073915,lower,NA
01,088,620L500US01088,01088,88,LL,2016,184601785,11936774,lower,NA
01,007,620L500US01007,01007,7,LL,2016,1983081911,21025298,lower,NA
01,018,620L500US01018,01018,18,LL,2016,2876005327,147163939,lower,NA
01,093,620L500US01093,01093,93,LL,2016,839754770,1180508,lower,NA
01,066,620L500US01066,01066,66,LL,2016,2588340043,29809897,lower,NA
01,031,620L500US01031,01031,31,LL,2016,1322023135,80431941,lower,NA
01,071,620L500US01071,01071,71,LL,2016,5090859357,74703745,lower,NA
01,064,620L500US01064,01064,64,LL,2016,2135478921,18113851,lower,NA
01,081,620L500US01081,01081,81,LL,2016,2607885635,157086946,lower,NA
01,063,620L500US01063,01063,63,LL,2016,294848343,21510488,lower,NA
01,060,620L500US01060,01060,60,LL,2016,153780981,194312,lower,NA
01,014,620L500US01014,01014,14,LL,2016,2584399509,69016036,lower,NA
01,044,620L500US01044,01044,44,LL,2016,243135363,3480476,lower,NA
01,073,620L500US01073,01073,73,LL,2016,276270654,2993236,lower,NA
01,070,620L500US01070,01070,70,LL,2016,68593619,904325,lower,NA
01,028,620L500US01028,01028,28,LL,2016,344494568,6983277,lower,NA
01,026,620L500US01026,01026,26,LL,2016,394927787,27040962,lower,NA
01,053,620L500US01053,01053,53,LL,2016,61768684,631933,lower,NA
01,048,620L500US01048,01048,48,LL,2016,97541761,4027803,lower,NA
01,038,620L500US01038,01038,38,LL,2016,966637937,13386611,lower,NA
01,102,620L500US01102,01102,102,LL,2016,1412538850,14864513,lower,NA
01,058,620L500US01058,01058,58,LL,2016,48909854,17269,lower,NA
01,101,620L500US01101,01101,101,LL,2016,105080805,5430867,lower,NA
01,080,620L500US01080,01080,80,LL,2016,206232963,1359060,lower,NA
01,052,620L500US01052,01052,52,LL,2016,37741643,71948,lower,NA
01,091,620L500US01091,01091,91,LL,2016,1381698498,1906497,lower,NA
01,086,620L500US01086,01086,86,LL,2016,1234090574,4505920,lower,NA
01,034,620L500US01034,01034,34,LL,2016,1119914982,11986897,lower,NA
01,072,620L500US01072,01072,72,LL,2016,4278840857,68842627,lower,NA
01,056,620L500US01056,01056,56,LL,2016,172223585,802472,lower,NA
01,043,620L500US01043,01043,43,LL,2016,122558864,3312312,lower,NA
01,047,620L500US01047,01047,47,LL,2016,43843852,629107,lower,NA
01,105,620L500US01105,01105,105,LL,2016,602373487,919104912,lower,NA
01,009,620L500US01009,01009,9,LL,2016,968862532,9235914,lower,NA
01,099,620L500US01099,01099,99,LL,2016,102376495,259499,lower,NA
01,095,620L500US01095,01095,95,LL,2016,461029701,666614391,lower,NA
01,074,620L500US01074,01074,74,LL,2016,64571065,263536,lower,NA
01,023,620L500US01023,01023,23,LL,2016,1734443570,120081394,lower,NA
01,082,620L500US01082,01082,82,LL,2016,2388889779,16687886,lower,NA
01,098,620L500US01098,01098,98,LL,2016,379683330,16788844,lower,NA
01,008,620L500US01008,01008,8,LL,2016,213048008,2426821,lower,NA
01,005,620L500US01005,01005,5,LL,2016,610064909,5516867,lower,NA
01,039,620L500US01039,01039,39,LL,2016,2666758489,122245485,lower,NA
01,020,620L500US01020,01020,20,LL,2016,106788281,130503,lower,NA
01,025,620L500US01025,01025,25,LL,2016,118380749,838246,lower,NA
01,077,620L500US01077,01077,77,LL,2016,41330803,36982,lower,NA
01,076,620L500US01076,01076,76,LL,2016,51189357,264611,lower,NA
01,085,620L500US01085,01085,85,LL,2016,1520569144,17010724,lower,NA
01,024,620L500US01024,01024,24,LL,2016,1194880611,2916348,lower,NA
01,075,620L500US01075,01075,75,LL,2016,818041747,17335301,lower,NA
