STATEFP,SLDUST,AFFGEOID,GEOID,NAME,LSAD,LSY,ALAND,AWATER,type
01,019,610U500US01019,01019,19,LU,2016,496117139,3328474,upper
01,030,610U500US01030,01030,30,LU,2016,5044855668,161222282,upper
01,008,610U500US01008,01008,8,LU,2016,4745766728,132288610,upper
01,017,610U500US01017,01017,17,LU,2016,2442122566,30537231,upper
01,031,610U500US01031,01031,31,LU,2016,7156639205,44427036,upper
01,021,610U500US01021,01021,21,LU,2016,4518127735,31930060,upper
01,012,610U500US01012,01012,12,LU,2016,2706566252,24347654,upper
01,032,610U500US01032,01032,32,LU,2016,1200611780,1000192920,upper
01,018,610U500US01018,01018,18,LU,2016,260115060,1682442,upper
01,010,610U500US01010,01010,10,LU,2016,2954824890,137710470,upper
01,005,610U500US01005,01005,5,LU,2016,6839326215,146877488,upper
01,035,610U500US01035,01035,35,LU,2016,848125868,927926928,upper
01,007,610U500US01007,01007,7,LU,2016,508778671,2763656,upper
01,023,610U500US01023,01023,23,LU,2016,16375103141,186764358,upper
01,016,610U500US01016,01016,16,LU,2016,204058894,6766406,upper
01,009,610U500US01009,01009,9,LU,2016,2644833465,157423582,upper
01,022,610U500US01022,01022,22,LU,2016,12043660173,194787043,upper
01,027,610U500US01027,01027,27,LU,2016,2988797197,138071437,upper
01,014,610U500US01014,01014,14,LU,2016,3371442042,29683179,upper
01,011,610U500US01011,01011,11,LU,2016,2495490171,104556622,upper
01,034,610U500US01034,01034,34,LU,2016,1940792218,40609993,upper
01,006,610U500US01006,01006,6,LU,2016,4938903044,234048341,upper
01,026,610U500US01026,01026,26,LU,2016,566065795,22220714,upper
01,025,610U500US01025,01025,25,LU,2016,3785742440,34993098,upper
01,028,610U500US01028,01028,28,LU,2016,8394352115,99182795,upper
01,001,610U500US01001,01001,1,LU,2016,2367179178,111781812,upper
01,002,610U500US01002,01002,2,LU,2016,579982575,2996056,upper
01,015,610U500US01015,01015,15,LU,2016,1507735606,33939036,upper
01,024,610U500US01024,01024,24,LU,2016,9959292830,140672029,upper
01,020,610U500US01020,01020,20,LU,2016,311221111,1131483,upper
01,003,610U500US01003,01003,3,LU,2016,2042523343,149036094,upper
01,013,610U500US01013,01013,13,LU,2016,6345954271,75447602,upper
01,033,610U500US01033,01033,33,LU,2016,230126199,99166891,upper
01,004,610U500US01004,01004,4,LU,2016,4963660782,67772480,upper
01,029,610U500US01029,01029,29,LU,2016,3395536849,16658399,upper
02,00B,610U500US0200B,0200B,B,LU,2016,2237217521,5096114,upper
02,00O,610U500US0200O,0200O,O,LU,2016,8016545815,2539544115,upper
02,00N,610U500US0200N,0200N,N,LU,2016,1602098384,157635906,upper
02,00Q,610U500US0200Q,0200Q,Q,LU,2016,22971480377,5358219084,upper
02,00D,610U500US0200D,0200D,D,LU,2016,1548377180,379006781,upper
02,00C,610U500US0200C,0200C,C,LU,2016,316561242799,4568812266,upper
02,00I,610U500US0200I,0200I,I,LU,2016,22133631,226380,upper
02,00G,610U500US0200G,0200G,G,LU,2016,1029932898,73913093,upper
02,00M,610U500US0200M,0200M,M,LU,2016,45575729,27202,upper
02,00R,610U500US0200R,0200R,R,LU,2016,55972033342,34610532299,upper
02,00P,610U500US0200P,0200P,P,LU,2016,89001183088,83019695948,upper
02,00L,610U500US0200L,0200L,L,LU,2016,39862951,55442258,upper
02,00K,610U500US0200K,0200K,K,LU,2016,67718158,234567692,upper
02,00T,610U500US0200T,0200T,T,LU,2016,551074549406,50118486178,upper
02,00A,610U500US0200A,0200A,A,LU,2016,110420531,2655007,upper
02,00S,610U500US0200S,0200S,S,LU,2016,329474355514,93351917919,upper
02,00E,610U500US0200E,0200E,E,LU,2016,96254374946,3005739747,upper
02,00F,610U500US0200F,0200F,F,LU,2016,2473789050,214126735,upper
02,00H,610U500US0200H,0200H,H,LU,2016,64719691,18904102,upper
02,00J,610U500US0200J,0200J,J,LU,2016,20620555,9312485,upper
04,006,610U500US04006,04006,6,LU,2016,26365864725,109643666,upper
04,027,610U500US04027,04027,27,LU,2016,656309412,1248329,upper
04,014,610U500US04014,04014,14,LU,2016,31431928731,167811825,upper
04,007,610U500US04007,04007,7,LU,2016,95540089480,212268861,upper
04,023,610U500US04023,04023,23,LU,2016,3147759796,34390499,upper
04,011,610U500US04011,04011,11,LU,2016,5090711905,3929152,upper
04,017,610U500US04017,04017,17,LU,2016,173440349,689746,upper
04,008,610U500US04008,04008,8,LU,2016,10790503791,19604897,upper
04,005,610U500US04005,04005,5,LU,2016,43758235036,419546130,upper
04,009,610U500US04009,04009,9,LU,2016,236679744,788990,upper
04,019,610U500US04019,04019,19,LU,2016,277968865,1867147,upper
04,016,610U500US04016,04016,16,LU,2016,515779044,491795,upper
04,001,610U500US04001,04001,1,LU,2016,20703759876,11956435,upper
