name,image_filepath,original_image_url,party,state,chamber,district
Bert Stedman,,http://akleg.gov/images/legislators/smn.jpg,Republican,ak,Senate,R
Bill Wielechowski,,http://akleg.gov/images/legislators/wie.jpg,Democratic,ak,Senate,H
George Rauscher,,http://akleg.gov/images/legislators/rau.jpg,Republican,ak,House,9
Natasha von Imhof,,http://akleg.gov/images/legislators/von.jpg,Republican,ak,Senate,L
David Talerico,,http://akleg.gov/images/legislators/tal.jpg,Republican,ak,House,6
Chris Tuck,,http://akleg.gov/images/legislators/tuc.jpg,Democratic,ak,House,23
Neal Foster,,http://akleg.gov/images/legislators/fon.jpg,Democratic,ak,House,39
Gabrielle LeDoux,,http://akleg.gov/images/legislators/leu.jpg,Republican,ak,House,15
Ivy Spohnholz,,http://akleg.gov/images/legislators/spn.jpg,Democratic,ak,House,16
Geran Tarr,,http://akleg.gov/images/legislators/tar.jpg,Democratic,ak,House,19
Chuck Kopp,,http://akleg.gov/images/legislators/kop.jpg,Republican,ak,House,24
Lance Pruitt,,http://akleg.gov/images/legislators/pru.jpg,Republican,ak,House,27
John Coghill,,http://akleg.gov/images/legislators/cgl.jpg,Republican,ak,Senate,B
Jonathan Kreiss-Tomkins,,http://akleg.gov/images/legislators/kre.jpg,Democratic,ak,House,35
Cathy Tilton,,http://akleg.gov/images/legislators/tlt.jpg,Republican,ak,House,12
Dan Ortiz,,http://akleg.gov/images/legislators/ort.jpg,Independent,ak,House,36
DeLena Johnson,,http://akleg.gov/images/legislators/jhs.jpg,Republican,ak,House,11
Cathy Giessel,,http://akleg.gov/images/legislators/gie.jpg,Republican,ak,Senate,N
Tom Begich,,http://akleg.gov/images/legislators/bch.jpg,Democratic,ak,Senate,J
Donald Olson,,http://akleg.gov/images/legislators/ols.jpg,Democratic,ak,Senate,T
Colleen Sullivan-Leonard,,http://akleg.gov/images/legislators/sul.jpg,Republican,ak,House,7
Gary Knopp,,http://akleg.gov/images/legislators/kno.jpg,Republican,ak,House,30
Peter Micciche,,http://akleg.gov/images/legislators/mhe.jpg,Republican,ak,Senate,O
Tammie Wilson,,http://akleg.gov/images/legislators/wlt.jpg,Republican,ak,House,3
Mark Neuman,,http://akleg.gov/images/legislators/neu.jpg,Republican,ak,House,8
Lyman Hoffman,,http://akleg.gov/images/legislators/hof.jpg,Democratic,ak,Senate,S
Jennifer Johnston,,http://akleg.gov/images/legislators/jht.jpg,Republican,ak,House,28
Click Bishop,,http://akleg.gov/images/legislators/bis.jpg,Republican,ak,Senate,C
David Wilson,,http://akleg.gov/images/legislators/wln.jpg,Republican,ak,Senate,D
Harriet Drummond,,http://akleg.gov/images/legislators/dru.jpg,Democratic,ak,House,18
John Lincoln,,http://akleg.gov/images/legislators/lic.jpg,Democratic,ak,House,40
Tiffany Zulkosky,,http://akleg.gov/images/legislators/zul.jpg,Democratic,ak,House,38
Andy Josephson,,http://akleg.gov/images/legislators/jos.jpg,Democratic,ak,House,17
Bryce Edgmon,,http://akleg.gov/images/legislators/edg.jpg,Democratic,ak,House,37
Matt Claman,,http://akleg.gov/images/legislators/cla.jpg,Democratic,ak,House,21
Mike Shower,,http://akleg.gov/images/legislators/sho.jpg,Republican,ak,Senate,E
Adam Wool,,http://akleg.gov/images/legislators/woo.jpg,Democratic,ak,House,5
Louise Stutes,,http://akleg.gov/images/legislators/sts.jpg,Republican,ak,House,32
Mia Costello,,http://akleg.gov/images/legislators/cos.jpg,Republican,ak,Senate,K
Gary Stevens,,http://akleg.gov/images/legislators/stg.jpg,Republican,ak,Senate,P
David Eastman,,http://akleg.gov/images/legislators/eas.jpg,Republican,ak,House,10
Steve Thompson,,http://akleg.gov/images/legislators/thp.jpg,Republican,ak,House,2
Chris Birch,,http://akleg.gov/images/legislators/bir.jpg,Republican,ak,Senate,M
Laddie Shaw,,http://akleg.gov/images/legislators/shw.jpg,Republican,ak,House,26
Jesse Kiehl,,http://akleg.gov/images/legislators/kie.jpg,Democratic,ak,Senate,Q
Lora Reinbold,,http://akleg.gov/images/legislators/rei.jpg,Republican,ak,Senate,G
Ben Carpenter,,http://akleg.gov/images/legislators/cae.jpg,Republican,ak,House,29
Andi Story,,http://akleg.gov/images/legislators/sto.jpg,Democratic,ak,House,34
Barton LeBon,,http://akleg.gov/images/legislators/leb.jpg,Republican,ak,House,1
Scott Kawasaki,,http://akleg.gov/images/legislators/kaw.jpg,Democratic,ak,Senate,A
Grier Hopkins,,http://akleg.gov/images/legislators/hpk.jpg,Democratic,ak,House,4
Elvi Gray-Jackson,,http://akleg.gov/images/legislators/gra.jpg,Democratic,ak,Senate,I
Sara Rasmussen,,http://akleg.gov/images/legislators/ras.jpg,Republican,ak,House,22
Josh Revak,,http://akleg.gov/images/legislators/rea.jpg,Republican,ak,House,25
William Fields,,http://akleg.gov/images/legislators/fie.jpg,Democratic,ak,House,20
Kelly Merrick,,http://akleg.gov/images/legislators/mrr.jpg,Republican,ak,House,14
Sarah Vance,,http://akleg.gov/images/legislators/van.jpg,Republican,ak,House,31
Sara Hannan,,http://akleg.gov/images/legislators/hnn.jpg,Democratic,ak,House,33
Sharon Jackson,,http://akleg.gov/images/legislators/jak.jpg,Republican,ak,House,13
Shelley Hughes,,http://akleg.gov/images/legislators/hus.jpg,Republican,ak,Senate,F
