name,image_filepath,original_image_url,party,state,chamber,district
Will Bond,,http://www.arkleg.state.ar.us/Content/photos/Senate/515_sm.jpg,Democratic,ar,Senate,32
Dwight Tosh,,http://www.arkleg.state.ar.us/Content/photos/House/503_sm.jpg,Republican,ar,House,52
Rick Beck,,http://www.arkleg.state.ar.us/Content/photos/House/467_sm.jpg,Republican,ar,House,65
Robin Lundstrum,,http://www.arkleg.state.ar.us/Content/photos/House/490_sm.jpg,Republican,ar,House,87
Ricky Hill,,http://www.arkleg.state.ar.us/Content/photos/Senate/545_sm.jpg,Republican,ar,Senate,29
Lane Jean,,http://www.arkleg.state.ar.us/Content/photos/House/364_sm.jpg,Republican,ar,House,2
Terry Rice,,http://www.arkleg.state.ar.us/Content/photos/Senate/510_sm.jpg,Republican,ar,Senate,9
Stephanie Flowers,,http://www.arkleg.state.ar.us/Content/photos/Senate/339_sm.jpg,Democratic,ar,Senate,25
Karilyn Brown,,http://www.arkleg.state.ar.us/Content/photos/House/466_sm.jpg,Republican,ar,House,41
Lance Eads,,http://www.arkleg.state.ar.us/Content/photos/Senate/516_sm.jpg,Republican,ar,Senate,7
Steve Hollowell,,http://www.arkleg.state.ar.us/Content/photos/House/527_sm.jpg,Republican,ar,House,49
Grant Hodges,,http://www.arkleg.state.ar.us/Content/photos/House/486_sm.jpg,Republican,ar,House,96
John Cooper,,http://www.arkleg.state.ar.us/Content/photos/Senate/455_sm.jpg,Republican,ar,Senate,21
Clint Penzo,,http://www.arkleg.state.ar.us/Content/photos/House/532_sm.jpg,Republican,ar,House,88
Jon S. Eubanks,,http://www.arkleg.state.ar.us/Content/photos/House/357_sm.jpg,Republican,ar,House,74
Dan Sullivan,,http://www.arkleg.state.ar.us/Content/photos/House/502_sm.jpg,Republican,ar,House,53
Sonia Eubanks Barker,,http://www.arkleg.state.ar.us/Content/photos/House/520_sm.jpg,Republican,ar,House,7
Trent Garner,,http://www.arkleg.state.ar.us/Content/photos/Senate/517_sm.jpg,Republican,ar,Senate,27
Danny Watson,,http://www.arkleg.state.ar.us/Content/photos/House/536_sm.jpg,Republican,ar,House,3
Monte Hodges,,http://www.arkleg.state.ar.us/Content/photos/House/428_sm.jpg,Democratic,ar,House,55
Fredrick J. Love,,http://www.arkleg.state.ar.us/Content/photos/House/370_sm.jpg,Democratic,ar,House,29
Scott Flippo,,http://www.arkleg.state.ar.us/Content/photos/Senate/508_sm.jpg,Republican,ar,Senate,17
Frances Cavenaugh,,http://www.arkleg.state.ar.us/Content/photos/House/522_sm.jpg,Republican,ar,House,60
Jason Rapert,,http://www.arkleg.state.ar.us/Content/photos/Senate/344_sm.jpg,Republican,ar,Senate,35
Rebecca Petty,,http://www.arkleg.state.ar.us/Content/photos/House/494_sm.jpg,Republican,ar,House,94
"Milton Nicks, Jr.",,http://www.arkleg.state.ar.us/Content/photos/House/493_sm.jpg,Democratic,ar,House,50
Cecile Bledsoe,,http://www.arkleg.state.ar.us/Content/photos/Senate/283_sm.jpg,Republican,ar,Senate,3
Ron McNair,,http://www.arkleg.state.ar.us/Content/photos/House/492_sm.jpg,Republican,ar,House,98
Jim Dotson,,http://www.arkleg.state.ar.us/Content/photos/House/431_sm.jpg,Republican,ar,House,93
Laurie Rushing,,http://www.arkleg.state.ar.us/Content/photos/House/497_sm.jpg,Republican,ar,House,26
Sarah Capp,,http://www.arkleg.state.ar.us/Content/photos/House/521_sm.jpg,Republican,ar,House,82
Bruce Maloch,,http://www.arkleg.state.ar.us/Content/photos/Senate/399_sm.jpg,Democratic,ar,Senate,12
Brandt Smith,,http://www.arkleg.state.ar.us/Content/photos/House/498_sm.jpg,Republican,ar,House,58
"Jimmy Hickey, Jr",,http://www.arkleg.state.ar.us/Content/photos/Senate/409_sm.jpg,Republican,ar,Senate,11
Bruce Coleman,,http://www.arkleg.state.ar.us/Content/photos/House/523_sm.jpg,Republican,ar,House,81
Andy Davis,,http://www.arkleg.state.ar.us/Content/photos/House/439_sm.jpg,Republican,ar,House,31
Blake Johnson,,http://www.arkleg.state.ar.us/Content/photos/Senate/509_sm.jpg,Republican,ar,Senate,20
Charlene Fite,,http://www.arkleg.state.ar.us/Content/photos/House/422_sm.jpg,Republican,ar,House,80
Vivian Flowers,,http://www.arkleg.state.ar.us/Content/photos/House/479_sm.jpg,Democratic,ar,House,17
Jane English,,http://www.arkleg.state.ar.us/Content/photos/Senate/405_sm.jpg,Republican,ar,Senate,34
John Payton,,http://www.arkleg.state.ar.us/Content/photos/House/443_sm.jpg,Republican,ar,House,64
David Hillman,,http://www.arkleg.state.ar.us/Content/photos/House/441_sm.jpg,Republican,ar,House,13
Bruce Cozart,,http://www.arkleg.state.ar.us/Content/photos/House/392_sm.jpg,Republican,ar,House,24
Kenneth B. Ferguson,,http://www.arkleg.state.ar.us/Content/photos/House/477_sm.jpg,Democratic,ar,House,16
Joyce Elliott,,http://www.arkleg.state.ar.us/Content/photos/Senate/285_sm.jpg,Democratic,ar,Senate,31
Nelda Speaks,,http://www.arkleg.state.ar.us/Content/photos/House/500_sm.jpg,Republican,ar,House,100
John Maddox,,http://www.arkleg.state.ar.us/Content/photos/House/529_sm.jpg,Republican,ar,House,20
Gary Stubblefield,,http://www.arkleg.state.ar.us/Content/photos/Senate/406_sm.jpg,Republican,ar,Senate,6
Gary Deffenbaugh,,http://www.arkleg.state.ar.us/Content/photos/House/355_sm.jpg,Republican,ar,House,79
