name,image_filepath,original_image_url,party,state,chamber,district
Martin Quezada,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/Senate/QUEZADA.gif,Democratic,az,Senate,29
Sine Kerr,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/Senate/KERR.jpg,Republican,az,Senate,13
Sylvia Allen,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/Senate/ALLEN_S.jpg,Republican,az,Senate,6
Lupe Contreras,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/Senate/CONTRERAS.gif,Democratic,az,Senate,19
Sean Bowie,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/Senate/BOWIE.jpg,Democratic,az,Senate,18
David C. Farnsworth,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/Senate/FARNSWORTH_D.jpg,Republican,az,Senate,16
David Bradley,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/Senate/BRADLEY.gif,Democratic,az,Senate,10
Andrea Dalessandro,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/Senate/DALESSANDRO.gif,Democratic,az,Senate,2
Timothy M. Dunn,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/House/DUNN.jpg,Republican,az,House,13
"Reginald Bolding, Jr.",,https://www.azleg.gov/alisImages/MemberPhotos/54leg/House/BOLDING.gif,Democratic,az,House,27
Michelle Ugenti-Rita,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/Senate/UGENTI-RITA.png,Republican,az,Senate,23
J.D. Mesnard,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/Senate/MESNARD.jpg,Republican,az,Senate,17
"Daniel Hernandez, Jr.",,https://www.azleg.gov/alisImages/MemberPhotos/54leg/House/HERNANDEZ_D.jpg,Democratic,az,House,2
"Thomas ""T.J."" Shope, Jr.",,https://www.azleg.gov/alisImages/MemberPhotos/54leg/House/SHOPE.png,Republican,az,House,8
Noel Campbell,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/House/CAMPBELL.gif,Republican,az,House,1
César Chávez,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/House/CHÁVEZ.jpg,Democratic,az,House,29
