name,image_filepath,original_image_url,party,state,chamber,district
Jim Smallwood,/Users/patrick/nra_score_map/img/co/2020a_smallwood%2C%20jim.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_smallwood%2C%20jim.jpg,Republican,co,Senate,4
Vicki Marble,/Users/patrick/nra_score_map/img/co/2020a_marble%2C%20vicki.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_marble%2C%20vicki.jpg,Republican,co,Senate,23
Ray Scott,/Users/patrick/nra_score_map/img/co/2020a_scott%2C%20ray.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_scott%2C%20ray.jpg,Republican,co,Senate,7
Hugh McKean,/Users/patrick/nra_score_map/img/co/2020a_mckean%2C%20hugh.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_mckean%2C%20hugh.jpg,Republican,co,House,51
Jerry Sonnenberg,/Users/patrick/nra_score_map/img/co/2020a_sonnenberg%2C%20jerry.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_sonnenberg%2C%20jerry.jpg,Republican,co,Senate,1
Jack Tate,/Users/patrick/nra_score_map/img/co/2020a_tate%2C%20john.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_tate%2C%20john.jpg,Republican,co,Senate,27
Perry Buck,/Users/patrick/nra_score_map/img/co/2020a_buck%2C%20perry.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_buck%2C%20perry.jpg,Republican,co,House,49
Leslie Herod,/Users/patrick/nra_score_map/img/co/2020a_herod-17.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_herod-17.jpg,Democratic,co,House,8
Matt Gray,/Users/patrick/nra_score_map/img/co/2020a_gray%2C%20matt.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_gray%2C%20matt.jpg,Democratic,co,House,33
Angela Williams,/Users/patrick/nra_score_map/img/co/2020a_williams%2C%20angela.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_williams%2C%20angela.jpg,Democratic,co,Senate,33
Kevin Van Winkle,/Users/patrick/nra_score_map/img/co/2020a_van%20winkle%2C%20kevin.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_van%20winkle%2C%20kevin.jpg,Republican,co,House,43
Dominique Jackson,/Users/patrick/nra_score_map/img/co/2020a_jackson%2C%20dominique.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_jackson%2C%20dominique.jpg,Democratic,co,House,42
Tracy Kraft-Tharp,/Users/patrick/nra_score_map/img/co/2020a_kraft-tharp%2C%20tracy.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_kraft-tharp%2C%20tracy.jpg,Democratic,co,House,29
Lois Landgraf,/Users/patrick/nra_score_map/img/co/2020a_landgraf-17.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_landgraf-17.jpg,Republican,co,House,21
Daneya Esgar,/Users/patrick/nra_score_map/img/co/2020a_esgar%2C%20daneya.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_esgar%2C%20daneya.jpg,Democratic,co,House,46
Edie Hooton,/Users/patrick/nra_score_map/img/co/2020a_hooten%2C%20edie.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_hooten%2C%20edie.jpg,Democratic,co,House,10
Stephen Humphrey,/Users/patrick/nra_score_map/img/co/2020a_humphrey%2C%20stephen.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_humphrey%2C%20stephen.jpg,Republican,co,House,48
Owen Hill,/Users/patrick/nra_score_map/img/co/2020a_hill%2C%20owen.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_hill%2C%20owen.jpg,Republican,co,Senate,10
Dylan Roberts,/Users/patrick/nra_score_map/img/co/2020a_roberts%2C%20dylan.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_roberts%2C%20dylan.jpg,Democratic,co,House,26
Jovan Melton,/Users/patrick/nra_score_map/img/co/2020a_melton%2C%20jovan.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_melton%2C%20jovan.jpg,Democratic,co,House,41
James Wilson,/Users/patrick/nra_score_map/img/co/2020a_wilson%2C%20james%20d.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_wilson%2C%20james%20d.jpg,Republican,co,House,60
Stephen Fenberg,/Users/patrick/nra_score_map/img/co/2020a_fenberg%2C%20steve.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_fenberg%2C%20steve.jpg,Democratic,co,Senate,18
Terri Carver,/Users/patrick/nra_score_map/img/co/2020a_h_carver.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_h_carver.jpg,Republican,co,House,20
Lori Saine,/Users/patrick/nra_score_map/img/co/2020a_saine%2C%20lori.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_saine%2C%20lori.jpg,Republican,co,House,63
Kerry Donovan,/Users/patrick/nra_score_map/img/co/2020a_donovan%2C%20kerry.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_donovan%2C%20kerry.jpg,Democratic,co,Senate,5
Tony Exum,/Users/patrick/nra_score_map/img/co/2020a_exum%2C%20tony.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_exum%2C%20tony.jpg,Democratic,co,House,17
Marc Catlin,/Users/patrick/nra_score_map/img/co/2020a_catlin%2C%20marc.jpg,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_catlin%2C%20marc.jpg,Republican,co,House,58
Leroy Garcia,/Users/patrick/nra_score_map/img/co/2020a_garcia%2C%20leroy.png,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2020a_garcia%2C%20leroy.png,Democratic,co,Senate,3
