name,image_filepath,original_image_url,party,state,chamber,district
Kenyan McDuffie,,http://dccouncil.us/wp-content/uploads/2017/03/Councilmember_Kenyan_R._McDuffie_Official_Photograph_small-copy-1-125x125-c-default.jpg,Democratic,dc,,Ward 5
Vincent Gray,,http://dccouncil.us/wp-content/uploads/2017/03/Headshot_gray_small-125x125-c-default.jpg,Democratic,dc,,Ward 7
Charles Allen,,http://dccouncil.us/wp-content/uploads/2017/06/C._Allen_small_1-125x125-c-default.jpg,Democratic,dc,,Ward 6
David Grosso,,http://dccouncil.us/wp-content/uploads/2017/03/david_grosso_color__small-copy-2-125x125-c-default.jpg,Independent,dc,,At-Large
Brandon Todd,,http://dccouncil.us/wp-content/uploads/2017/06/CM-Todd-Formal-Headshot-125x125-c-default.jpg,Democratic,dc,,Ward 4
Brianne K. Nadeau,,http://dccouncil.us/wp-content/uploads/2017/03/bkn-125x125-c-default.jpg,Democratic,dc,,Ward 1
Anita Bonds,,http://dccouncil.us/wp-content/uploads/2017/03/Anita-125x125-c-default.jpg,Democratic,dc,,At-Large
Phil Mendelson,,http://dccouncil.us/wp-content/uploads/2017/03/Photo-107-002-125x125-c-default.jpg,Democratic,dc,,At-Large
Jack Evans,,http://dccouncil.us/wp-content/uploads/2017/03/evans-125x125-c-default.jpg,Democratic,dc,,Ward 2
Robert White,,http://dccouncil.us/wp-content/uploads/2017/06/CMWhite_WebsitePhoto_small-125x125-c-default.jpg,Democratic,dc,,At-Large
Mary Cheh,,http://dccouncil.us/wp-content/uploads/2017/06/CMMC_head_shot_140_137_c1-125x125-c-default.jpg,Democratic,dc,,Ward 3
Trayon White,,http://dccouncil.us/wp-content/uploads/2017/06/tw-125x125-c-default.jpg,Democratic,dc,,Ward 8
Elissa Silverman,,http://dccouncil.us/wp-content/uploads/2017/03/silverman2-125x125-c-default.jpg,Independent,dc,,At-Large
