name,image_filepath,original_image_url,party,state,chamber,district
Earl G. Jaques Jr.,,https://legis.delaware.gov/images/default-source/default-album/EarlJaques.jpg?sfvrsn=0,Democratic,de,House,27
Stephanie L. Hansen,,https://legis.delaware.gov/images/default-source/default-album/Hansen.jpg?sfvrsn=0,Democratic,de,Senate,10
Jeff N. Spiegelman,,https://legis.delaware.gov/images/default-source/default-album/JeffSpiegelman2017.jpg?sfvrsn=0,Republican,de,House,11
Paul S. Baumbach,,https://legis.delaware.gov/images/default-source/default-album/PaulBaumbach.jpg?sfvrsn=0,Democratic,de,House,23
Stephanie  T. Bolden,,https://legis.delaware.gov/images/default-source/default-album/StephanieTBolden.jpg?sfvrsn=0,Democratic,de,House,2
Michael Ramone,,https://legis.delaware.gov/images/default-source/default-album/MichaelRamone.jpg?sfvrsn=0,Republican,de,House,21
John Walsh,,https://legis.delaware.gov/images/default-source/default-album/JohnWalsh.jpg?sfvrsn=0,Democratic,de,Senate,9
Anthony Delcollo,,https://legis.delaware.gov/images/default-source/default-album/Delcollo.jpg?sfvrsn=0,Republican,de,Senate,7
William J. Carson,,https://legis.delaware.gov/images/default-source/default-album/WilliamCarson.jpg?sfvrsn=0,Democratic,de,House,28
Debra Heffernan,,https://legis.delaware.gov/images/default-source/default-album/DebraHeffernan.jpg?sfvrsn=0,Democratic,de,House,6
Ernesto B Lopez,,https://legis.delaware.gov/images/default-source/default-album/ErnestLopez.jpg?sfvrsn=0,Republican,de,Senate,6
Kevin S Hensley,,https://legis.delaware.gov/images/default-source/default-album/KevinHensley.jpg?sfvrsn=0,Republican,de,House,9
Ruth Briggs King,,https://legis.delaware.gov/images/default-source/Legislators/RuthBriggsKing.jpg?sfvrsn=2,Republican,de,House,37
Sean M. Lynn,,https://legis.delaware.gov/images/default-source/default-album/SeanLynn.jpg?sfvrsn=0,Democratic,de,House,31
Edward S. Osienski,,https://legis.delaware.gov/images/default-source/default-album/EdwardOsienski.jpg?sfvrsn=0,Democratic,de,House,24
Quinton Johnson,,https://legis.delaware.gov/images/default-source/default-album/QuinnJohnson.jpg?sfvrsn=0,Democratic,de,House,8
Brian Pettyjohn,,https://legis.delaware.gov/images/default-source/Legislators/BrianPettyjohn.jpg?sfvrsn=2,Republican,de,Senate,19
Gerald L. Brady,,https://legis.delaware.gov/images/default-source/default-album/GeraldBrady.jpg?sfvrsn=0,Democratic,de,House,4
Daniel B. Short,,https://legis.delaware.gov/images/default-source/Legislators/DanielShort.jpg?sfvrsn=2,Republican,de,House,39
Colin Bonini,,https://legis.delaware.gov/images/default-source/Legislators/ColinBonini.jpg?sfvrsn=2,Republican,de,Senate,16
Bryant L. Richardson,,https://legis.delaware.gov/images/default-source/Legislators/BryantRichardson.jpg?sfvrsn=2,Republican,de,Senate,21
David B. McBride,,https://legis.delaware.gov/images/default-source/Legislators/DavidBMcBride.jpg?sfvrsn=2,Democratic,de,Senate,13
Sean Matthews,,https://legis.delaware.gov/images/default-source/default-album/SeanMatthews1.jpg?sfvrsn=0,Democratic,de,House,10
Catherine Cloutier,,https://legis.delaware.gov/images/default-source/Legislators/CatherineCloutier.jpg?sfvrsn=2,Republican,de,Senate,5
Gerald W. Hocker,,https://legis.delaware.gov/images/default-source/Legislators/GeraldHocker.jpg?sfvrsn=2,Republican,de,Senate,20
Charles S Postles Jr.,,https://legis.delaware.gov/images/default-source/Legislators/CharlesPostles.jpg?sfvrsn=2,Republican,de,House,33
Dave G. Lawson,,https://legis.delaware.gov/images/default-source/default-album/DavidLawson.jpg?sfvrsn=0,Republican,de,Senate,15
Timothy D. Dukes,,https://legis.delaware.gov/images/default-source/default-album/TimothyDukesbeb3ddfeaf2a6dfeae60ff0000a39f38.jpg?sfvrsn=0,Republican,de,House,40
Ronald E. Gray,,https://legis.delaware.gov/images/default-source/Legislators/RonaldGray.jpg?sfvrsn=2,Republican,de,House,38
John J. Viola,,https://legis.delaware.gov/images/default-source/default-album/JohnViola.jpg?sfvrsn=0,Democratic,de,House,26
Richard G. Collins,,https://legis.delaware.gov/images/default-source/Legislators/RichardCollins.jpg?sfvrsn=2,Republican,de,House,41
Andria L. Bennett,,https://legis.delaware.gov/images/default-source/default-album/AndriaBennett.jpg?sfvrsn=0,Democratic,de,House,32
Nicole Poore,,https://legis.delaware.gov/images/default-source/Legislators/NicolePoore.jpg?sfvrsn=2,Democratic,de,Senate,12
Stephen Smyk,,https://legis.delaware.gov/images/default-source/default-album/StephenSmyk.jpg?sfvrsn=0,Republican,de,House,20
Lyndon D. Yearick,,https://legis.delaware.gov/images/default-source/default-album/LyndonYearick.jpg?sfvrsn=0,Republican,de,House,34
David Bentz,,https://legis.delaware.gov/images/default-source/default-album/DavidBentz1.jpg?sfvrsn=0,Democratic,de,House,18
Valerie Longhurst,,https://legis.delaware.gov/images/default-source/default-album/ValerieLonghurst.jpg?sfvrsn=0,Democratic,de,House,15
Bruce C. Ennis,,https://legis.delaware.gov/images/default-source/Legislators/BruceCEnnis.jpg?sfvrsn=2,Democratic,de,Senate,14
David P. Sokola,,https://legis.delaware.gov/images/default-source/Legislators/DavidPSokola.jpg?sfvrsn=2,Democratic,de,Senate,8
Bryan Townsend,,https://legis.delaware.gov/images/default-source/Legislators/BryanTowsend.jpg?sfvrsn=2,Democratic,de,Senate,11
Kimberly Williams,,https://legis.delaware.gov/images/default-source/default-album/KimberlyWilliams.jpg?sfvrsn=0,Democratic,de,House,19
Peter C. Schwartzkopf,,https://legis.delaware.gov/images/default-source/default-album/PeterSchwartzkopf.jpg?sfvrsn=0,Democratic,de,House,14
Jesse R. Vanderwende,,https://legis.delaware.gov/Content/images/placeholder_leg.png,Republican,de,House,35
Michael F. Smith,,https://legis.delaware.gov/Content/images/placeholder_leg.png,Republican,de,House,22
David L. Wilson,,https://legis.delaware.gov/images/default-source/Legislators/DavidWilson.jpg?sfvrsn=2,Republican,de,Senate,18
Kendra Johnson,,https://legis.delaware.gov/Content/images/placeholder_leg.png,Democratic,de,House,5
S. Elizabeth Lockman,,https://legis.delaware.gov/Content/images/placeholder_leg.png,Democratic,de,Senate,3
Laura Sturgeon,,https://legis.delaware.gov/Content/images/placeholder_leg.png,Democratic,de,Senate,4
Nnamdi O. Chukwuocha,,https://legis.delaware.gov/Content/images/placeholder_leg.png,Democratic,de,House,1
Krista Griffith,,https://legis.delaware.gov/Content/images/placeholder_leg.png,Democratic,de,House,12
Raymond Seigfried,,https://legis.delaware.gov/Content/images/placeholder_leg.png,Democratic,de,House,7
Shannon Morris,,https://legis.delaware.gov/Content/images/placeholder_leg.png,Republican,de,House,30
Melissa Minor-Brown,,https://legis.delaware.gov/Content/images/placeholder_leg.png,Democratic,de,House,17
Sherry Dorsey Walker,,https://legis.delaware.gov/Content/images/placeholder_leg.png,Democratic,de,House,3
Bryan W. Shupe,,https://legis.delaware.gov/Content/images/placeholder_leg.png,Republican,de,House,36
Trey Charles Paradee,,https://legis.delaware.gov/images/default-source/default-album/TreyParadee.jpg?sfvrsn=0,Democratic,de,Senate,17
Darius J. Brown,,https://legis.delaware.gov/Content/images/placeholder_leg.png,Democratic,de,Senate,2
Franklin D. Cooke,,https://legis.delaware.gov/Content/images/placeholder_leg.png,Democratic,de,House,16
William Bush,,https://legis.delaware.gov/Content/images/placeholder_leg.png,Democratic,de,House,29
