name,image_filepath,original_image_url,party,state,chamber,district
Patricia H. Williams,,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4629.jpg,Democratic,fl,House,92
Sharon Pritchett,,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4561.jpg,Democratic,fl,House,102
Daniel Perez,,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4690.jpg,Republican,fl,House,116
Bobby Payne,,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4653.jpg,Republican,fl,House,19
Carlos Guillermo Smith,,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4642.jpg,Democratic,fl,House,49
Al Jacquet,,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4628.jpg,Democratic,fl,House,88
Dane Eagle,,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4573.jpg,Republican,fl,House,77
Jose R. Oliva,,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4534.jpg,Republican,fl,House,110
"Ralph E. Massullo, MD",,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4624.jpg,Republican,fl,House,34
Tracie Davis,,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4651.jpg,Democratic,fl,House,13
Kathleen Passidomo,,http://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/s28_5196.jpg,Republican,fl,Senate,28
"James ""J.W."" Grant",,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4504.jpg,Republican,fl,House,64
Blaise Ingoglia,,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4603.jpg,Republican,fl,House,35
Josie Tomkow,,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4704.jpg,Republican,fl,House,39
Ray Wesley Rodrigues,,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4572.jpg,Republican,fl,House,76
Bruce Antone,,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4269.jpg,Democratic,fl,House,46
Jason Fischer,,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4639.jpg,Republican,fl,House,16
Bryan Avila,,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4615.jpg,Republican,fl,House,111
Jay Trumbull,,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4600.jpg,Republican,fl,House,6
Javier E. Fernández,,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4705.jpg,Democratic,fl,House,114
Bob Rommel,,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4634.jpg,Republican,fl,House,106
Lawrence McClure,,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4686.jpg,Republican,fl,House,58
Kevin J. Rader,,http://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/s29_5032.jpg,Democratic,fl,Senate,29
