name,image_filepath,original_image_url,party,state,chamber,district
Marty Harbin,/Users/patrick/nra_score_map/img/ga/HarbinMarty850.jpg,http://www.senate.ga.gov/SiteCollectionImages/HarbinMarty850.jpg,Republican,ga,Senate,16
Nikema  Williams,/Users/patrick/nra_score_map/img/ga/WilliamsNikema 4919.jpg,http://www.senate.ga.gov/SiteCollectionImages/WilliamsNikema 4919.jpg,Democratic,ga,Senate,39
Michael 'Doc' Rhett,/Users/patrick/nra_score_map/img/ga/RhettMichael 'Doc'855.jpg,http://www.senate.ga.gov/SiteCollectionImages/RhettMichael 'Doc'855.jpg,Democratic,ga,Senate,33
Jennifer Jordan,/Users/patrick/nra_score_map/img/ga/JordanJennifer4918.jpg,http://www.senate.ga.gov/SiteCollectionImages/JordanJennifer4918.jpg,Democratic,ga,Senate,6
Bill Heath,/Users/patrick/nra_score_map/img/ga/HeathBill20.jpg,http://www.senate.ga.gov/SiteCollectionImages/HeathBill20.jpg,Republican,ga,Senate,31
Lester Jackson,/Users/patrick/nra_score_map/img/ga/JacksonLester134.jpg,http://www.senate.ga.gov/SiteCollectionImages/JacksonLester134.jpg,Democratic,ga,Senate,2
John Kennedy,/Users/patrick/nra_score_map/img/ga/KennedyJohn852.jpg,http://www.senate.ga.gov/SiteCollectionImages/KennedyJohn852.jpg,Republican,ga,Senate,18
Gloria Butler,/Users/patrick/nra_score_map/img/ga/ButlerGloria5.jpg,http://www.senate.ga.gov/SiteCollectionImages/ButlerGloria5.jpg,Democratic,ga,Senate,55
Ellis Black,/Users/patrick/nra_score_map/img/ga/BlackEllis66.jpg,http://www.senate.ga.gov/SiteCollectionImages/BlackEllis66.jpg,Republican,ga,Senate,8
Jeff Mullis,/Users/patrick/nra_score_map/img/ga/MullisJeff31.jpg,http://www.senate.ga.gov/SiteCollectionImages/MullisJeff31.jpg,Republican,ga,Senate,53
Chuck  Payne,/Users/patrick/nra_score_map/img/ga/PayneChuck 4909.jpg,http://www.senate.ga.gov/SiteCollectionImages/PayneChuck 4909.jpg,Republican,ga,Senate,54
Steve Gooch,/Users/patrick/nra_score_map/img/ga/GoochSteve752.jpg,http://www.senate.ga.gov/SiteCollectionImages/GoochSteve752.jpg,Republican,ga,Senate,51
Kay Kirkpatrick,/Users/patrick/nra_score_map/img/ga/KirkpatrickKay4910.jpg,http://www.senate.ga.gov/SiteCollectionImages/KirkpatrickKay4910.jpg,Republican,ga,Senate,32
Nan Orrock,/Users/patrick/nra_score_map/img/ga/OrrockNan33.jpg,http://www.senate.ga.gov/SiteCollectionImages/OrrockNan33.jpg,Democratic,ga,Senate,36
Harold Jones II,/Users/patrick/nra_score_map/img/ga/Jones IIHarold851.jpg,http://www.senate.ga.gov/SiteCollectionImages/Jones IIHarold851.jpg,Democratic,ga,Senate,22
Butch Miller,/Users/patrick/nra_score_map/img/ga/MillerButch719.jpg,http://www.senate.ga.gov/SiteCollectionImages/MillerButch719.jpg,Republican,ga,Senate,49
Renee Unterman,/Users/patrick/nra_score_map/img/ga/UntermanRenee53.jpg,http://www.senate.ga.gov/SiteCollectionImages/UntermanRenee53.jpg,Republican,ga,Senate,45
Elena Parent,/Users/patrick/nra_score_map/img/ga/ParentElena768.jpg,http://www.senate.ga.gov/SiteCollectionImages/ParentElena768.jpg,Democratic,ga,Senate,42
Valencia Seay,/Users/patrick/nra_score_map/img/ga/SeayValencia41.jpg,http://www.senate.ga.gov/SiteCollectionImages/SeayValencia41.jpg,Democratic,ga,Senate,34
Joseph Gullett,/Users/patrick/nra_score_map/img/ga/GullettJoseph4936.jpg,http://www.house.ga.gov/SiteCollectionImages/GullettJoseph4936.jpg,Republican,ga,House,19
Steven Sainz,/Users/patrick/nra_score_map/img/ga/SainzSteven4962.jpg,http://www.house.ga.gov/SiteCollectionImages/SainzSteven4962.jpg,Republican,ga,House,180
Ken Pullin,/Users/patrick/nra_score_map/img/ga/PullinKen4957.jpg,http://www.house.ga.gov/SiteCollectionImages/PullinKen4957.jpg,Republican,ga,House,131
Zahra Karinshak,/Users/patrick/nra_score_map/img/ga/KarinshakZahra4932.jpg,http://www.senate.ga.gov/SiteCollectionImages/KarinshakZahra4932.jpg,Democratic,ga,Senate,48
Dale Washburn,/Users/patrick/nra_score_map/img/ga/WashburnDale4958.jpg,http://www.house.ga.gov/SiteCollectionImages/WashburnDale4958.jpg,Republican,ga,House,141
Donna McLeod,/Users/patrick/nra_score_map/img/ga/McLeodDonna4951.jpg,http://www.house.ga.gov/SiteCollectionImages/McLeodDonna4951.jpg,Democratic,ga,House,105
El-Mahdi Holly,/Users/patrick/nra_score_map/img/ga/HollyEl-Mahdi4954.jpg,http://www.house.ga.gov/SiteCollectionImages/HollyEl-Mahdi4954.jpg,Democratic,ga,House,111
Viola Davis,/Users/patrick/nra_score_map/img/ga/DavisViola4947.jpg,http://www.house.ga.gov/SiteCollectionImages/DavisViola4947.jpg,Democratic,ga,House,87
Danny Mathis,/Users/patrick/nra_score_map/img/ga/MathisDanny4959.jpg,http://www.house.ga.gov/SiteCollectionImages/MathisDanny4959.jpg,Republican,ga,House,144
Betsy Holland,/Users/patrick/nra_score_map/img/ga/HollandBetsy4943.jpg,http://www.house.ga.gov/SiteCollectionImages/HollandBetsy4943.jpg,Democratic,ga,House,54
Matthew Gambill,/Users/patrick/nra_score_map/img/ga/GambillMatthew4934.jpg,http://www.house.ga.gov/SiteCollectionImages/GambillMatthew4934.jpg,Republican,ga,House,15
Mary Robichaux,/Users/patrick/nra_score_map/img/ga/RobichauxMary4940.jpg,http://www.house.ga.gov/SiteCollectionImages/RobichauxMary4940.jpg,Democratic,ga,House,48
CaMia Hopson,/Users/patrick/nra_score_map/img/ga/HopsonCaMia4963.jpg,http://www.house.ga.gov/SiteCollectionImages/HopsonCaMia4963.jpg,Democratic,ga,House,153
Beth Moore,/Users/patrick/nra_score_map/img/ga/MooreBeth4948.jpg,http://www.house.ga.gov/SiteCollectionImages/MooreBeth4948.jpg,Democratic,ga,House,95
Steven Meeks,/Users/patrick/nra_score_map/img/ga/MeeksSteven4961.jpg,http://www.house.ga.gov/SiteCollectionImages/MeeksSteven4961.jpg,Republican,ga,House,178
Randy Robertson,/Users/patrick/nra_score_map/img/ga/RobertsonRandy4926.jpg,http://www.senate.ga.gov/SiteCollectionImages/RobertsonRandy4926.jpg,Republican,ga,Senate,29
Matthew Wilson,/Users/patrick/nra_score_map/img/ga/WilsonMatthew4945.jpg,http://www.house.ga.gov/SiteCollectionImages/WilsonMatthew4945.jpg,Democratic,ga,House,80
Ginny Ehrhart,/Users/patrick/nra_score_map/img/ga/EhrhartGinny4937.jpg,http://www.house.ga.gov/SiteCollectionImages/EhrhartGinny4937.jpg,Republican,ga,House,36
Becky Evans,/Users/patrick/nra_score_map/img/ga/EvansBecky4946.jpg,http://www.house.ga.gov/SiteCollectionImages/EvansBecky4946.jpg,Democratic,ga,House,83
Mike Wilensky,/Users/patrick/nra_score_map/img/ga/WilenskyMike4944.jpg,http://www.house.ga.gov/SiteCollectionImages/WilenskyMike4944.jpg,Democratic,ga,House,79
Sally Harrell,/Users/patrick/nra_score_map/img/ga/HarrellSally311.jpg,http://www.senate.ga.gov/SiteCollectionImages/HarrellSally311.jpg,Democratic,ga,Senate,40
Shelly Hutchinson,/Users/patrick/nra_score_map/img/ga/HutchinsonShelly4952.jpg,http://www.house.ga.gov/SiteCollectionImages/HutchinsonShelly4952.jpg,Democratic,ga,House,107
Martin Momtahan,/Users/patrick/nra_score_map/img/ga/MomtahanMartin4935.jpg,http://www.house.ga.gov/SiteCollectionImages/MomtahanMartin4935.jpg,Republican,ga,House,17
Angelika Kausche,/Users/patrick/nra_score_map/img/ga/KauscheAngelika4941.jpg,http://www.house.ga.gov/SiteCollectionImages/KauscheAngelika4941.jpg,Democratic,ga,House,50
"Noel Williams, Jr.","/Users/patrick/nra_score_map/img/ga/Williams, Jr.Noel4960.jpg","http://www.house.ga.gov/SiteCollectionImages/Williams, Jr.Noel4960.jpg",Republican,ga,House,148
Joe Campbell,/Users/patrick/nra_score_map/img/ga/CampbellJoe4970.jpg,http://www.house.ga.gov/SiteCollectionImages/CampbellJoe4970.jpg,Republican,ga,House,171
Philip Singleton,/Users/patrick/nra_score_map/img/ga/SingletonPhilip4968.jpg,http://www.house.ga.gov/SiteCollectionImages/SingletonPhilip4968.jpg,Republican,ga,House,71
Carden Summers,/Users/patrick/nra_score_map/img/ga/SummersCarden4971.jpg,http://www.senate.ga.gov/SiteCollectionImages/SummersCarden4971.jpg,Republican,ga,Senate,13
Sharon Cooper,/Users/patrick/nra_score_map/img/ga/CooperSharon86.jpg,http://www.house.ga.gov/SiteCollectionImages/CooperSharon86.jpg,Republican,ga,House,43
