name,image_filepath,original_image_url,party,state,chamber,district
Angus L.K. McKelvey,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/mckelvey.jpg,Democratic,hi,House,10
Ty J.K. Cullen,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/cullen.jpg,Democratic,hi,House,39
Gil Riviere,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/riviere.jpg,Democratic,hi,Senate,23
Henry J.C. Aquino,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/aquino.jpg,Democratic,hi,House,38
Bob McDermott,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/mcdermott.jpg,Republican,hi,House,40
Laura H. Thielen,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/lthielen.jpg,Democratic,hi,Senate,25
Nicole E. Lowen,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/lowen.jpg,Democratic,hi,House,6
Joy A. San Buenaventura,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/sanbuenaventura.jpg,Democratic,hi,House,4
Nadine K. Nakamura,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/nakamura.jpg,Democratic,hi,House,14
Gilbert S.C. Keith-Agaran,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/keithagaran.jpg,Democratic,hi,Senate,5
Scott Y. Nishimoto,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/nishimoto.jpg,Democratic,hi,House,21
Glenn Wakai,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/wakai.jpg,Democratic,hi,Senate,15
Bertrand Kobayashi,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/kobayashi.jpg,Democratic,hi,House,19
Lynn DeCoite,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/decoite.jpg,Democratic,hi,House,13
Cynthia Thielen,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/thielen.jpg,Republican,hi,House,50
Richard H.K. Onishi,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/onishi.jpg,Democratic,hi,House,3
Gene Ward,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/ward.jpg,Republican,hi,House,17
Justin H. Woodson,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/woodson.jpg,Democratic,hi,House,9
Stanley Chang,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/schang.jpg,Democratic,hi,Senate,9
Della Au Belatti,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/belatti.jpg,Democratic,hi,House,24
Kyle T. Yamashita,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/yamashita.jpg,Democratic,hi,House,12
John M. Mizuno,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/mizuno.jpg,Democratic,hi,House,28
Donovan M. Dela Cruz,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/delacruz.jpg,Democratic,hi,Senate,22
Ronald D. Kouchi,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/kouchi.jpg,Democratic,hi,Senate,8
Sharon E. Har,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/har.jpg,Democratic,hi,House,42
Tom Brower,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/brower.jpg,Democratic,hi,House,22
Troy N. Hashimoto,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/hashimoto.jpg,Democratic,hi,House,8
Donna Mercado Kim,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/kim.jpg,Democratic,hi,Senate,14
Calvin K.Y. Say,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/say.jpg,Democratic,hi,House,20
Ryan I. Yamane,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/yamane.jpg,Democratic,hi,House,37
Dee Morikawa,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/morikawa.jpg,Democratic,hi,House,16
Clarence K. Nishihara,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/nishihara.jpg,Democratic,hi,Senate,17
James Kunane Tokioka,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/tokioka.jpg,Democratic,hi,House,15
Romy M. Cachola,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/cachola.jpg,Democratic,hi,House,30
Chris Lee,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/clee.jpg,Democratic,hi,House,51
Russell E. Ruderman,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/ruderman.jpg,Democratic,hi,Senate,2
Aaron Ling Johanson,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/johanson.jpg,Democratic,hi,House,31
Richard P. Creagan,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/creagan.jpg,Democratic,hi,House,5
Brian T. Taniguchi,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/taniguchi.jpg,Democratic,hi,Senate,11
Gregg Takayama,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/takayama.jpg,Democratic,hi,House,34
Chris Todd,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/todd.jpg,Democratic,hi,House,2
Sean Quinlan,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/quinlan.jpg,Democratic,hi,House,47
Roy M. Takumi,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/takumi.jpg,Democratic,hi,House,35
Mark M. Nakashima,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/nakashima.jpg,Democratic,hi,House,1
Rosalyn H. Baker,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/baker.jpg,Democratic,hi,Senate,6
Scott K. Saiki,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/saiki.jpg,Democratic,hi,House,26
Daniel Holt,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/holt.jpg,Democratic,hi,House,29
J. Kalani English,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/english.jpg,Democratic,hi,Senate,7
Michelle N. Kidani,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/kidani.jpg,Democratic,hi,Senate,18
Lorraine R. Inouye,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/inouye.jpg,Democratic,hi,Senate,4
Sylvia Luke,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/luke.jpg,Democratic,hi,House,25
Takashi Ohno,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/ohno.jpg,Democratic,hi,House,27
Kaiali‘i Kahele,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/kkahele.jpg,Democratic,hi,Senate,1
Linda Ichiyama,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/ichiyama.jpg,Democratic,hi,House,32
Cedric Asuega Gates,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/gates.jpg,Democratic,hi,House,44
Mike Gabbard,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/gabbard.jpg,Democratic,hi,Senate,20
Les Ihara,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/ihara.jpg,Democratic,hi,Senate,10
Breene Harimoto,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/harimoto.jpg,Democratic,hi,Senate,16
Sam Satoru Kong,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/kong.jpg,Democratic,hi,House,33
Mark J. Hashem,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/hashem.jpg,Democratic,hi,House,18
Maile S.L. Shimabukuro,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/shimabukuro.jpg,Democratic,hi,Senate,21
Val Okimoto,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/okimoto.jpg,Republican,hi,House,36
Tina Wildberger,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/wildberger.jpg,Democratic,hi,House,11
Dale T. Kobayashi,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/dkobayashi.jpg,Democratic,hi,House,23
Sharon Y. Moriwaki,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/moriwaki.jpg,Democratic,hi,Senate,12
