name,image_filepath,original_image_url,party,state,chamber,district
Monica Kurth,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18614,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18614,Democratic,ia,House,89
Mark Segebart,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10727,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10727,Republican,ia,Senate,6
Mark Smith,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=64,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=64,Democratic,ia,House,71
Ako Abdul-Samad,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6284,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6284,Democratic,ia,House,35
Terry C. Baxter,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=13796,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=13796,Republican,ia,House,8
Amanda Ragan,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=110,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=110,Democratic,ia,Senate,27
Robert Hogg,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6257,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6257,Democratic,ia,Senate,33
Cecil Dolecheck,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=88,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=88,Republican,ia,House,24
Tedd Gassman,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10748,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10748,Republican,ia,House,7
Brian Best,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=14800,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=14800,Republican,ia,House,12
Jacob Bossman,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=25497,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=25497,Republican,ia,House,6
Steven Holt,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=14802,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=14802,Republican,ia,House,18
Louis J. Zumbach,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18053,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18053,Republican,ia,House,95
Mark Costello,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10749,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10749,Republican,ia,Senate,12
Craig Johnson,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18075,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18075,Republican,ia,Senate,32
Jarad Klein,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9408,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9408,Republican,ia,House,78
Rick L. Olson,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=776,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=776,Democratic,ia,House,31
Shannon Lundgren,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18046,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18046,Republican,ia,House,57
Jake Chapman,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10728,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10728,Republican,ia,Senate,10
Sharon S. Steckman,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6580,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6580,Democratic,ia,House,53
Julian B. Garrett,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9404,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9404,Republican,ia,Senate,13
Pat Grassley,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6277,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6277,Republican,ia,House,50
Nate Boulton,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18073,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18073,Democratic,ia,Senate,16
Michael Breitbach,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10730,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10730,Republican,ia,Senate,28
Joel Fry,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9409,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9409,Republican,ia,House,27
Megan Jones,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10747,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10747,Republican,ia,House,2
Dan Dawson,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18072,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18072,Republican,ia,Senate,8
Robert P. Bacon,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9384,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9384,Republican,ia,House,48
Thomas A. Greene,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18077,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18077,Republican,ia,Senate,44
Pam Jochum,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=35,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=35,Democratic,ia,Senate,50
Gary Worthan,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6324,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6324,Republican,ia,House,11
Joe Bolkcom,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=123,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=123,Democratic,ia,Senate,43
Jane Bloomingdale,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18043,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18043,Republican,ia,House,51
Timi Brown-Powers,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=14805,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=14805,Democratic,ia,House,61
Daniel Adair Huseman,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10,Republican,ia,House,3
Liz Mathis,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10318,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10318,Democratic,ia,Senate,34
David Kerr,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18051,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18051,Republican,ia,House,88
Ruth Ann Gaines,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9413,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9413,Democratic,ia,House,32
Bob Kressig,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=781,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=781,Democratic,ia,House,59
Brad Zaun,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=788,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=788,Republican,ia,Senate,20
Dan Zumbach,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10733,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10733,Republican,ia,Senate,48
