name,image_filepath,original_image_url,party,state,chamber,district
C. Scott Grow,/Users/patrick/nra_score_map/img/id/Grow5126.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Grow5126.jpg,Republican,id,Senate,14
Kelly Arthur Anthon,/Users/patrick/nra_score_map/img/id/Anthon3524.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Anthon3524.jpg,Republican,id,Senate,27
Jeff Agenbroad,/Users/patrick/nra_score_map/img/id/Agenbroad4271.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Agenbroad4271.jpg,Republican,id,Senate,13
Carl Crabtree,/Users/patrick/nra_score_map/img/id/Crabtree4270.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Crabtree4270.jpg,Republican,id,Senate,7
Jim L. Patrick,/Users/patrick/nra_score_map/img/id/Patrick47.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Patrick47.jpg,Republican,id,Senate,25
Muffy Davis,/Users/patrick/nra_score_map/img/id/Davis5370.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Davis5370.jpg,Democratic,id,House,26
David Nelson,/Users/patrick/nra_score_map/img/id/Nelson5346.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Nelson5346.jpg,Democratic,id,Senate,5
Brooke Green,/Users/patrick/nra_score_map/img/id/Green5374.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Green5374.jpg,Democratic,id,House,18
Linda Wright Hartgen,/Users/patrick/nra_score_map/img/id/Hartgen5376.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Hartgen5376.jpg,Republican,id,House,24
Julianne Young,/Users/patrick/nra_score_map/img/id/Young5385.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Young5385.jpg,Republican,id,House,31
Jake Ellis,/Users/patrick/nra_score_map/img/id/Ellis5371.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Ellis5371.jpg,Democratic,id,House,15
Rodney G. “Rod” Furniss,/Users/patrick/nra_score_map/img/id/Furniss5372.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Furniss5372.jpg,Republican,id,House,35
Dave Lent,/Users/patrick/nra_score_map/img/id/Lent5345.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Lent5345.jpg,Republican,id,Senate,33
Jim Woodward,/Users/patrick/nra_score_map/img/id/Woodward5347.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Woodward5347.jpg,Republican,id,Senate,1
Tony Wisniewski,/Users/patrick/nra_score_map/img/id/Wisniewski5384.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Wisniewski5384.jpg,Republican,id,House,3
Bill Goesling,/Users/patrick/nra_score_map/img/id/Goesling5373.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Goesling5373.jpg,Republican,id,House,5
Laurie Lickley,/Users/patrick/nra_score_map/img/id/Lickley5377.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Lickley5377.jpg,Republican,id,House,25
Chris Abernathy,/Users/patrick/nra_score_map/img/id/Abernathy5365.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Abernathy5365.jpg,Democratic,id,House,29
James S. “Jim” Addis,/Users/patrick/nra_score_map/img/id/Addis5366.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Addis5366.jpg,Republican,id,House,4
Steve Berch,/Users/patrick/nra_score_map/img/id/Berch5368.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Berch5368.jpg,Democratic,id,House,15
Jerald Raymond,/Users/patrick/nra_score_map/img/id/Raymond5382.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Raymond5382.jpg,Republican,id,House,35
Rob Mason,/Users/patrick/nra_score_map/img/id/Mason5379.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Mason5379.jpg,Democratic,id,House,16
Britt Raybould,/Users/patrick/nra_score_map/img/id/Raybould5381.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Raybould5381.jpg,Republican,id,House,34
Tammy Nichols,/Users/patrick/nra_score_map/img/id/Nichols5380.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Nichols5380.jpg,Republican,id,House,11
Doug Ricks,/Users/patrick/nra_score_map/img/id/Ricks5383.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Ricks5383.jpg,Republican,id,House,34
Chad Christensen,/Users/patrick/nra_score_map/img/id/Christensen5369.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Christensen5369.jpg,Republican,id,House,32
Scott A. Syme,/Users/patrick/nra_score_map/img/id/Syme4278.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Syme4278.jpg,Republican,id,House,11
Kevin Andrus,/Users/patrick/nra_score_map/img/id/Andrus5367.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Andrus5367.jpg,Republican,id,House,28
Gary Marshall,/Users/patrick/nra_score_map/img/id/Marshall5378.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Marshall5378.jpg,Republican,id,House,30
Regina  M.  Bayer,/Users/patrick/nra_score_map/img/id/Bayer5665.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Bayer5665.jpg,Republican,id,Senate,21
Bryan Zollinger,/Users/patrick/nra_score_map/img/id/Zollinger4276.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Zollinger4276.jpg,Republican,id,House,33
Gayann DeMordaunt,/Users/patrick/nra_score_map/img/id/DeMordaunt4280.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/DeMordaunt4280.jpg,Republican,id,House,14
Dorothy Moon,/Users/patrick/nra_score_map/img/id/Moon4275.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Moon4275.jpg,Republican,id,House,8
Barbara Ehardt,/Users/patrick/nra_score_map/img/id/Ehardt4945.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Ehardt4945.jpg,Republican,id,House,33
Priscilla Giddings,/Users/patrick/nra_score_map/img/id/Giddings4285.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Giddings4285.jpg,Republican,id,House,7
Randy Armstrong,/Users/patrick/nra_score_map/img/id/Armstrong4279.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Armstrong4279.jpg,Republican,id,House,28
Paul Amador,/Users/patrick/nra_score_map/img/id/Amador4272.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Amador4272.jpg,Republican,id,House,4
Jarom Wagoner,/Users/patrick/nra_score_map/img/id/Wagoner4705.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Wagoner4705.jpg,Republican,id,House,10
Sally Toone,/Users/patrick/nra_score_map/img/id/Toone4282.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Toone4282.jpg,Democratic,id,House,26
Sue Chew,/Users/patrick/nra_score_map/img/id/Chew18.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Chew18.jpg,Democratic,id,House,17
Christy Zito,/Users/patrick/nra_score_map/img/id/Zito4281.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Zito4281.jpg,Republican,id,House,23
Mike Kingsley,/Users/patrick/nra_score_map/img/id/Kingsley4273.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Kingsley4273.jpg,Republican,id,House,6
Megan Blanksma,/Users/patrick/nra_score_map/img/id/Blanksma4283.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Blanksma4283.jpg,Republican,id,House,23
Lance W. Clow,/Users/patrick/nra_score_map/img/id/Clow2107.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Clow2107.jpg,Republican,id,House,24
Lauren Necochea,/Users/patrick/nra_score_map/img/id/Necochea6315.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2020/directory/Necochea6315.jpg,Democratic,id,House,19
Megan Kiska,/Users/patrick/nra_score_map/img/id/Kiska5945.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2020/directory/Kiska5945.jpg,Republican,id,House,21
Tim Remington,/Users/patrick/nra_score_map/img/id/Remington6405.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2020/directory/Remington6405.jpg,Republican,id,House,2
Neil A. Anderson,/Users/patrick/nra_score_map/img/id/Anderson2128.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Anderson2128.jpg,Republican,id,House,31
Heather Scott,/Users/patrick/nra_score_map/img/id/Scott3137.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Scott3137.jpg,Republican,id,House,1
Patti Anne Lodge,/Users/patrick/nra_score_map/img/id/Lodge94.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Lodge94.jpg,Republican,id,Senate,11
John Gannon,/Users/patrick/nra_score_map/img/id/Gannon2144.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Gannon2144.jpg,Democratic,id,House,17
Jim Guthrie,/Users/patrick/nra_score_map/img/id/Guthrie1179.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Guthrie1179.jpg,Republican,id,Senate,28
Ryan Kerby,/Users/patrick/nra_score_map/img/id/Kerby3131.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Kerby3131.jpg,Republican,id,House,9
Ilana Rubel,/Users/patrick/nra_score_map/img/id/Rubel2888.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Rubel2888.jpg,Democratic,id,House,18
Elaine Smith,/Users/patrick/nra_score_map/img/id/Smith61.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Smith61.jpg,Democratic,id,House,29
Steve Bair,/Users/patrick/nra_score_map/img/id/Bair72.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Bair72.jpg,Republican,id,Senate,31
Judy Boyle,/Users/patrick/nra_score_map/img/id/Boyle745.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Boyle745.jpg,Republican,id,House,9
Steven P. Thayn,/Users/patrick/nra_score_map/img/id/Thayn64.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Thayn64.jpg,Republican,id,Senate,8
John Vander Woude,/Users/patrick/nra_score_map/img/id/Vander Woude67.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Vander Woude67.jpg,Republican,id,House,22
James Holtzclaw,/Users/patrick/nra_score_map/img/id/Holtzclaw2086.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Holtzclaw2086.jpg,Republican,id,House,20
Caroline Nilsson Troy,/Users/patrick/nra_score_map/img/id/Troy3138.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Troy3138.jpg,Republican,id,House,5
Mark Harris,/Users/patrick/nra_score_map/img/id/Harris3584.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Harris3584.jpg,Republican,id,Senate,32
Melissa Wintrow,/Users/patrick/nra_score_map/img/id/Wintrow3139.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Wintrow3139.jpg,Democratic,id,House,19
John McCrostie,/Users/patrick/nra_score_map/img/id/McCrostie3132.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/McCrostie3132.jpg,Democratic,id,House,16
Joe Palmer,/Users/patrick/nra_score_map/img/id/Palmer749.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Palmer749.jpg,Republican,id,House,20
Jason A. Monks,/Users/patrick/nra_score_map/img/id/Monks2084.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Monks2084.jpg,Republican,id,House,22
Rick D. Youngblood,/Users/patrick/nra_score_map/img/id/Youngblood2106.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Youngblood2106.jpg,Republican,id,House,12
Mike Moyle,/Users/patrick/nra_score_map/img/id/Moyle43.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Moyle43.jpg,Republican,id,House,14
Cherie Buckner-Webb,/Users/patrick/nra_score_map/img/id/Buckner-Webb1177.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Buckner-Webb1177.jpg,Democratic,id,Senate,19
Mark Nye,/Users/patrick/nra_score_map/img/id/Nye3134.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Nye3134.jpg,Democratic,id,Senate,29
Sage G. Dixon,/Users/patrick/nra_score_map/img/id/Dixon3130.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Dixon3130.jpg,Republican,id,House,1
Dan G. Johnson,/Users/patrick/nra_score_map/img/id/Johnson1630.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Johnson1630.jpg,Republican,id,Senate,6
Jim Rice,/Users/patrick/nra_score_map/img/id/Rice1884.jpg,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2019/directory/Rice1884.jpg,Republican,id,Senate,10
