name,image_filepath,original_image_url,party,state,chamber,district
Kimberly A. Lightford,,http://ilga.gov/images/members/{7FBA8DB0-281E-406F-BF9F-ABEB75B7B38E}.jpg,Democratic,il,Senate,4
Chapin Rose,,http://ilga.gov/images/members/{BA95E1D1-0570-4492-B739-D1F593F183FD}.jpg,Republican,il,Senate,51
Deanne M. Mazzochi,,http://ilga.gov/images/members/{EFDF86C3-4EAD-4265-B666-C24FFF65F9E1}.jpg,Republican,il,House,47
"Jaime M. Andrade, Jr.",,http://ilga.gov/images/members/{34A19039-7BF5-44A7-9A06-4EC121E52514}.jpg,Democratic,il,House,40
Omar Aquino,,http://ilga.gov/images/members/{79A5CDE2-DD9F-423E-83F0-4643FDB13ABB}.jpg,Democratic,il,Senate,2
William Cunningham,,http://ilga.gov/images/members/{402F0454-4EAF-4721-993D-53C7459BA35B}.jpg,Democratic,il,Senate,18
C.D. Davidsmeyer,,http://ilga.gov/images/members/{E54250D5-EB1C-4CB6-9CF9-CA95CAA2F269}.jpg,Republican,il,House,100
Steven Reick,,http://ilga.gov/images/members/{D4845B6E-9A2E-4F0E-9F70-503B2E5891CA}.jpg,Republican,il,House,63
Rita Mayfield,,http://ilga.gov/images/members/{3A2DAB8B-B5F8-48EE-85D3-05894ED42A5D}.jpg,Democratic,il,House,60
Dale Fowler,,http://ilga.gov/images/members/{1E60CA94-7006-4CAB-841D-C9D99569D9D3}.jpg,Republican,il,Senate,59
Donald P. DeWitte,,http://ilga.gov/images/members/{21A3B029-3423-410E-818A-84512CD0D231}.jpg,Republican,il,Senate,33
André M. Thapedi,,http://ilga.gov/images/members/{5E31C56F-A3AA-4089-B697-E05B02B3F147}.jpg,Democratic,il,House,32
Paul Schimpf,,http://ilga.gov/images/members/{9118303D-1BC2-4023-B54F-52B34927106C}.jpg,Republican,il,Senate,58
Steven M. Landek,,http://ilga.gov/images/members/{CB30B8CB-1FBB-4869-A78E-D08AF0616D74}.jpg,Democratic,il,Senate,12
Mark Batinick,,http://ilga.gov/images/members/{6432B106-8A75-40C0-BAE1-238FFE4DA487}.jpg,Republican,il,House,97
Craig Wilcox,,http://ilga.gov/images/members/{E397F861-68AA-4CC2-9A23-50B9A8E13031}.jpg,Republican,il,Senate,32
Thomas Morrison,,http://ilga.gov/images/members/{590FA09F-B685-4E88-B384-B5EE3F2D58E8}.jpg,Republican,il,House,54
Mattie Hunter,,http://ilga.gov/images/members/{F4630DDB-11F0-417E-8C0A-B4ED6426116F}.jpg,Democratic,il,Senate,3
Monica Bristow,,http://ilga.gov/images/members/{CAE8AF79-6982-4105-BC57-3498744574EB}.jpg,Democratic,il,House,111
Ann M. Williams,,http://ilga.gov/images/members/{C45B418C-4848-4467-ADC2-739B2D1E4418}.jpg,Democratic,il,House,11
Michael J. Zalewski,,http://ilga.gov/images/members/{120BA436-317C-406F-9408-F648E3594BA1}.jpg,Democratic,il,House,23
Jonathan Carroll,,http://ilga.gov/images/members/{1014E3F8-887D-4889-804E-95E5457B46BB}.jpg,Democratic,il,House,57
Michael T. Marron,,http://ilga.gov/images/members/{C3BE26CD-E738-4985-8F5B-069F76189A73}.jpg,Republican,il,House,104
Daniel Swanson,,http://ilga.gov/images/members/{F7512D74-4694-4272-9A1E-6935F4AD4F1D}.jpg,Republican,il,House,74
Deborah Conroy,,http://ilga.gov/images/members/{643B5E07-BEDA-400C-BBDD-8FADE7A97A38}.jpg,Democratic,il,House,46
"Marcus C. Evans, Jr.",,http://ilga.gov/images/members/{BFD8B13A-CD65-452C-8F20-9D32C3A013BF}.jpg,Democratic,il,House,33
