name,image_filepath,original_image_url,party,state,chamber,district
Donna Schaibley,/Users/patrick/nra_score_map/img/in/legislator_donna_schaibley_1,http://iga.in.gov/legislative/2020/portraits/legislator_donna_schaibley_1,Republican,in,House,24
Doug Gutwein,/Users/patrick/nra_score_map/img/in/legislator_doug_gutwein_992,http://iga.in.gov/legislative/2020/portraits/legislator_doug_gutwein_992,Republican,in,House,16
Rodric Bray,/Users/patrick/nra_score_map/img/in/legislator_rodric_bray_1106,http://iga.in.gov/legislative/2020/portraits/legislator_rodric_bray_1106,Republican,in,Senate,37
Curt Nisly,/Users/patrick/nra_score_map/img/in/legislator_curt_nisly_1,http://iga.in.gov/legislative/2020/portraits/legislator_curt_nisly_1,Republican,in,House,22
Randall Frye,/Users/patrick/nra_score_map/img/in/legislator_randall_frye_1039,http://iga.in.gov/legislative/2020/portraits/legislator_randall_frye_1039,Republican,in,House,67
Karen Tallian,/Users/patrick/nra_score_map/img/in/legislator_karen_tallian_845,http://iga.in.gov/legislative/2020/portraits/legislator_karen_tallian_845,Democratic,in,Senate,4
Jean Leising,/Users/patrick/nra_score_map/img/in/legislator_jean_leising_136,http://iga.in.gov/legislative/2020/portraits/legislator_jean_leising_136,Republican,in,Senate,42
Gregory Porter,/Users/patrick/nra_score_map/img/in/legislator_gregory_porter_115,http://iga.in.gov/legislative/2020/portraits/legislator_gregory_porter_115,Democratic,in,House,96
Matt Pierce,/Users/patrick/nra_score_map/img/in/legislator_matthew_pierce_708,http://iga.in.gov/legislative/2020/portraits/legislator_matthew_pierce_708,Democratic,in,House,61
Edmond Soliday,/Users/patrick/nra_score_map/img/in/legislator_edmond_soliday_864,http://iga.in.gov/legislative/2020/portraits/legislator_edmond_soliday_864,Republican,in,House,4
Jeffrey Thompson,/Users/patrick/nra_score_map/img/in/legislator_jeffrey_thompson_529,http://iga.in.gov/legislative/2020/portraits/legislator_jeffrey_thompson_529,Republican,in,House,28
Ben Smaltz,/Users/patrick/nra_score_map/img/in/legislator_ben_smaltz_1118,http://iga.in.gov/legislative/2020/portraits/legislator_ben_smaltz_1118,Republican,in,House,52
Gregory Steuerwald,/Users/patrick/nra_score_map/img/in/legislator_gregory_steuerwald_927,http://iga.in.gov/legislative/2020/portraits/legislator_gregory_steuerwald_927,Republican,in,House,40
Randy Lyness,/Users/patrick/nra_score_map/img/in/legislator_randy_lyness_1,http://iga.in.gov/legislative/2020/portraits/legislator_randy_lyness_1,Republican,in,House,68
Ronald Grooms,/Users/patrick/nra_score_map/img/in/legislator_ronald_grooms_1024,http://iga.in.gov/legislative/2020/portraits/legislator_ronald_grooms_1024,Republican,in,Senate,46
Greg Taylor,/Users/patrick/nra_score_map/img/in/legislator_greg_taylor_976,http://iga.in.gov/legislative/2020/portraits/legislator_greg_taylor_976,Democratic,in,Senate,33
Peggy Mayfield,/Users/patrick/nra_score_map/img/in/legislator_peggy_mayfield_1121,http://iga.in.gov/legislative/2020/portraits/legislator_peggy_mayfield_1121,Republican,in,House,60
James Buck,/Users/patrick/nra_score_map/img/in/legislator_james_buck_124,http://iga.in.gov/legislative/2020/portraits/legislator_james_buck_124,Republican,in,Senate,21
Cindy Kirchhofer,/Users/patrick/nra_score_map/img/in/legislator_cindy_kirchhofer_1037,http://iga.in.gov/legislative/2020/portraits/legislator_cindy_kirchhofer_1037,Republican,in,House,89
Mike Aylesworth,/Users/patrick/nra_score_map/img/in/legislator_mike_aylesworth_1,http://iga.in.gov/legislative/2020/portraits/legislator_mike_aylesworth_1,Republican,in,House,11
Brian Bosma,/Users/patrick/nra_score_map/img/in/legislator_brian_bosma_69,http://iga.in.gov/legislative/2020/portraits/legislator_brian_bosma_69,Republican,in,House,88
John Bartlett,/Users/patrick/nra_score_map/img/in/legislator_john_bartlett_942,http://iga.in.gov/legislative/2020/portraits/legislator_john_bartlett_942,Democratic,in,House,95
Dennis Kruse,/Users/patrick/nra_score_map/img/in/legislator_dennis_kruse_780,http://iga.in.gov/legislative/2020/portraits/legislator_dennis_kruse_780,Republican,in,Senate,14
Karen Engleman,/Users/patrick/nra_score_map/img/in/legislator_karen_engleman_1,http://iga.in.gov/legislative/2020/portraits/legislator_karen_engleman_1,Republican,in,House,70
Alan Morrison,/Users/patrick/nra_score_map/img/in/legislator_alan_morrison_1115,http://iga.in.gov/legislative/2020/portraits/legislator_alan_morrison_1115,Republican,in,House,42
Todd Huston,/Users/patrick/nra_score_map/img/in/legislator_todd_huston_1114,http://iga.in.gov/legislative/2020/portraits/legislator_todd_huston_1114,Republican,in,House,37
B Patrick Bauer,/Users/patrick/nra_score_map/img/in/legislator_b_patrick_bauer_178,http://iga.in.gov/legislative/2020/portraits/legislator_b_patrick_bauer_178,Democratic,in,House,6
Jon Ford,/Users/patrick/nra_score_map/img/in/legislator_jon_ford_1,http://iga.in.gov/legislative/2020/portraits/legislator_jon_ford_1,Republican,in,Senate,38
Bruce Borders,/Users/patrick/nra_score_map/img/in/legislator_bruce_borders_1,http://iga.in.gov/legislative/2020/portraits/legislator_bruce_borders_1,Republican,in,House,45
Philip Boots,/Users/patrick/nra_score_map/img/in/legislator_philip_boots_865,http://iga.in.gov/legislative/2020/portraits/legislator_philip_boots_865,Republican,in,Senate,23
Anthony Cook,/Users/patrick/nra_score_map/img/in/legislator_anthony_cook_1,http://iga.in.gov/legislative/2020/portraits/legislator_anthony_cook_1,Republican,in,House,32
Jeff Ellington,/Users/patrick/nra_score_map/img/in/legislator_jeff_ellington_1,http://iga.in.gov/legislative/2020/portraits/legislator_jeff_ellington_1,Republican,in,House,62
Ron Alting,/Users/patrick/nra_score_map/img/in/legislator_ron_alting_538,http://iga.in.gov/legislative/2020/portraits/legislator_ron_alting_538,Republican,in,Senate,22
Michael Crider,/Users/patrick/nra_score_map/img/in/legislator_michael_crider_1130,http://iga.in.gov/legislative/2020/portraits/legislator_michael_crider_1130,Republican,in,Senate,28
Vaneta Becker,/Users/patrick/nra_score_map/img/in/legislator_vaneta_becker_228,http://iga.in.gov/legislative/2020/portraits/legislator_vaneta_becker_228,Republican,in,Senate,50
Holli Sullivan,/Users/patrick/nra_score_map/img/in/legislator_holli_sullivan_834,http://iga.in.gov/legislative/2020/portraits/legislator_holli_sullivan_834,Republican,in,House,78
Matt Lehman,/Users/patrick/nra_score_map/img/in/legislator_matthew_lehman_987,http://iga.in.gov/legislative/2020/portraits/legislator_matthew_lehman_987,Republican,in,House,79
Cherrish Pryor,/Users/patrick/nra_score_map/img/in/legislator_cherrish_pryor_990,http://iga.in.gov/legislative/2020/portraits/legislator_cherrish_pryor_990,Democratic,in,House,94
Michael Karickhoff,/Users/patrick/nra_score_map/img/in/legislator_michael_karickhoff_1027,http://iga.in.gov/legislative/2020/portraits/legislator_michael_karickhoff_1027,Republican,in,House,30
Edward DeLaney,/Users/patrick/nra_score_map/img/in/legislator_edward_delaney_988,http://iga.in.gov/legislative/2020/portraits/legislator_edward_delaney_988,Democratic,in,House,86
Vernon Smith,/Users/patrick/nra_score_map/img/in/legislator_vernon_smith_230,http://iga.in.gov/legislative/2020/portraits/legislator_vernon_smith_230,Democratic,in,House,14
Lonnie Randolph,/Users/patrick/nra_score_map/img/in/legislator_lonnie_randolph_160,http://iga.in.gov/legislative/2020/portraits/legislator_lonnie_randolph_160,Democratic,in,Senate,2
Timothy Lanane,/Users/patrick/nra_score_map/img/in/legislator_timothy_lanane_223,http://iga.in.gov/legislative/2020/portraits/legislator_timothy_lanane_223,Democratic,in,Senate,25
Jack Jordan,/Users/patrick/nra_score_map/img/in/legislator_jack_jordan_1,http://iga.in.gov/legislative/2020/portraits/legislator_jack_jordan_1,Republican,in,House,17
Jim Pressel,/Users/patrick/nra_score_map/img/in/legislator_jim_pressel_1,http://iga.in.gov/legislative/2020/portraits/legislator_jim_pressel_1,Republican,in,House,20
Dale DeVon,/Users/patrick/nra_score_map/img/in/legislator_dale_devon_1108,http://iga.in.gov/legislative/2020/portraits/legislator_dale_devon_1108,Republican,in,House,5
Robert Heaton,/Users/patrick/nra_score_map/img/in/legislator_robert_heaton_1030,http://iga.in.gov/legislative/2020/portraits/legislator_robert_heaton_1030,Republican,in,House,46
Timothy Brown,/Users/patrick/nra_score_map/img/in/legislator_timothy_brown_220,http://iga.in.gov/legislative/2020/portraits/legislator_timothy_brown_220,Republican,in,House,41
John Ruckelshaus,/Users/patrick/nra_score_map/img/in/legislator_john_ruckelshaus_1,http://iga.in.gov/legislative/2020/portraits/legislator_john_ruckelshaus_1,Republican,in,Senate,30
Frank Mrvan,/Users/patrick/nra_score_map/img/in/legislator_frank_mrvan_536,http://iga.in.gov/legislative/2020/portraits/legislator_frank_mrvan_536,Democratic,in,Senate,1
Melanie Wright,/Users/patrick/nra_score_map/img/in/legislator_melanie_wright_1,http://iga.in.gov/legislative/2020/portraits/legislator_melanie_wright_1,Democratic,in,House,35
Daniel Leonard,/Users/patrick/nra_score_map/img/in/legislator_daniel_leonard_711,http://iga.in.gov/legislative/2020/portraits/legislator_daniel_leonard_711,Republican,in,House,50
Martin Carbaugh,/Users/patrick/nra_score_map/img/in/legislator_martin_carbaugh_1125,http://iga.in.gov/legislative/2020/portraits/legislator_martin_carbaugh_1125,Republican,in,House,81
Wendy McNamara,/Users/patrick/nra_score_map/img/in/legislator_wendy_mcnamara_1046,http://iga.in.gov/legislative/2020/portraits/legislator_wendy_mcnamara_1046,Republican,in,House,76
Philip GiaQuinta,/Users/patrick/nra_score_map/img/in/legislator_philip_giaquinta_879,http://iga.in.gov/legislative/2020/portraits/legislator_philip_giaquinta_879,Democratic,in,House,80
James Merritt,/Users/patrick/nra_score_map/img/in/legislator_james_merritt_140,http://iga.in.gov/legislative/2020/portraits/legislator_james_merritt_140,Republican,in,Senate,31
