name,image_filepath,original_image_url,party,state,chamber,district
Jason Probst,,http://www.kslegislature.org/li/m/images/pics/rep_probst_jason_1.jpg,Democratic,ks,House,102
Cindy Holscher,,http://www.kslegislature.org/li/m/images/pics/rep_holscher_cindy_1.jpg,Democratic,ks,House,16
Pat Pettey,,http://www.kslegislature.org/li/m/images/pics/sen_pettey_pat_1.jpg,Democratic,ks,Senate,6
Leonard Mastroni,,http://www.kslegislature.org/li/m/images/pics/rep_mastroni_leonard_1.jpg,Republican,ks,House,117
Adam Smith,,http://www.kslegislature.org/li/m/images/pics/rep_smith_adam_1.jpg,Republican,ks,House,120
Kyle Hoffman,,http://www.kslegislature.org/li/m/images/pics/rep_hoffman_kyle_1.jpg,Republican,ks,House,116
Dan Kerschen,,http://www.kslegislature.org/li/m/images/pics/sen_kerschen_dan_1.jpg,Republican,ks,Senate,26
Gail Finney,,http://www.kslegislature.org/li/m/images/pics/rep_finney_gail_1.jpg,Democratic,ks,House,84
Jan Kessinger,,http://www.kslegislature.org/li/m/images/pics/rep_kessinger_jan_1.jpg,Republican,ks,House,20
Francis Awerkamp,,http://www.kslegislature.org/li/m/images/pics/rep_awerkamp_francis_1.jpg,Republican,ks,House,61
Blake Carpenter,,http://www.kslegislature.org/li/m/images/pics/rep_carpenter_blake_1.jpg,Republican,ks,House,81
Susan Humphries,,http://www.kslegislature.org/li/m/images/pics/rep_humphries_susan_1.jpg,Republican,ks,House,99
Richard Proehl,,http://www.kslegislature.org/li/m/images/pics/rep_proehl_richard_1.jpg,Republican,ks,House,7
Jim Kelly,,http://www.kslegislature.org/li/m/images/pics/rep_kelly_jim_1.jpg,Republican,ks,House,11
Doug Blex,,http://www.kslegislature.org/li/m/images/pics/rep_blex_doug_1.jpg,Republican,ks,House,12
Elizabeth Bishop,,http://www.kslegislature.org/li/m/images/pics/rep_bishop_elizabeth_1.jpg,Democratic,ks,House,88
Jack Thimesch,,http://www.kslegislature.org/li/m/images/pics/rep_thimesch_jack_1.jpg,Republican,ks,House,114
Bill Sutton,,http://www.kslegislature.org/li/m/images/pics/rep_sutton_william_1.jpg,Republican,ks,House,43
Broderick Henderson,,http://www.kslegislature.org/li/m/images/pics/rep_henderson_broderick_1.jpg,Democratic,ks,House,35
John Barker,,http://www.kslegislature.org/li/m/images/pics/rep_barker_john_1.jpg,Republican,ks,House,70
Annie Kuether,,http://www.kslegislature.org/li/m/images/pics/rep_kuether_annie_1.jpg,Democratic,ks,House,55
Richard Hilderbrand,,http://www.kslegislature.org/li/m/images/pics/sen_hilderbrand_richard_1.jpg,Republican,ks,Senate,13
Monica Murnan,,http://www.kslegislature.org/li/m/images/pics/rep_murnan_monica_1.jpg,Democratic,ks,House,3
Larry Alley,,http://www.kslegislature.org/li/m/images/pics/sen_alley_larry_1.jpg,Republican,ks,Senate,32
Dave Baker,,http://www.kslegislature.org/li/m/images/pics/rep_baker_dave_1.jpg,Republican,ks,House,68
Elaine Bowers,,http://www.kslegislature.org/li/m/images/pics/sen_bowers_elaine_1.jpg,Republican,ks,Senate,36
Jeff Longbine,,http://www.kslegislature.org/li/m/images/pics/sen_longbine_jeff_1.jpg,Republican,ks,Senate,17
Ron Ryckman,,http://www.kslegislature.org/li/m/images/pics/rep_ryckman_jr_ron_1.jpg,Republican,ks,House,78
Brenda Dietrich,,http://www.kslegislature.org/li/m/images/pics/rep_dietrich_brenda_1.jpg,Republican,ks,House,52
Les Mason,,http://www.kslegislature.org/li/m/images/pics/rep_mason_les_1.jpg,Republican,ks,House,73
Tom Holland,,http://www.kslegislature.org/li/m/images/pics/sen_holland_tom_1.jpg,Democratic,ks,Senate,3
Jesse Burris,,http://www.kslegislature.org/li/m/images/pics/rep_burris_jesse_1.jpg,Republican,ks,House,82
Tom Burroughs,,http://www.kslegislature.org/li/m/images/pics/rep_burroughs_tom_1.jpg,Democratic,ks,House,33
Tory Marie Arnberger,,http://www.kslegislature.org/li/m/images/pics/rep_arnberger_tory_1.jpg,Republican,ks,House,112
Jim Ward,,http://www.kslegislature.org/li/m/images/pics/rep_ward_jim_1.jpg,Democratic,ks,House,86
Mike Petersen,,http://www.kslegislature.org/li/m/images/pics/sen_petersen_mike_1.jpg,Republican,ks,Senate,28
Ed Berger,,http://www.kslegislature.org/li/m/images/pics/sen_berger_ed_1.jpg,Republican,ks,Senate,34
Susan Concannon,,http://www.kslegislature.org/li/m/images/pics/rep_concannon_susan_1.jpg,Republican,ks,House,107
Steve Huebert,,http://www.kslegislature.org/li/m/images/pics/rep_huebert_steve_1.jpg,Republican,ks,House,90
Don Hineman,,http://www.kslegislature.org/li/m/images/pics/rep_hineman_don_1.jpg,Republican,ks,House,118
Barbara Ballard,,http://www.kslegislature.org/li/m/images/pics/rep_ballard_barbara_1.jpg,Democratic,ks,House,44
Emil Bergquist,,http://www.kslegislature.org/li/m/images/pics/rep_bergquist_emil_1.jpg,Republican,ks,House,91
Anthony Hensley,,http://www.kslegislature.org/li/m/images/pics/sen_hensley_anthony_1.jpg,Democratic,ks,Senate,19
Dan Goddard,,http://www.kslegislature.org/li/m/images/pics/sen_goddard_dan_1.jpg,Republican,ks,Senate,15
Michael Houser,,http://www.kslegislature.org/li/m/images/pics/rep_houser_michael_1.jpg,Republican,ks,House,1
Jim Karleskint,,http://www.kslegislature.org/li/m/images/pics/rep_karleskint_jim_1.jpg,Republican,ks,House,42
Steven Johnson,,http://www.kslegislature.org/li/m/images/pics/rep_johnson_steven_1.jpg,Republican,ks,House,108
David Haley,,http://www.kslegislature.org/li/m/images/pics/sen_haley_david_1.jpg,Democratic,ks,Senate,4
Mark Schreiber,,http://www.kslegislature.org/li/m/images/pics/rep_schreiber_mark_1.jpg,Republican,ks,House,60
Joe Seiwert,,http://www.kslegislature.org/li/m/images/pics/rep_seiwert_joe_1.jpg,Republican,ks,House,101
Tom Phillips,,http://www.kslegislature.org/li/m/images/pics/rep_phillips_thomas_1.jpg,Republican,ks,House,67
Lonnie Clark,,http://www.kslegislature.org/li/m/images/pics/rep_clark_lonnie_1.jpg,Republican,ks,House,65
Randy Garber,,http://www.kslegislature.org/li/m/images/pics/rep_garber_randy_1.jpg,Republican,ks,House,62
Kristey Williams,,http://www.kslegislature.org/li/m/images/pics/rep_williams_kristey_1.jpg,Republican,ks,House,77
John Alcala,,http://www.kslegislature.org/li/m/images/pics/rep_alcala_john_1.jpg,Democratic,ks,House,57
