name,image_filepath,original_image_url,party,state,chamber,district
John Bam Carney,/Users/patrick/nra_score_map/img/ky/house51.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house51.jpg,Republican,ky,House,51
John Blanton,/Users/patrick/nra_score_map/img/ky/house92.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house92.jpg,Republican,ky,House,92
David Osborne,/Users/patrick/nra_score_map/img/ky/house59.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house59.jpg,Republican,ky,House,59
Tom Burch,/Users/patrick/nra_score_map/img/ky/house30.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house30.jpg,Democratic,ky,House,30
Chad McCoy,/Users/patrick/nra_score_map/img/ky/house50.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house50.jpg,Republican,ky,House,50
Stephen Meredith,/Users/patrick/nra_score_map/img/ky/senate105.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/senate105.jpg,Republican,ky,Senate,5
Albert Robinson,/Users/patrick/nra_score_map/img/ky/senate121.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/senate121.jpg,Republican,ky,Senate,21
Kevin D. Bratcher,/Users/patrick/nra_score_map/img/ky/house29.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house29.jpg,Republican,ky,House,29
Adam Koenig,/Users/patrick/nra_score_map/img/ky/house69.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house69.jpg,Republican,ky,House,69
Jimmy Higdon,/Users/patrick/nra_score_map/img/ky/senate114.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/senate114.jpg,Republican,ky,Senate,14
Denise Harper Angel,/Users/patrick/nra_score_map/img/ky/senate135.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/senate135.jpg,Democratic,ky,Senate,35
Joni L. Jenkins,/Users/patrick/nra_score_map/img/ky/house44.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house44.jpg,Democratic,ky,House,44
Chris Harris,/Users/patrick/nra_score_map/img/ky/house93.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house93.jpg,Democratic,ky,House,93
Johnny Ray Turner,/Users/patrick/nra_score_map/img/ky/senate129.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/senate129.jpg,Democratic,ky,Senate,29
Paul Hornback,/Users/patrick/nra_score_map/img/ky/senate120.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/senate120.jpg,Republican,ky,Senate,20
Ralph Alvarado,/Users/patrick/nra_score_map/img/ky/senate128.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/senate128.jpg,Republican,ky,Senate,28
Jim DuPlessis,/Users/patrick/nra_score_map/img/ky/house25.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house25.jpg,Republican,ky,House,25
Richard Heath,/Users/patrick/nra_score_map/img/ky/house2.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house2.jpg,Republican,ky,House,2
Steve Riley,/Users/patrick/nra_score_map/img/ky/house23.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house23.jpg,Republican,ky,House,23
Al Gentry,/Users/patrick/nra_score_map/img/ky/house46.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house46.jpg,Democratic,ky,House,46
Stephen West,/Users/patrick/nra_score_map/img/ky/senate127.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/senate127.jpg,Republican,ky,Senate,27
Robin L. Webb,/Users/patrick/nra_score_map/img/ky/senate118.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/senate118.jpg,Democratic,ky,Senate,18
James Tipton,/Users/patrick/nra_score_map/img/ky/house53.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house53.jpg,Republican,ky,House,53
Gerald A. Neal,/Users/patrick/nra_score_map/img/ky/senate133.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/senate133.jpg,Democratic,ky,Senate,33
Dean Schamore,/Users/patrick/nra_score_map/img/ky/house10.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house10.jpg,Democratic,ky,House,10
Jeff Hoover,/Users/patrick/nra_score_map/img/ky/house83.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house83.jpg,Republican,ky,House,83
Mark Hart,/Users/patrick/nra_score_map/img/ky/house78.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house78.jpg,Republican,ky,House,78
Perry B. Clark,/Users/patrick/nra_score_map/img/ky/senate137.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/senate137.jpg,Democratic,ky,Senate,37
Jared Carpenter,/Users/patrick/nra_score_map/img/ky/senate134.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/senate134.jpg,Republican,ky,Senate,34
Wil Schroder,/Users/patrick/nra_score_map/img/ky/senate124.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/senate124.jpg,Republican,ky,Senate,24
Mike Wilson,/Users/patrick/nra_score_map/img/ky/senate132.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/senate132.jpg,Republican,ky,Senate,32
David Hale,/Users/patrick/nra_score_map/img/ky/house74.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house74.jpg,Republican,ky,House,74
Julie Raque Adams,/Users/patrick/nra_score_map/img/ky/senate136.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/senate136.jpg,Republican,ky,Senate,36
Susan Westrom,/Users/patrick/nra_score_map/img/ky/house79.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house79.jpg,Democratic,ky,House,79
Jim Gooch Jr.,/Users/patrick/nra_score_map/img/ky/house12.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house12.jpg,Republican,ky,House,12
Mary Lou Marzian,/Users/patrick/nra_score_map/img/ky/house34.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house34.jpg,Democratic,ky,House,34
Alice Forgy Kerr,/Users/patrick/nra_score_map/img/ky/senate112.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/senate112.jpg,Republican,ky,Senate,12
Charles Miller,/Users/patrick/nra_score_map/img/ky/house28.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house28.jpg,Democratic,ky,House,28
Robert Stivers II,/Users/patrick/nra_score_map/img/ky/senate125.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/senate125.jpg,Republican,ky,Senate,25
Jerry T. Miller,/Users/patrick/nra_score_map/img/ky/house36.jpg,https://legislature.ky.gov/Legislators%20Full%20Res%20Images/house36.jpg,Republican,ky,House,36
