name,image_filepath,original_image_url,party,state,chamber,district
David Allen Robertson,/Users/patrick/nra_score_map/img/ma/D_R1.jpg,https://malegislature.gov/Legislators/Profile/170/D_R1.jpg,Democratic,ma,House,Nineteenth Middlesex
Lindsay N. Sabadosa,/Users/patrick/nra_score_map/img/ma/L_S1.jpg,https://malegislature.gov/Legislators/Profile/170/L_S1.jpg,Democratic,ma,House,First Hampshire
Nika C. Elugardo,/Users/patrick/nra_score_map/img/ma/N_E1.jpg,https://malegislature.gov/Legislators/Profile/170/N_E1.jpg,Democratic,ma,House,Fifteenth Suffolk
Tami L. Gouveia,/Users/patrick/nra_score_map/img/ma/TLG1.jpg,https://malegislature.gov/Legislators/Profile/170/TLG1.jpg,Democratic,ma,House,Fourteenth Middlesex
Jon Santiago,/Users/patrick/nra_score_map/img/ma/J_S2.jpg,https://malegislature.gov/Legislators/Profile/170/J_S2.jpg,Democratic,ma,House,Ninth Suffolk
Mindy Domb,/Users/patrick/nra_score_map/img/ma/M_D2.jpg,https://malegislature.gov/Legislators/Profile/170/M_D2.jpg,Democratic,ma,House,Third Hampshire
Christopher Hendricks,/Users/patrick/nra_score_map/img/ma/C_H1.jpg,https://malegislature.gov/Legislators/Profile/170/C_H1.jpg,Democratic,ma,House,Eleventh Bristol
David Henry Argosky LeBoeuf,/Users/patrick/nra_score_map/img/ma/DAL1.jpg,https://malegislature.gov/Legislators/Profile/170/DAL1.jpg,Democratic,ma,House,Seventeenth Worcester
David Biele,/Users/patrick/nra_score_map/img/ma/D_B1.jpg,https://malegislature.gov/Legislators/Profile/170/D_B1.jpg,Democratic,ma,House,Fourth Suffolk
Daniel R. Carey,/Users/patrick/nra_score_map/img/ma/DRC1.jpg,https://malegislature.gov/Legislators/Profile/170/DRC1.jpg,Democratic,ma,House,Second Hampshire
Michael J. Soter,/Users/patrick/nra_score_map/img/ma/MJS1.jpg,https://malegislature.gov/Legislators/Profile/170/MJS1.jpg,Republican,ma,House,Eighth Worcester
Maria Duaime Robinson,/Users/patrick/nra_score_map/img/ma/MDR1.jpg,https://malegislature.gov/Legislators/Profile/170/MDR1.jpg,Democratic,ma,House,Sixth Middlesex
Natalie M. Blais,/Users/patrick/nra_score_map/img/ma/NMB1.jpg,https://malegislature.gov/Legislators/Profile/170/NMB1.jpg,Democratic,ma,House,First Franklin
Rebecca L. Rausch,/Users/patrick/nra_score_map/img/ma/RLR0.jpg,https://malegislature.gov/Legislators/Profile/170/RLR0.jpg,Democratic,ma,Senate,"Norfolk, Bristol and Middlesex"
Patrick Joseph Kearney,/Users/patrick/nra_score_map/img/ma/PJK1.jpg,https://malegislature.gov/Legislators/Profile/170/PJK1.jpg,Democratic,ma,House,Fourth Plymouth
Peter Capano,/Users/patrick/nra_score_map/img/ma/PLC1.jpg,https://malegislature.gov/Legislators/Profile/170/PLC1.jpg,Democratic,ma,House,Eleventh Essex
Norman J. Orrall,/Users/patrick/nra_score_map/img/ma/NJO1.jpg,https://malegislature.gov/Legislators/Profile/170/NJO1.jpg,Republican,ma,House,Twelfth Bristol
Tommy Vitolo,/Users/patrick/nra_score_map/img/ma/T_V1.jpg,https://malegislature.gov/Legislators/Profile/170/T_V1.jpg,Democratic,ma,House,Fifteenth Norfolk
Christina A. Minicucci,/Users/patrick/nra_score_map/img/ma/CAM1.jpg,https://malegislature.gov/Legislators/Profile/170/CAM1.jpg,Democratic,ma,House,Fourteenth Essex
Tram T. Nguyen,/Users/patrick/nra_score_map/img/ma/TTN1.jpg,https://malegislature.gov/Legislators/Profile/170/TTN1.jpg,Democratic,ma,House,Eighteenth Essex
Richard M. Haggerty,/Users/patrick/nra_score_map/img/ma/RMH1.jpg,https://malegislature.gov/Legislators/Profile/170/RMH1.jpg,Democratic,ma,House,Thirtieth Middlesex
Joanne M. Comerford,/Users/patrick/nra_score_map/img/ma/JMC0.jpg,https://malegislature.gov/Legislators/Profile/170/JMC0.jpg,Democratic,ma,Senate,"Hampshire, Franklin and Worcester"
Kathleen R. LaNatra,/Users/patrick/nra_score_map/img/ma/KPL1.jpg,https://malegislature.gov/Legislators/Profile/170/KPL1.jpg,Democratic,ma,House,Twelfth Plymouth
Michelle L. Ciccolo,/Users/patrick/nra_score_map/img/ma/M_C2.jpg,https://malegislature.gov/Legislators/Profile/170/M_C2.jpg,Democratic,ma,House,Fifteenth Middlesex
Alyson M. Sullivan,/Users/patrick/nra_score_map/img/ma/AMS2.jpg,https://malegislature.gov/Legislators/Profile/170/AMS2.jpg,Republican,ma,House,Seventh Plymouth
Edward J. Kennedy,/Users/patrick/nra_score_map/img/ma/EDJ0.jpg,https://malegislature.gov/Legislators/Profile/170/EDJ0.jpg,Democratic,ma,Senate,First Middlesex
