name,image_filepath,original_image_url,party,state,chamber,district
Jim Rosapepe,,http://mgaleg.maryland.gov/2019RS/images/rosapepe.jpg,Democratic,md,Senate,21
Cheryl C. Kagan,,http://mgaleg.maryland.gov/2019RS/images/kagan01.jpg,Democratic,md,Senate,17
Nancy J. King,,http://mgaleg.maryland.gov/2019RS/images/king.jpg,Democratic,md,Senate,39
Bryan W. Simonaire,,http://mgaleg.maryland.gov/2019RS/images/simonaire.jpg,Republican,md,Senate,31
Michael J. Hough,,http://mgaleg.maryland.gov/2019RS/images/hough.jpg,Republican,md,Senate,4
Guy Guzzone,,http://mgaleg.maryland.gov/2019RS/images/guzzone.jpg,Democratic,md,Senate,13
Edward R. Reilly,,http://mgaleg.maryland.gov/2019RS/images/reilly.jpg,Republican,md,Senate,33
Robert Cassilly,,http://mgaleg.maryland.gov/2019RS/images/cassilly02.jpg,Republican,md,Senate,34
Paul G. Pinsky,,http://mgaleg.maryland.gov/2019RS/images/pinsky.jpg,Democratic,md,Senate,22
Ronald N. Young,,http://mgaleg.maryland.gov/2019RS/images/young.jpg,Democratic,md,Senate,3
"William C. Smith, Jr.",,http://mgaleg.maryland.gov/2019RS/images/smith02.jpg,Democratic,md,Senate,20
Susan C. Lee,,http://mgaleg.maryland.gov/2019RS/images/lee.jpg,Democratic,md,Senate,16
Bill Ferguson,,http://mgaleg.maryland.gov/2019RS/images/ferguson.jpg,Democratic,md,Senate,46
Katherine Klausmeier,,http://mgaleg.maryland.gov/2019RS/images/klausmeier.jpg,Democratic,md,Senate,8
Adelaide C. Eckardt,,http://mgaleg.maryland.gov/2019RS/images/eckardt.jpg,Republican,md,Senate,37
Bobby A. Zirkin,,http://mgaleg.maryland.gov/2019RS/images/zirkin.jpg,Democratic,md,Senate,11
"Thomas V. Mike Miller, Jr.",,http://mgaleg.maryland.gov/2019RS/images/miller t.jpg,Democratic,md,Senate,27
Andrew A. Serafini,,http://mgaleg.maryland.gov/2019RS/images/serafini01.jpg,Republican,md,Senate,2
Jill P. Carter,,http://mgaleg.maryland.gov/2019RS/images/carter01.jpg,Democratic,md,Senate,41
George C. Edwards,,http://mgaleg.maryland.gov/2019RS/images/edwards.jpg,Republican,md,Senate,1
Craig J. Zucker,,http://mgaleg.maryland.gov/2019RS/images/zucker01.jpg,Democratic,md,Senate,14
Shirley Nathan-Pulliam,,http://mgaleg.maryland.gov/2019RS/images/nathan.jpg,Democratic,md,Senate,44
"Stephen S. Hershey, Jr.",,http://mgaleg.maryland.gov/2019RS/images/hershey.jpg,Republican,md,Senate,36
Douglas J. J. Peters,,http://mgaleg.maryland.gov/2019RS/images/peters.jpg,Democratic,md,Senate,23
Justin Ready,,http://mgaleg.maryland.gov/2019RS/images/ready01.jpg,Republican,md,Senate,5
Johnny Ray Salling,,http://mgaleg.maryland.gov/2019RS/images/salling01.jpg,Republican,md,Senate,6
J. B. Jennings,,http://mgaleg.maryland.gov/2019RS/images/jennings.jpg,Republican,md,Senate,7
Brian J. Feldman,,http://mgaleg.maryland.gov/2019RS/images/feldman.jpg,Democratic,md,Senate,15
Delores G. Kelley,,http://mgaleg.maryland.gov/2019RS/images/kelley.jpg,Democratic,md,Senate,10
Joanne C. Benson,,http://mgaleg.maryland.gov/2019RS/images/benson.jpg,Democratic,md,Senate,24
Julie Palakovich Carr,,http://mgaleg.maryland.gov/2019RS/images/palakovich01.jpg,Democratic,md,House,17
Jon S. Cardin,,http://mgaleg.maryland.gov/2019RS/images/cardin01.jpg,Democratic,md,House,11
Benjamin F. Kramer,,http://mgaleg.maryland.gov/2019RS/images/kramer02.jpg,Democratic,md,Senate,19
Melony Griffith,,http://mgaleg.maryland.gov/2019RS/images/griffith01.jpg,Democratic,md,Senate,25
Tony Bridges,,http://mgaleg.maryland.gov/2019RS/images/bridges01.jpg,Democratic,md,House,41
Lauren Arikan,,http://mgaleg.maryland.gov/2019RS/images/arikan01.jpg,Republican,md,House,7
Pamela Beidle,,http://mgaleg.maryland.gov/2019RS/images/beidle01.jpg,Democratic,md,Senate,32
Wayne A. Hartman,,http://mgaleg.maryland.gov/2019RS/images/hartman01.jpg,Republican,md,House,38C
