name,image_filepath,original_image_url,party,state,chamber,district
Joyce McCreight,/Users/patrick/nra_score_map/img/me/e66482f2-5ac8-4b2e-b394-f09b4522861d_mccrjj.jpg,https://legislature.maine.gov/house/house/Repository/MemberProfiles/e66482f2-5ac8-4b2e-b394-f09b4522861d_mccrjj.jpg,Democratic,me,House,51
James R. Handy,/Users/patrick/nra_score_map/img/me/0c106d0d-f39a-4422-8f42-caf1870b14f3_handjr.jpg,https://legislature.maine.gov/house/house/Repository/MemberProfiles/0c106d0d-f39a-4422-8f42-caf1870b14f3_handjr.jpg,Democratic,me,House,58
Matthea Elisabeth Larsen Daughtry,/Users/patrick/nra_score_map/img/me/9843188d-69ef-4632-9b02-305346d89f73_daugme.jpg,https://legislature.maine.gov/house/house/Repository/MemberProfiles/9843188d-69ef-4632-9b02-305346d89f73_daugme.jpg,Democratic,me,House,49
Rebecca J. Millett,/Users/patrick/nra_score_map/img/me/millett-color.jpg,https://legislature.maine.gov/uploads/visual_edit/millett-color.jpg,Democratic,me,Senate,29
Dwayne W. Prescott,/Users/patrick/nra_score_map/img/me/ad3fc7ec-70fa-47e8-9227-9b2bc03ccb40_presdw[1].jpg,https://legislature.maine.gov/house/house/Repository/MemberProfiles/ad3fc7ec-70fa-47e8-9227-9b2bc03ccb40_presdw[1].jpg,Republican,me,House,17
William R. Tuell,/Users/patrick/nra_score_map/img/me/359c0f24-8550-4e4a-b28d-6d2d0384c3db_tuelwr[1].jpg,https://legislature.maine.gov/house/house/Repository/MemberProfiles/359c0f24-8550-4e4a-b28d-6d2d0384c3db_tuelwr[1].jpg,Republican,me,House,139
G. William Diamond,/Users/patrick/nra_score_map/img/me/diamond-color.jpg,https://legislature.maine.gov/uploads/visual_edit/diamond-color.jpg,Democratic,me,Senate,26
Paul T. Davis,/Users/patrick/nra_score_map/img/me/davis-color.jpg,https://legislature.maine.gov/uploads/visual_edit/davis-color.jpg,Republican,me,Senate,4
Craig V. Hickman,/Users/patrick/nra_score_map/img/me/538eb5b8-9a5b-4c84-bfb5-6f0e19f5492f_hickcv.jpg,https://legislature.maine.gov/house/house/Repository/MemberProfiles/538eb5b8-9a5b-4c84-bfb5-6f0e19f5492f_hickcv.jpg,Democratic,me,House,81
Matthew W. Moonen,/Users/patrick/nra_score_map/img/me/moonmw.jpg,http://www.maine.gov/legis/house/photo128/moonmw.jpg,Democratic,me,House,38
Colleen M. Madigan,/Users/patrick/nra_score_map/img/me/6f161024-d866-4264-b957-ce30cacd4db2_madicm.jpg,https://legislature.maine.gov/house/house/Repository/MemberProfiles/6f161024-d866-4264-b957-ce30cacd4db2_madicm.jpg,Democratic,me,House,110
Erik C. Jorgensen,/Users/patrick/nra_score_map/img/me/c4be74a9-b6aa-4a91-91ef-8ee6d0bd56d7_jorgec1.jpg,https://legislature.maine.gov/house/house/Repository/MemberProfiles/c4be74a9-b6aa-4a91-91ef-8ee6d0bd56d7_jorgec1.jpg,Democratic,me,House,41
Joel R. Stetkis,/Users/patrick/nra_score_map/img/me/c211d353-13e2-40bc-9895-1c13c5978575_stetjr[1].jpg,https://legislature.maine.gov/house/house/Repository/MemberProfiles/c211d353-13e2-40bc-9895-1c13c5978575_stetjr[1].jpg,Republican,me,House,105
