name,image_filepath,original_image_url,party,state,chamber,district
Dale Lueck,/Users/patrick/nra_score_map/img/mn/10B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/10B.gif,Republican,mn,House,10B
D. Scott Dibble,/Users/patrick/nra_score_map/img/mn/61Dibble.jpg,http://www.senate.mn/graphics/member_thumbnails/61Dibble.jpg,Democratic-Farmer-Labor,mn,Senate,61
John A. Hoffman,/Users/patrick/nra_score_map/img/mn/36Hoffman.jpg,http://www.senate.mn/graphics/member_thumbnails/36Hoffman.jpg,Democratic-Farmer-Labor,mn,Senate,36
Joe Schomacker,/Users/patrick/nra_score_map/img/mn/22A.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/22A.gif,Republican,mn,House,22A
Jim Nash,/Users/patrick/nra_score_map/img/mn/47A.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/47A.gif,Republican,mn,House,47A
Michael V. Nelson,/Users/patrick/nra_score_map/img/mn/40A.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/40A.gif,Democratic-Farmer-Labor,mn,House,40A
Jamie Becker-Finn,/Users/patrick/nra_score_map/img/mn/42B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/42B.gif,Democratic-Farmer-Labor,mn,House,42B
Bill Weber,/Users/patrick/nra_score_map/img/mn/22Weber.jpg,http://www.senate.mn/graphics/member_thumbnails/22Weber.jpg,Republican,mn,Senate,22
Rob Ecklund,/Users/patrick/nra_score_map/img/mn/03A.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/03A.gif,Democratic-Farmer-Labor,mn,House,3A
Jerry Hertaus,/Users/patrick/nra_score_map/img/mn/33A.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/33A.gif,Republican,mn,House,33A
Dave Baker,/Users/patrick/nra_score_map/img/mn/17B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/17B.gif,Republican,mn,House,17B
Jean Wagenius,/Users/patrick/nra_score_map/img/mn/63B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/63B.gif,Democratic-Farmer-Labor,mn,House,63B
Ron Latz,/Users/patrick/nra_score_map/img/mn/46Latz.jpg,http://www.senate.mn/graphics/member_thumbnails/46Latz.jpg,Democratic-Farmer-Labor,mn,Senate,46
Barb Haley,/Users/patrick/nra_score_map/img/mn/21A.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/21A.gif,Republican,mn,House,21A
Mark Johnson,/Users/patrick/nra_score_map/img/mn/01Johnson.jpg,http://www.senate.mn/graphics/member_thumbnails/01Johnson.jpg,Republican,mn,Senate,1
Sandra L. Pappas,/Users/patrick/nra_score_map/img/mn/65Pappas.jpg,http://www.senate.mn/graphics/member_thumbnails/65Pappas.jpg,Democratic-Farmer-Labor,mn,Senate,65
Greg Davids,/Users/patrick/nra_score_map/img/mn/28B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/28B.gif,Republican,mn,House,28B
Carlos Mariani,/Users/patrick/nra_score_map/img/mn/65B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/65B.gif,Democratic-Farmer-Labor,mn,House,65B
Debra Kiel,/Users/patrick/nra_score_map/img/mn/01B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/01B.gif,Republican,mn,House,1B
Linda Runbeck,/Users/patrick/nra_score_map/img/mn/38A.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/38A.gif,Republican,mn,House,38A
Warren Limmer,/Users/patrick/nra_score_map/img/mn/34Limmer.jpg,http://www.senate.mn/graphics/member_thumbnails/34Limmer.jpg,Republican,mn,Senate,34
Matt D. Klein,/Users/patrick/nra_score_map/img/mn/52Klein.jpg,http://www.senate.mn/graphics/member_thumbnails/52Klein.jpg,Democratic-Farmer-Labor,mn,Senate,52
Gregory D. Clausen,/Users/patrick/nra_score_map/img/mn/57Clausen.jpg,http://www.senate.mn/graphics/member_thumbnails/57Clausen.jpg,Democratic-Farmer-Labor,mn,Senate,57
Andrew Mathews,/Users/patrick/nra_score_map/img/mn/15Mathews.jpg,http://www.senate.mn/graphics/member_thumbnails/15Mathews.jpg,Republican,mn,Senate,15
Roger C. Chamberlain,/Users/patrick/nra_score_map/img/mn/38Chamberlain.jpg,http://www.senate.mn/graphics/member_thumbnails/38Chamberlain.jpg,Republican,mn,Senate,38
Dan Fabian,/Users/patrick/nra_score_map/img/mn/01A.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/01A.gif,Republican,mn,House,1A
Michelle R. Benson,/Users/patrick/nra_score_map/img/mn/31Benson.jpg,http://www.senate.mn/graphics/member_thumbnails/31Benson.jpg,Republican,mn,Senate,31
John Marty,/Users/patrick/nra_score_map/img/mn/66Marty.jpg,http://www.senate.mn/graphics/member_thumbnails/66Marty.jpg,Democratic-Farmer-Labor,mn,Senate,66
Lyndon Carlson Sr.,/Users/patrick/nra_score_map/img/mn/45A.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/45A.gif,Democratic-Farmer-Labor,mn,House,45A
Tony Albright,/Users/patrick/nra_score_map/img/mn/55B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/55B.gif,Republican,mn,House,55B
Dan Sparks,/Users/patrick/nra_score_map/img/mn/27Sparks.jpg,http://www.senate.mn/graphics/member_thumbnails/27Sparks.jpg,Democratic-Farmer-Labor,mn,Senate,27
Paul E. Gazelka,/Users/patrick/nra_score_map/img/mn/09Gazelka.jpg,http://www.senate.mn/graphics/member_thumbnails/09Gazelka.jpg,Republican,mn,Senate,9
Mary Kiffmeyer,/Users/patrick/nra_score_map/img/mn/30Kiffmeyer.jpg,http://www.senate.mn/graphics/member_thumbnails/30Kiffmeyer.jpg,Republican,mn,Senate,30
Jeff Hayden,/Users/patrick/nra_score_map/img/mn/62Hayden.jpg,http://www.senate.mn/graphics/member_thumbnails/62Hayden.jpg,Democratic-Farmer-Labor,mn,Senate,62
Julie A. Rosen,/Users/patrick/nra_score_map/img/mn/23Rosen.jpg,http://www.senate.mn/graphics/member_thumbnails/23Rosen.jpg,Republican,mn,Senate,23
Mary Franson,/Users/patrick/nra_score_map/img/mn/08B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/08B.gif,Republican,mn,House,8B
Matt Grossell,/Users/patrick/nra_score_map/img/mn/02A.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/02A.gif,Republican,mn,House,2A
Rich Draheim,/Users/patrick/nra_score_map/img/mn/20Draheim.jpg,http://www.senate.mn/graphics/member_thumbnails/20Draheim.jpg,Republican,mn,Senate,20
Jim Carlson,/Users/patrick/nra_score_map/img/mn/51Carlson.jpg,http://www.senate.mn/graphics/member_thumbnails/51Carlson.jpg,Democratic-Farmer-Labor,mn,Senate,51
Duane Sauke,/Users/patrick/nra_score_map/img/mn/25B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/25B.gif,Democratic-Farmer-Labor,mn,House,25B
Gary H. Dahms,/Users/patrick/nra_score_map/img/mn/16Dahms.jpg,http://www.senate.mn/graphics/member_thumbnails/16Dahms.jpg,Republican,mn,Senate,16
Sandy Layman,/Users/patrick/nra_score_map/img/mn/05B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/05B.gif,Republican,mn,House,5B
John Lesch,/Users/patrick/nra_score_map/img/mn/66B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/66B.gif,Democratic-Farmer-Labor,mn,House,66B
Jeremy R. Miller,/Users/patrick/nra_score_map/img/mn/28Miller.jpg,http://www.senate.mn/graphics/member_thumbnails/28Miller.jpg,Republican,mn,Senate,28
Nels Pierson,/Users/patrick/nra_score_map/img/mn/26B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/26B.gif,Republican,mn,House,26B
Duane Quam,/Users/patrick/nra_score_map/img/mn/25A.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/25A.gif,Republican,mn,House,25A
Anne Neu,/Users/patrick/nra_score_map/img/mn/32B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/32B.gif,Republican,mn,House,32B
Nick Zerwas,/Users/patrick/nra_score_map/img/mn/30A.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/30A.gif,Republican,mn,House,30A
Rena Moran,/Users/patrick/nra_score_map/img/mn/65A.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/65A.gif,Democratic-Farmer-Labor,mn,House,65A
Rod Hamilton,/Users/patrick/nra_score_map/img/mn/22B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/22B.gif,Republican,mn,House,22B
Erin Koegel,/Users/patrick/nra_score_map/img/mn/37A.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/37A.gif,Democratic-Farmer-Labor,mn,House,37A
Carla J. Nelson,/Users/patrick/nra_score_map/img/mn/26Nelson.jpg,http://www.senate.mn/graphics/member_thumbnails/26Nelson.jpg,Republican,mn,Senate,26
Torrey N. Westrom,/Users/patrick/nra_score_map/img/mn/12Westrom.jpg,http://www.senate.mn/graphics/member_thumbnails/12Westrom.jpg,Republican,mn,Senate,12
Cal Bahr,/Users/patrick/nra_score_map/img/mn/31B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/31B.gif,Republican,mn,House,31B
Rick Hansen,/Users/patrick/nra_score_map/img/mn/52A.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/52A.gif,Democratic-Farmer-Labor,mn,House,52A
Scott J.  Newman,/Users/patrick/nra_score_map/img/mn/18Newman.jpg,http://www.senate.mn/graphics/member_thumbnails/18Newman.jpg,Republican,mn,Senate,18
Steve Cwodzinski,/Users/patrick/nra_score_map/img/mn/48Cwodzinski.jpg,http://www.senate.mn/graphics/member_thumbnails/48Cwodzinski.jpg,Democratic-Farmer-Labor,mn,Senate,48
Eric Lucero,/Users/patrick/nra_score_map/img/mn/30B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/30B.gif,Republican,mn,House,30B
Brian Daniels,/Users/patrick/nra_score_map/img/mn/24B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/24B.gif,Republican,mn,House,24B
Sandra Masin,/Users/patrick/nra_score_map/img/mn/51A.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/51A.gif,Democratic-Farmer-Labor,mn,House,51A
Tina Liebling,/Users/patrick/nra_score_map/img/mn/26A.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/26A.gif,Democratic-Farmer-Labor,mn,House,26A
Tim Mahoney,/Users/patrick/nra_score_map/img/mn/67A.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/67A.gif,Democratic-Farmer-Labor,mn,House,67A
Paul J. Utke,/Users/patrick/nra_score_map/img/mn/02Utke.jpg,http://www.senate.mn/graphics/member_thumbnails/02Utke.jpg,Republican,mn,Senate,2
Peggy Scott,/Users/patrick/nra_score_map/img/mn/35B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/35B.gif,Republican,mn,House,35B
Jeff Backer,/Users/patrick/nra_score_map/img/mn/12A.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/12A.gif,Republican,mn,House,12A
Jennifer Schultz,/Users/patrick/nra_score_map/img/mn/07A.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/07A.gif,Democratic-Farmer-Labor,mn,House,7A
Thomas M. Bakk,/Users/patrick/nra_score_map/img/mn/03Bakk.jpg,http://www.senate.mn/graphics/member_thumbnails/03Bakk.jpg,Democratic-Farmer-Labor,mn,Senate,3
Nolan West,/Users/patrick/nra_score_map/img/mn/37B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/37B.gif,Republican,mn,House,37B
Laurie Halverson,/Users/patrick/nra_score_map/img/mn/51B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/51B.gif,Democratic-Farmer-Labor,mn,House,51B
Bob Vogel,/Users/patrick/nra_score_map/img/mn/20A.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/20A.gif,Republican,mn,House,20A
Karin Housley,/Users/patrick/nra_score_map/img/mn/39Housley.jpg,http://www.senate.mn/graphics/member_thumbnails/39Housley.jpg,Republican,mn,Senate,39
Mary Kunesh-Podein,/Users/patrick/nra_score_map/img/mn/41B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/41B.gif,Democratic-Farmer-Labor,mn,House,41B
Patty Acomb,/Users/patrick/nra_score_map/img/mn/44B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/44B.gif,Democratic-Farmer-Labor,mn,House,44B
Greg Boe,/Users/patrick/nra_score_map/img/mn/47B.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/47B.gif,Republican,mn,House,47B
Jeff Brand,/Users/patrick/nra_score_map/img/mn/19A.gif,https://www.house.leg.state.mn.us/hinfo/memberimgls91/19A.gif,Democratic-Farmer-Labor,mn,House,19A
