name,image_filepath,original_image_url,party,state,chamber,district
Cindy O’Laughlin,/Users/patrick/nra_score_map/img/mo/OLaughlin2019-200x300.jpg,https://www.senate.mo.gov/19web/wp-content/uploads/2019/09/OLaughlin2019-200x300.jpg,Republican,mo,Senate,18
Tony Luetkemeyer,/Users/patrick/nra_score_map/img/mo/010720-002-200x300.jpg,https://www.senate.mo.gov/20web/wp-content/uploads/2020/01/010720-002-200x300.jpg,Republican,mo,Senate,34
Justin Brown,/Users/patrick/nra_score_map/img/mo/Brown2019-200x300.jpg,https://www.senate.mo.gov/19web/wp-content/uploads/2019/09/Brown2019-200x300.jpg,Republican,mo,Senate,16
Brian Williams,/Users/patrick/nra_score_map/img/mo/Williams2019-200x300.jpg,https://www.senate.mo.gov/19web/wp-content/uploads/2019/05/Williams2019-200x300.jpg,Democratic,mo,Senate,14
Ed Emery,/Users/patrick/nra_score_map/img/mo/Emery-200x300.jpg,https://www.senate.mo.gov/18web/wp-content/uploads/2015/11/Emery-200x300.jpg,Republican,mo,Senate,31
Bill Eigel,/Users/patrick/nra_score_map/img/mo/Eigel-200x300.jpg,https://www.senate.mo.gov/19web/wp-content/uploads/2019/01/Eigel-200x300.jpg,Republican,mo,Senate,23
Dan Hegeman,/Users/patrick/nra_score_map/img/mo/HegemanW2019-200x300.jpg,https://www.senate.mo.gov/19web/wp-content/uploads/2019/09/HegemanW2019-200x300.jpg,Republican,mo,Senate,12
Dave Schatz,/Users/patrick/nra_score_map/img/mo/Schatz-200x300.jpg,https://www.senate.mo.gov/18web/wp-content/uploads/2015/11/Schatz-200x300.jpg,Republican,mo,Senate,26
Sandy Crawford,/Users/patrick/nra_score_map/img/mo/Crawford2019-200x300.jpg,https://www.senate.mo.gov/19web/wp-content/uploads/2019/09/Crawford2019-200x300.jpg,Republican,mo,Senate,28
Gina Walsh,/Users/patrick/nra_score_map/img/mo/Walsh2019-200x300.jpg,https://www.senate.mo.gov/19web/wp-content/uploads/2019/01/Walsh2019-200x300.jpg,Democratic,mo,Senate,13
Andrew Koenig,/Users/patrick/nra_score_map/img/mo/Koenig-Andrew-2017w-200x300.jpg,https://www.senate.mo.gov/18web/wp-content/uploads/2017/01/Koenig-Andrew-2017w-200x300.jpg,Republican,mo,Senate,15
Eric Burlison,/Users/patrick/nra_score_map/img/mo/Burlison-200x300.jpg,https://www.senate.mo.gov/19web/wp-content/uploads/2019/01/Burlison-200x300.jpg,Republican,mo,Senate,20
Lauren Arthur,/Users/patrick/nra_score_map/img/mo/Arthur2019-200x300.jpg,https://www.senate.mo.gov/19web/wp-content/uploads/2019/02/Arthur2019-200x300.jpg,Democratic,mo,Senate,17
Caleb Rowden,/Users/patrick/nra_score_map/img/mo/Rowden1a-200x300.jpg,https://www.senate.mo.gov/18Web/wp-content/uploads/photo-gallery/Senator Portraits/thumb/Rowden1a-200x300.jpg,Republican,mo,Senate,19
Karla May,/Users/patrick/nra_score_map/img/mo/KarlaMay-200x300.jpg,https://www.senate.mo.gov/19web/wp-content/uploads/2019/01/KarlaMay-200x300.jpg,Democratic,mo,Senate,4
Bill White,/Users/patrick/nra_score_map/img/mo/White-1a-200x300.jpg,https://www.senate.mo.gov/19web/wp-content/uploads/2019/01/White-1a-200x300.jpg,Republican,mo,Senate,32
Mike Bernskoetter,/Users/patrick/nra_score_map/img/mo/Bernskoetter-200x300.jpg,https://www.senate.mo.gov/19web/wp-content/uploads/2019/01/Bernskoetter-200x300.jpg,Republican,mo,Senate,6
Maria Chappelle-Nadal,/Users/patrick/nra_score_map/img/mo/Chappelle-Nadal-200x300.jpg,https://www.senate.mo.gov/18web/wp-content/uploads/2015/11/Chappelle-Nadal-200x300.jpg,Democratic,mo,House,86
Paul Wieland,/Users/patrick/nra_score_map/img/mo/Wieland-200x300.jpg,https://www.senate.mo.gov/18web/wp-content/uploads/2015/11/Wieland-200x300.jpg,Republican,mo,Senate,22
David Sater,/Users/patrick/nra_score_map/img/mo/Sater2019W-200x300.jpg,https://www.senate.mo.gov/19web/wp-content/uploads/2019/09/Sater2019W-200x300.jpg,Republican,mo,Senate,29
Bob Onder,/Users/patrick/nra_score_map/img/mo/Onder-200x300.jpg,https://www.senate.mo.gov/18web/wp-content/uploads/2015/11/Onder-200x300.jpg,Republican,mo,Senate,2
Jamilah Nasheed,/Users/patrick/nra_score_map/img/mo/Nasheed2017b-742x1024.jpg,https://www.senate.mo.gov/18web/wp-content/uploads/2015/11/Nasheed2017b-742x1024.jpg,Democratic,mo,Senate,5
Mike Cierpiot,/Users/patrick/nra_score_map/img/mo/Cierpiot2020-200x300.jpg,https://www.senate.mo.gov/20web/wp-content/uploads/2020/01/Cierpiot2020-200x300.jpg,Republican,mo,Senate,8
