name,image_filepath,original_image_url,party,state,chamber,district
Jeffery Harness,/Users/patrick/nra_score_map/img/ms/harness.jpg,http://billstatus.ls.state.ms.us/members/house/harness.jpg,Democratic,ms,House,85
Otis Anthony,/Users/patrick/nra_score_map/img/ms/anthony.jpg,http://billstatus.ls.state.ms.us/members/house/anthony.jpg,Democratic,ms,House,31
Nick Bain,/Users/patrick/nra_score_map/img/ms/bain.jpg,http://billstatus.ls.state.ms.us/members/house/bain.jpg,Republican,ms,House,2
Michael T. Evans,/Users/patrick/nra_score_map/img/ms/evans_(45th).jpg,http://billstatus.ls.state.ms.us/members/house/evans_(45th).jpg,Independent,ms,House,45
Angela Cockerham,/Users/patrick/nra_score_map/img/ms/cockerham.jpg,http://billstatus.ls.state.ms.us/members/house/cockerham.jpg,Independent,ms,House,96
Kevin Horan,/Users/patrick/nra_score_map/img/ms/horan.jpg,http://billstatus.ls.state.ms.us/members/house/horan.jpg,Democratic,ms,House,34
Percy W. Watson,/Users/patrick/nra_score_map/img/ms/watson.jpg,http://billstatus.ls.state.ms.us/members/house/watson.jpg,Democratic,ms,House,103
Bill Kinkade,/Users/patrick/nra_score_map/img/ms/kinkade.jpg,http://billstatus.ls.state.ms.us/members/house/kinkade.jpg,Republican,ms,House,52
"Charles Young, Jr.",/Users/patrick/nra_score_map/img/ms/young.jpg,http://billstatus.ls.state.ms.us/members/house/young.jpg,Democratic,ms,House,82
Tom Miles,/Users/patrick/nra_score_map/img/ms/miles.jpg,http://billstatus.ls.state.ms.us/members/house/miles.jpg,Democratic,ms,House,75
Larry Byrd,/Users/patrick/nra_score_map/img/ms/byrd.jpg,http://billstatus.ls.state.ms.us/members/house/byrd.jpg,Republican,ms,House,104
Vince Mangold,/Users/patrick/nra_score_map/img/ms/mangold.jpg,http://billstatus.ls.state.ms.us/members/house/mangold.jpg,Republican,ms,House,53
Robert L. Jackson,/Users/patrick/nra_score_map/img/ms/jackson_(11th).jpg,http://billstatus.ls.state.ms.us/members/senate/jackson_(11th).jpg,Democratic,ms,Senate,11
Dan Eubanks,/Users/patrick/nra_score_map/img/ms/eubanks.jpg,http://billstatus.ls.state.ms.us/members/house/eubanks.jpg,Republican,ms,House,25
Donnie Scoggin,/Users/patrick/nra_score_map/img/ms/scoggin.jpg,http://billstatus.ls.state.ms.us/members/house/scoggin.jpg,Republican,ms,House,89
Rob Roberson,/Users/patrick/nra_score_map/img/ms/roberson.jpg,http://billstatus.ls.state.ms.us/members/house/roberson.jpg,Republican,ms,House,43
Juan Barnett,/Users/patrick/nra_score_map/img/ms/barnett.jpg,http://billstatus.ls.state.ms.us/members/senate/barnett.jpg,Democratic,ms,Senate,34
Sally Doty,/Users/patrick/nra_score_map/img/ms/doty.jpg,http://billstatus.ls.state.ms.us/members/senate/doty.jpg,Republican,ms,Senate,39
Carl Mickens,/Users/patrick/nra_score_map/img/ms/mickens.jpg,http://billstatus.ls.state.ms.us/members/house/mickens.jpg,Democratic,ms,House,42
Chris Caughman,/Users/patrick/nra_score_map/img/ms/caughman.jpg,http://billstatus.ls.state.ms.us/members/senate/caughman.jpg,Republican,ms,Senate,35
Noah Sanford,/Users/patrick/nra_score_map/img/ms/sanford.jpg,http://billstatus.ls.state.ms.us/members/house/sanford.jpg,Republican,ms,House,90
Kevin Blackwell,/Users/patrick/nra_score_map/img/ms/blackwell.jpg,http://billstatus.ls.state.ms.us/members/senate/blackwell.jpg,Republican,ms,Senate,19
Hillman Terome Frazier,/Users/patrick/nra_score_map/img/ms/frazier.jpg,http://billstatus.ls.state.ms.us/members/senate/frazier.jpg,Democratic,ms,Senate,27
W. Briggs Hopson III,/Users/patrick/nra_score_map/img/ms/hopson.jpg,http://billstatus.ls.state.ms.us/members/senate/hopson.jpg,Republican,ms,Senate,23
Joel Bomgar,/Users/patrick/nra_score_map/img/ms/bomgar.jpg,http://billstatus.ls.state.ms.us/members/house/bomgar.jpg,Republican,ms,House,58
Albert Butler,/Users/patrick/nra_score_map/img/ms/butler.jpg,http://billstatus.ls.state.ms.us/members/senate/butler.jpg,Democratic,ms,Senate,36
Oscar Denton,/Users/patrick/nra_score_map/img/ms/denton.jpg,http://billstatus.ls.state.ms.us/members/house/denton.jpg,Democratic,ms,House,55
Gary Chism,/Users/patrick/nra_score_map/img/ms/chism.jpg,http://billstatus.ls.state.ms.us/members/house/chism.jpg,Republican,ms,House,37
"John W. Hines, Sr.",/Users/patrick/nra_score_map/img/ms/hines.jpg,http://billstatus.ls.state.ms.us/members/house/hines.jpg,Democratic,ms,House,50
John G. Faulkner,/Users/patrick/nra_score_map/img/ms/faulkner.jpg,http://billstatus.ls.state.ms.us/members/house/faulkner.jpg,Democratic,ms,House,5
Charles Busby,/Users/patrick/nra_score_map/img/ms/busby.jpg,http://billstatus.ls.state.ms.us/members/house/busby.jpg,Republican,ms,House,111
Karl Oliver,/Users/patrick/nra_score_map/img/ms/oliver.jpg,http://billstatus.ls.state.ms.us/members/house/oliver.jpg,Republican,ms,House,46
Mark Tullos,/Users/patrick/nra_score_map/img/ms/tullos.jpg,http://billstatus.ls.state.ms.us/members/house/tullos.jpg,Republican,ms,House,79
Derrick T. Simmons,/Users/patrick/nra_score_map/img/ms/simmons_(12th).jpg,http://billstatus.ls.state.ms.us/members/senate/simmons_(12th).jpg,Democratic,ms,Senate,12
Debra Gibbs,/Users/patrick/nra_score_map/img/ms/gibbs_(72nd).jpg,http://billstatus.ls.state.ms.us/members/house/gibbs_(72nd).jpg,Democratic,ms,House,72
"John Thomas ""Trey"" Lamar, III",/Users/patrick/nra_score_map/img/ms/lamar.jpg,http://billstatus.ls.state.ms.us/members/house/lamar.jpg,Republican,ms,House,8
Timmy Ladner,/Users/patrick/nra_score_map/img/ms/ladner.jpg,http://billstatus.ls.state.ms.us/members/house/ladner.jpg,Republican,ms,House,93
