name,image_filepath,original_image_url,party,state,chamber,district
Jerry W. Tillman,/Users/patrick/nra_score_map/img/nc/99.jpg,http://www.ncleg.net/Senate/pictures/hiRes/99.jpg,Republican,nc,Senate,26
Julia C. Howard,/Users/patrick/nra_score_map/img/nc/53.jpg,http://www.ncleg.net/House/pictures/hiRes/53.jpg,Republican,nc,House,77
Vickie Sawyer,/Users/patrick/nra_score_map/img/nc/405.jpg,http://www.ncleg.net/Senate/pictures/hiRes/405.jpg,Republican,nc,Senate,34
Harry Warren,/Users/patrick/nra_score_map/img/nc/630.jpg,http://www.ncleg.net/House/pictures/hiRes/630.jpg,Republican,nc,House,76
Bob Steinburg,/Users/patrick/nra_score_map/img/nc/666.jpg,http://www.ncleg.net/House/pictures/hiRes/666.jpg,Republican,nc,Senate,1
John Faircloth,/Users/patrick/nra_score_map/img/nc/603.jpg,http://www.ncleg.net/House/pictures/hiRes/603.jpg,Republican,nc,House,62
Pricey Harrison,/Users/patrick/nra_score_map/img/nc/504.jpg,http://www.ncleg.net/House/pictures/hiRes/504.jpg,Democratic,nc,House,61
Larry G. Pittman,/Users/patrick/nra_score_map/img/nc/633.jpg,http://www.ncleg.net/House/pictures/hiRes/633.jpg,Republican,nc,House,83
Phil Berger,/Users/patrick/nra_score_map/img/nc/64.jpg,http://www.ncleg.net/Senate/pictures/hiRes/64.jpg,Republican,nc,Senate,30
Jay J. Chaudhuri,/Users/patrick/nra_score_map/img/nc/395.jpg,http://www.ncleg.net/Senate/pictures/hiRes/395.jpg,Democratic,nc,Senate,15
Josh Dobson,/Users/patrick/nra_score_map/img/nc/681.jpg,http://www.ncleg.net/House/pictures/hiRes/681.jpg,Republican,nc,House,85
Warren Daniel,/Users/patrick/nra_score_map/img/nc/295.jpg,http://www.ncleg.net/Senate/pictures/hiRes/295.jpg,Republican,nc,Senate,46
John A. Torbett,/Users/patrick/nra_score_map/img/nc/606.jpg,http://www.ncleg.net/House/pictures/hiRes/606.jpg,Republican,nc,House,108
Chuck McGrady,/Users/patrick/nra_score_map/img/nc/605.jpg,http://www.ncleg.net/House/pictures/hiRes/605.jpg,Republican,nc,House,117
"Paul A. Lowe, Jr.",/Users/patrick/nra_score_map/img/nc/394.jpg,http://www.ncleg.net/Senate/pictures/hiRes/394.jpg,Democratic,nc,Senate,32
