name,image_filepath,original_image_url,party,state,chamber,district
Dick Anderson,/Users/patrick/nra_score_map/img/nd/dickanderson.jpg?itok=2phUbEOH,https://www.legis.nd.gov/files/styles/medium/public/person/photo/dickanderson.jpg?itok=2phUbEOH,Republican,nd,House,6
Michael Howe,/Users/patrick/nra_score_map/img/nd/mchowe.jpg?itok=LYLKni2P,https://www.legis.nd.gov/files/styles/medium/public/person/photo/mchowe.jpg?itok=LYLKni2P,Republican,nd,House,22
Keith Kempenich,/Users/patrick/nra_score_map/img/nd/kkempenich.jpg?itok=gc89NnG2,https://www.legis.nd.gov/files/styles/medium/public/person/photo/kkempenich.jpg?itok=gc89NnG2,Republican,nd,House,39
Chet Pollert,/Users/patrick/nra_score_map/img/nd/cpollert.jpg?itok=g29Zw0nO,https://www.legis.nd.gov/files/styles/medium/public/person/photo/cpollert.jpg?itok=g29Zw0nO,Republican,nd,House,29
Sebastian Ertelt,/Users/patrick/nra_score_map/img/nd/sertelt.jpg?itok=y3gg3bo-,https://www.legis.nd.gov/files/styles/medium/public/person/photo/sertelt.jpg?itok=y3gg3bo-,Republican,nd,House,26
Bert Anderson,/Users/patrick/nra_score_map/img/nd/bertanderson.jpg?itok=lvbNifGi,https://www.legis.nd.gov/files/styles/medium/public/person/photo/bertanderson.jpg?itok=lvbNifGi,Republican,nd,House,2
Matthew Ruby,/Users/patrick/nra_score_map/img/nd/mruby.jpg?itok=mIPfahXg,https://www.legis.nd.gov/files/styles/medium/public/person/photo/mruby.jpg?itok=mIPfahXg,Republican,nd,House,40
Andrew Marschall,/Users/patrick/nra_score_map/img/nd/amarschall.jpg?itok=R0Srf1A1,https://www.legis.nd.gov/files/styles/medium/public/person/photo/amarschall.jpg?itok=R0Srf1A1,Republican,nd,House,16
Mary Johnson,/Users/patrick/nra_score_map/img/nd/marycjohnson.jpg?itok=9ashpc1s,https://www.legis.nd.gov/files/styles/medium/public/person/photo/marycjohnson.jpg?itok=9ashpc1s,Republican,nd,House,45
Bernie Satrom,/Users/patrick/nra_score_map/img/nd/blsatrom.jpg?itok=mYaCmf1w,https://www.legis.nd.gov/files/styles/medium/public/person/photo/blsatrom.jpg?itok=mYaCmf1w,Republican,nd,House,12
Pat D. Heinert,/Users/patrick/nra_score_map/img/nd/pdheinert.jpg?itok=Ih_rMu3c,https://www.legis.nd.gov/files/styles/medium/public/person/photo/pdheinert.jpg?itok=Ih_rMu3c,Republican,nd,House,32
Denton Zubke,/Users/patrick/nra_score_map/img/nd/dzubke.jpg?itok=xB4GXR1M,https://www.legis.nd.gov/files/styles/medium/public/person/photo/dzubke.jpg?itok=xB4GXR1M,Republican,nd,House,39
Tracy Boe,/Users/patrick/nra_score_map/img/nd/tboe.jpg?itok=gTOY0yOK,https://www.legis.nd.gov/files/styles/medium/public/person/photo/tboe.jpg?itok=gTOY0yOK,Democratic,nd,House,9
