name,image_filepath,original_image_url,party,state,chamber,district
Curt Friesen,/Users/patrick/nra_score_map/img/ne/dist34.jpg,http://www.nebraskalegislature.gov/media/images/blogs/dist34.jpg,Nonpartisan,ne,,34
Adam Morfeld,/Users/patrick/nra_score_map/img/ne/dist46.jpg,http://www.nebraskalegislature.gov/media/images/blogs/dist46.jpg,Nonpartisan,ne,,46
John Lowe,/Users/patrick/nra_score_map/img/ne/dist37.jpg,http://www.nebraskalegislature.gov/media/images/blogs/dist37.jpg,Nonpartisan,ne,,37
Joni Albrecht,/Users/patrick/nra_score_map/img/ne/dist17.jpg,http://www.nebraskalegislature.gov/media/images/blogs/dist17.jpg,Nonpartisan,ne,,17
Steve Halloran,/Users/patrick/nra_score_map/img/ne/dist33.jpg,http://www.nebraskalegislature.gov/media/images/blogs/dist33.jpg,Nonpartisan,ne,,33
Bruce Bostelman,/Users/patrick/nra_score_map/img/ne/dist23.jpg,http://www.nebraskalegislature.gov/media/images/blogs/dist23.jpg,Nonpartisan,ne,,23
Suzanne Geist,/Users/patrick/nra_score_map/img/ne/dist25.jpg,http://www.nebraskalegislature.gov/media/images/blogs/dist25.jpg,Nonpartisan,ne,,25
Dan Quick,/Users/patrick/nra_score_map/img/ne/dist35.jpg,http://www.nebraskalegislature.gov/media/images/blogs/dist35.jpg,Nonpartisan,ne,,35
Carol Blood,/Users/patrick/nra_score_map/img/ne/dist 3.jpg,http://www.nebraskalegislature.gov/media/images/blogs/dist 3.jpg,Nonpartisan,ne,,3
Dan Hughes,/Users/patrick/nra_score_map/img/ne/dist44.jpg,http://www.nebraskalegislature.gov/media/images/blogs/dist44.jpg,Nonpartisan,ne,,44
Tom Brewer,/Users/patrick/nra_score_map/img/ne/dist43.jpg,http://www.nebraskalegislature.gov/media/images/blogs/dist43.jpg,Nonpartisan,ne,,43
Mark Kolterman,/Users/patrick/nra_score_map/img/ne/dist24.jpg,http://www.nebraskalegislature.gov/media/images/blogs/dist24.jpg,Nonpartisan,ne,,24
Matt Hansen,/Users/patrick/nra_score_map/img/ne/dist26.jpg,http://www.nebraskalegislature.gov/media/images/blogs/dist26.jpg,Nonpartisan,ne,,26
Anna Wishart,/Users/patrick/nra_score_map/img/ne/dist27.jpg,http://www.nebraskalegislature.gov/media/images/blogs/dist27.jpg,Nonpartisan,ne,,27
Mike Hilgers,/Users/patrick/nra_score_map/img/ne/dist21.jpg,http://www.nebraskalegislature.gov/media/images/blogs/dist21.jpg,Nonpartisan,ne,,21
