name,image_filepath,original_image_url,party,state,chamber,district
Kate R. Murray,/Users/patrick/nra_score_map/img/nh/408619.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/408619.jpg,Democratic,nh,House,Rockingham 24
Sharon L. Nordgren,/Users/patrick/nra_score_map/img/nh/373514.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/373514.jpg,Democratic,nh,House,Grafton 12
Rick M. Ladd,/Users/patrick/nra_score_map/img/nh/376832.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/376832.jpg,Republican,nh,House,Grafton 4
Werner D. Horn,/Users/patrick/nra_score_map/img/nh/377236.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/377236.jpg,Republican,nh,House,Merrimack 2
Donna R. Ellis,/Users/patrick/nra_score_map/img/nh/408626.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/408626.jpg,Democratic,nh,House,Strafford 8
Skip A. Rollins,/Users/patrick/nra_score_map/img/nh/377163.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/377163.jpg,Republican,nh,House,Sullivan 6
Jean L. Jeudy,/Users/patrick/nra_score_map/img/nh/376657.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/376657.jpg,Democratic,nh,House,Hillsborough 10
Richard W. Hinch,/Users/patrick/nra_score_map/img/nh/376823.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/376823.jpg,Republican,nh,House,Hillsborough 21
Catt Sandler,/Users/patrick/nra_score_map/img/nh/408634.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/408634.jpg,Democratic,nh,House,Strafford 21
Mel Myler,/Users/patrick/nra_score_map/img/nh/377153.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/377153.jpg,Democratic,nh,House,Merrimack 10
Timothy J. Fontneau,/Users/patrick/nra_score_map/img/nh/408625.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/408625.jpg,Democratic,nh,House,Strafford 7
Daniel A. Eaton,/Users/patrick/nra_score_map/img/nh/364729.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/364729.jpg,Democratic,nh,House,Cheshire 3
Kathleen M. Hoelzel,/Users/patrick/nra_score_map/img/nh/373860.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/373860.jpg,Republican,nh,House,Rockingham 3
Jeffrey P. Goley,/Users/patrick/nra_score_map/img/nh/376227.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/376227.jpg,Democratic,nh,House,Hillsborough 8
Gary S. Hopper,/Users/patrick/nra_score_map/img/nh/376353.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/376353.jpg,Republican,nh,House,Hillsborough 2
John R. Plumer,/Users/patrick/nra_score_map/img/nh/408272.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/408272.jpg,Republican,nh,House,Belknap 6
Katherine D. Rogers,/Users/patrick/nra_score_map/img/nh/375919.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/375919.jpg,Democratic,nh,House,Merrimack 28
Norman L. Major,/Users/patrick/nra_score_map/img/nh/376087.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/376087.jpg,Republican,nh,House,Rockingham 14
Betsy McKinney,/Users/patrick/nra_score_map/img/nh/331314.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/331314.jpg,Republican,nh,House,Rockingham 5
Sean D. Morrison,/Users/patrick/nra_score_map/img/nh/408415.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/408415.jpg,Republican,nh,House,Rockingham 9
Troy E. Merner,/Users/patrick/nra_score_map/img/nh/408060.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/408060.jpg,Republican,nh,House,Coos 7
Charles E. McMahon,/Users/patrick/nra_score_map/img/nh/376498.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/376498.jpg,Republican,nh,House,Rockingham 7
Suzanne J. Smith,/Users/patrick/nra_score_map/img/nh/376866.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/376866.jpg,Democratic,nh,House,Grafton 8
Kevin Verville,/Users/patrick/nra_score_map/img/nh/408388.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/408388.jpg,Republican,nh,House,Rockingham 2
Richard W. Lascelles,/Users/patrick/nra_score_map/img/nh/408331.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/408331.jpg,Republican,nh,House,Hillsborough 20
Dennis H. Fields,/Users/patrick/nra_score_map/img/nh/369207.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/369207.jpg,Republican,nh,House,Belknap 4
Rebecca Susan McBeath,/Users/patrick/nra_score_map/img/nh/377309.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/377309.jpg,Democratic,nh,House,Rockingham 26
Phyllis M. Katsakiores,/Users/patrick/nra_score_map/img/nh/332247.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/332247.jpg,Republican,nh,House,Rockingham 6
John F. Klose,/Users/patrick/nra_score_map/img/nh/374140.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/374140.jpg,Republican,nh,House,Merrimack 21
Susan GS Treleaven,/Users/patrick/nra_score_map/img/nh/377318.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/377318.jpg,Democratic,nh,House,Strafford 17
Mary Heath,/Users/patrick/nra_score_map/img/nh/377199.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/377199.jpg,Democratic,nh,House,Hillsborough 14
Jason M. Osborne,/Users/patrick/nra_score_map/img/nh/377253.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/377253.jpg,Republican,nh,House,Rockingham 4
Mary Jane Mulligan,/Users/patrick/nra_score_map/img/nh/408502.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/408502.jpg,Democratic,nh,House,Grafton 12
Mary Beth Walz,/Users/patrick/nra_score_map/img/nh/376638.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/376638.jpg,Democratic,nh,House,Merrimack 23
Jacqueline A. Cali-Pitts,/Users/patrick/nra_score_map/img/nh/376191.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/376191.jpg,Democratic,nh,House,Rockingham 30
Amanda C. Bouldin,/Users/patrick/nra_score_map/img/nh/377283.jpg,http://www.gencourt.state.nh.us/house/images/memberpics/377283.jpg,Democratic,nh,House,Hillsborough 12
