name,image_filepath,original_image_url,party,state,chamber,district
Anthony S. Verrelli,/Users/patrick/nra_score_map/img/nj/verrelli_anthony_2018.jpg,http://www.njleg.state.nj.us/members/memberphotos/verrelli_anthony_2018.jpg,Democratic,nj,Assembly,15
Nancy F. Munoz,/Users/patrick/nra_score_map/img/nj/munoz_nancy_2020.jpg,http://www.njleg.state.nj.us/members/memberphotos/munoz_nancy_2020.jpg,Republican,nj,Assembly,21
Erik Peterson,/Users/patrick/nra_score_map/img/nj/peterson_erik_2020.jpg,http://www.njleg.state.nj.us/members/memberphotos/peterson_erik_2020.jpg,Republican,nj,Assembly,23
Nancy J. Pinkin,/Users/patrick/nra_score_map/img/nj/pinkin_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/pinkin_color.jpg,Democratic,nj,Assembly,18
John J. Burzichelli,/Users/patrick/nra_score_map/img/nj/burzichelli_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/burzichelli_color.jpg,Democratic,nj,Assembly,3
John F. McKeon,/Users/patrick/nra_score_map/img/nj/mckeon_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/mckeon_color.jpg,Democratic,nj,Assembly,27
Louis D. Greenwald,/Users/patrick/nra_score_map/img/nj/greenwald_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/greenwald_color.jpg,Democratic,nj,Assembly,6
Herb Conaway Jr,/Users/patrick/nra_score_map/img/nj/conaway_herb_2019.jpg,http://www.njleg.state.nj.us/members/memberphotos/conaway_herb_2019.jpg,Democratic,nj,Assembly,7
Joseph V. Egan,/Users/patrick/nra_score_map/img/nj/egan_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/egan_color.jpg,Democratic,nj,Assembly,17
Pedro Mejia,/Users/patrick/nra_score_map/img/nj/mejia_pedro_2018.jpg,http://www.njleg.state.nj.us/members/memberphotos/mejia_pedro_2018.jpg,Democratic,nj,Assembly,32
DiAnne C. Gove,/Users/patrick/nra_score_map/img/nj/gove_dianne_2020.jpg,http://www.njleg.state.nj.us/members/memberphotos/gove_dianne_2020.jpg,Republican,nj,Assembly,9
Robert J. Karabinchak,/Users/patrick/nra_score_map/img/nj/karabinchak_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/karabinchak_color.jpg,Democratic,nj,Assembly,18
Mila M. Jasey,/Users/patrick/nra_score_map/img/nj/jasey_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/jasey_color.jpg,Democratic,nj,Assembly,27
Daniel R. Benson,/Users/patrick/nra_score_map/img/nj/benson_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/benson_color.jpg,Democratic,nj,Assembly,14
Jamel C. Holley,/Users/patrick/nra_score_map/img/nj/holley_jamel_2019.jpg,http://www.njleg.state.nj.us/members/memberphotos/holley_jamel_2019.jpg,Democratic,nj,Assembly,20
Jon M. Bramnick,/Users/patrick/nra_score_map/img/nj/bramnick_jon_2020.jpg,http://www.njleg.state.nj.us/members/memberphotos/bramnick_jon_2020.jpg,Republican,nj,Assembly,21
Joe Danielsen,/Users/patrick/nra_score_map/img/nj/danielsen_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/danielsen_color.jpg,Democratic,nj,Assembly,17
Shanique Speight,/Users/patrick/nra_score_map/img/nj/speight_shanique_2017.jpg,http://www.njleg.state.nj.us/members/memberphotos/speight_shanique_2017.jpg,Democratic,nj,Assembly,29
Gary S. Schaer,/Users/patrick/nra_score_map/img/nj/schaer_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/schaer_color.jpg,Democratic,nj,Assembly,36
Ryan E. Peters,/Users/patrick/nra_score_map/img/nj/peters_ryan_2020.jpg,http://www.njleg.state.nj.us/members/memberphotos/peters_ryan_2020.jpg,Republican,nj,Assembly,8
William W. Spearman,/Users/patrick/nra_score_map/img/nj/spearman_william_2018a.jpg,http://www.njleg.state.nj.us/members/memberphotos/spearman_william_2018a.jpg,Democratic,nj,Assembly,5
Eliana Pintor Marin,/Users/patrick/nra_score_map/img/nj/pintormarin_eliana_2017.jpg,http://www.njleg.state.nj.us/members/memberphotos/pintormarin_eliana_2017.jpg,Democratic,nj,Assembly,29
Shavonda E. Sumter,/Users/patrick/nra_score_map/img/nj/sumter_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/sumter_color.jpg,Democratic,nj,Assembly,35
Robert Auth,/Users/patrick/nra_score_map/img/nj/auth_robert_2017.jpg,http://www.njleg.state.nj.us/members/memberphotos/auth_robert_2017.jpg,Republican,nj,Assembly,39
John DiMaio,/Users/patrick/nra_score_map/img/nj/dimaio_john_2020.jpg,http://www.njleg.state.nj.us/members/memberphotos/dimaio_john_2020.jpg,Republican,nj,Assembly,23
Robert D. Clifton,/Users/patrick/nra_score_map/img/nj/clifton_robert_2020.jpg,http://www.njleg.state.nj.us/members/memberphotos/clifton_robert_2020.jpg,Republican,nj,Assembly,12
Parker Space,/Users/patrick/nra_score_map/img/nj/space_parker_2020.jpg,http://www.njleg.state.nj.us/members/memberphotos/space_parker_2020.jpg,Republican,nj,Assembly,24
Ralph R. Caputo,/Users/patrick/nra_score_map/img/nj/caputo_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/caputo_color.jpg,Democratic,nj,Assembly,28
Christopher P. DePhillips,/Users/patrick/nra_score_map/img/nj/dephillips_christopher_2020.jpg,http://www.njleg.state.nj.us/members/memberphotos/dephillips_christopher_2020.jpg,Republican,nj,Assembly,40
Holly T. Schepisi,/Users/patrick/nra_score_map/img/nj/schepisi_holly_2020.jpg,http://www.njleg.state.nj.us/members/memberphotos/schepisi_holly_2020.jpg,Republican,nj,Assembly,39
Roy Freiman,/Users/patrick/nra_score_map/img/nj/freiman_roy_2017.jpg,http://www.njleg.state.nj.us/members/memberphotos/freiman_roy_2017.jpg,Democratic,nj,Assembly,16
Angelica M. Jimenez,/Users/patrick/nra_score_map/img/nj/jimenez_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/jimenez_color.jpg,Democratic,nj,Assembly,32
Ronald S. Dancer,/Users/patrick/nra_score_map/img/nj/dancer_ronald_2020.jpg,http://www.njleg.state.nj.us/members/memberphotos/dancer_ronald_2020.jpg,Republican,nj,Assembly,12
Vincent Mazzeo,/Users/patrick/nra_score_map/img/nj/mazzeo_vincent_2020.jpg,http://www.njleg.state.nj.us/members/memberphotos/mazzeo_vincent_2020.jpg,Democratic,nj,Assembly,2
Wayne P. DeAngelo,/Users/patrick/nra_score_map/img/nj/deangelo_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/deangelo_color.jpg,Democratic,nj,Assembly,14
Nicholas Chiaravalloti,/Users/patrick/nra_score_map/img/nj/chiaravalloti_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/chiaravalloti_color.jpg,Democratic,nj,Assembly,31
Jay Webber,/Users/patrick/nra_score_map/img/nj/webber_jay_2019.jpg,http://www.njleg.state.nj.us/members/memberphotos/webber_jay_2019.jpg,Republican,nj,Assembly,26
Annette Quijano,/Users/patrick/nra_score_map/img/nj/quijano_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/quijano_color.jpg,Democratic,nj,Assembly,20
Paul A. Sarlo,/Users/patrick/nra_score_map/img/nj/sarlo_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/sarlo_color.jpg,Democratic,nj,Senate,36
James Beach,/Users/patrick/nra_score_map/img/nj/beach_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/beach_color.jpg,Democratic,nj,Senate,6
Fred H. Madden Jr,/Users/patrick/nra_score_map/img/nj/madden_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/madden_color.jpg,Democratic,nj,Senate,4
Michael J. Doherty,/Users/patrick/nra_score_map/img/nj/doherty_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/doherty_color.jpg,Republican,nj,Senate,23
Joseph F. Vitale,/Users/patrick/nra_score_map/img/nj/vitale_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/vitale_color.jpg,Democratic,nj,Senate,19
Christopher J. Connors,/Users/patrick/nra_score_map/img/nj/connors_chris_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/connors_chris_color.jpg,Republican,nj,Senate,9
Ronald L. Rice,/Users/patrick/nra_score_map/img/nj/rice_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/rice_color.jpg,Democratic,nj,Senate,28
Samuel D. Thompson,/Users/patrick/nra_score_map/img/nj/thompson_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/thompson_color.jpg,Republican,nj,Senate,12
James W. Holzapfel,/Users/patrick/nra_score_map/img/nj/holzapfel_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/holzapfel_color.jpg,Republican,nj,Senate,10
Sandra B. Cunningham,/Users/patrick/nra_score_map/img/nj/cunningham_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/cunningham_color.jpg,Democratic,nj,Senate,31
M. Teresa Ruiz,/Users/patrick/nra_score_map/img/nj/ruiz_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/ruiz_color.jpg,Democratic,nj,Senate,29
Loretta Weinberg,/Users/patrick/nra_score_map/img/nj/weinberg_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/weinberg_color.jpg,Democratic,nj,Senate,37
Nicholas P. Scutari,/Users/patrick/nra_score_map/img/nj/scutari_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/scutari_color.jpg,Democratic,nj,Senate,22
Richard J. Codey,/Users/patrick/nra_score_map/img/nj/codey_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/codey_color.jpg,Democratic,nj,Senate,27
Joseph P. Cryan,/Users/patrick/nra_score_map/img/nj/cryan_joseph_2017.jpg,http://www.njleg.state.nj.us/members/memberphotos/cryan_joseph_2017.jpg,Democratic,nj,Senate,20
Shirley K. Turner,/Users/patrick/nra_score_map/img/nj/turner_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/turner_color.jpg,Democratic,nj,Senate,15
Steven V. Oroho,/Users/patrick/nra_score_map/img/nj/oroho_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/oroho_color.jpg,Republican,nj,Senate,24
Nilsa Cruz-Perez,/Users/patrick/nra_score_map/img/nj/cruzperez_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/cruzperez_color.jpg,Democratic,nj,Senate,5
Bob Smith,/Users/patrick/nra_score_map/img/nj/smith_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/smith_color.jpg,Democratic,nj,Senate,17
Declan J. O'Scanlon Jr,/Users/patrick/nra_score_map/img/nj/oscanlon_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/oscanlon_color.jpg,Republican,nj,Senate,13
Nia H. Gill Esq,/Users/patrick/nra_score_map/img/nj/gill_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/gill_color.jpg,Democratic,nj,Senate,34
Joseph Pennacchio,/Users/patrick/nra_score_map/img/nj/pennacchio_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/pennacchio_color.jpg,Republican,nj,Senate,26
Christopher Bateman,/Users/patrick/nra_score_map/img/nj/bateman_color.jpg,http://www.njleg.state.nj.us/members/memberphotos/bateman_color.jpg,Republican,nj,Senate,16
Gerald Cardinale,/Users/patrick/nra_score_map/img/nj/cardinale_bw.jpg,http://www.njleg.state.nj.us/members/memberphotos/cardinale_bw.jpg,Republican,nj,Senate,39
