name,image_filepath,original_image_url,party,state,chamber,district
Natalie Figueroa,/Users/patrick/nra_score_map/img/nm/HFIGU.jpg,http://www.nmlegis.gov/Images/Legislators/House/HFIGU.jpg,Democratic,nm,House,30
Gregg Fulfer,/Users/patrick/nra_score_map/img/nm/SFULF.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SFULF.jpg,Republican,nm,Senate,41
Antoinette Sedillo Lopez,/Users/patrick/nra_score_map/img/nm/SSEDI.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SSEDI.jpg,Democratic,nm,Senate,16
Joseph L. Sanchez,/Users/patrick/nra_score_map/img/nm/HSAJO.jpg,http://www.nmlegis.gov/Images/Legislators/House/HSAJO.jpg,Democratic,nm,House,40
Willie D. Madrid,/Users/patrick/nra_score_map/img/nm/HMADR.jpg,http://www.nmlegis.gov/Images/Legislators/House/HMADR.jpg,Democratic,nm,House,53
Martin R. Zamora,/Users/patrick/nra_score_map/img/nm/HZAMO.jpg,http://www.nmlegis.gov/Images/Legislators/House/HZAMO.jpg,Republican,nm,House,63
Abbas Akhil,/Users/patrick/nra_score_map/img/nm/HAKHI.jpg,http://www.nmlegis.gov/Images/Legislators/House/HAKHI.jpg,Democratic,nm,House,20
Phelps Anderson,/Users/patrick/nra_score_map/img/nm/HANDP.jpg,http://www.nmlegis.gov/Images/Legislators/House/HANDP.jpg,Republican,nm,House,66
Andrea Romero,/Users/patrick/nra_score_map/img/nm/HROAN.jpg,http://www.nmlegis.gov/Images/Legislators/House/HROAN.jpg,Democratic,nm,House,46
Melanie A. Stansbury,/Users/patrick/nra_score_map/img/nm/HSTAN.jpg,http://www.nmlegis.gov/Images/Legislators/House/HSTAN.jpg,Democratic,nm,House,28
Dayan Hochman-Vigil,/Users/patrick/nra_score_map/img/nm/HHOCH.jpg,http://www.nmlegis.gov/Images/Legislators/House/HHOCH.jpg,Democratic,nm,House,15
Christine Chandler,/Users/patrick/nra_score_map/img/nm/HCHAN.jpg,http://www.nmlegis.gov/Images/Legislators/House/HCHAN.jpg,Democratic,nm,House,43
Gabriel Ramos,/Users/patrick/nra_score_map/img/nm/SRAMO.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SRAMO.jpg,Democratic,nm,Senate,28
Anthony Allison,/Users/patrick/nra_score_map/img/nm/HALLI.jpg,http://www.nmlegis.gov/Images/Legislators/House/HALLI.jpg,Democratic,nm,House,4
Raymundo Lara,/Users/patrick/nra_score_map/img/nm/HLARA.jpg,http://www.nmlegis.gov/Images/Legislators/House/HLARA.jpg,Democratic,nm,House,34
Karen C. Bash,/Users/patrick/nra_score_map/img/nm/HBASH.jpg,http://www.nmlegis.gov/Images/Legislators/House/HBASH.jpg,Democratic,nm,House,68
Micaela Lara Cadena,/Users/patrick/nra_score_map/img/nm/HCADA.jpg,http://www.nmlegis.gov/Images/Legislators/House/HCADA.jpg,Democratic,nm,House,33
Susan K. Herrera,/Users/patrick/nra_score_map/img/nm/HHERS.jpg,http://www.nmlegis.gov/Images/Legislators/House/HHERS.jpg,Democratic,nm,House,41
Rachel A. Black,/Users/patrick/nra_score_map/img/nm/HBLAC.jpg,http://www.nmlegis.gov/Images/Legislators/House/HBLAC.jpg,Republican,nm,House,51
Jack Chatfield,/Users/patrick/nra_score_map/img/nm/HCHAT.jpg,http://www.nmlegis.gov/Images/Legislators/House/HCHAT.jpg,Republican,nm,House,67
Joy Garratt,/Users/patrick/nra_score_map/img/nm/HGARR.jpg,http://www.nmlegis.gov/Images/Legislators/House/HGARR.jpg,Democratic,nm,House,29
William P. Soules,/Users/patrick/nra_score_map/img/nm/SSOUL.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SSOUL.jpg,Democratic,nm,Senate,37
Antonio Maestas,/Users/patrick/nra_score_map/img/nm/HMAES.jpg,http://www.nmlegis.gov/Images/Legislators/House/HMAES.jpg,Democratic,nm,House,16
Brian Egolf,/Users/patrick/nra_score_map/img/nm/HEGOL.jpg,http://www.nmlegis.gov/Images/Legislators/House/HEGOL.jpg,Democratic,nm,House,47
James R.J. Strickler,/Users/patrick/nra_score_map/img/nm/HSTRI.jpg,http://www.nmlegis.gov/Images/Legislators/House/HSTRI.jpg,Republican,nm,House,2
Daniel A. Ivey-Soto,/Users/patrick/nra_score_map/img/nm/SIVEY.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SIVEY.jpg,Democratic,nm,Senate,15
Tomás E. Salazar,/Users/patrick/nra_score_map/img/nm/HSATO.jpg,http://www.nmlegis.gov/Images/Legislators/House/HSATO.jpg,Democratic,nm,House,70
Tim D. Lewis,/Users/patrick/nra_score_map/img/nm/HLEWI.jpg,http://www.nmlegis.gov/Images/Legislators/House/HLEWI.jpg,Republican,nm,House,60
Javier Martínez,/Users/patrick/nra_score_map/img/nm/HMARJ.jpg,http://www.nmlegis.gov/Images/Legislators/House/HMARJ.jpg,Democratic,nm,House,11
Jacob R. Candelaria,/Users/patrick/nra_score_map/img/nm/SCAND.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SCAND.jpg,Democratic,nm,Senate,26
William E. Sharer,/Users/patrick/nra_score_map/img/nm/SSHAR.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SSHAR.jpg,Republican,nm,Senate,1
Greg Nibert,/Users/patrick/nra_score_map/img/nm/HNIBE.jpg,http://www.nmlegis.gov/Images/Legislators/House/HNIBE.jpg,Republican,nm,House,59
Peter Wirth,/Users/patrick/nra_score_map/img/nm/SWIRT.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SWIRT.jpg,Democratic,nm,Senate,25
Craig W. Brandt,/Users/patrick/nra_score_map/img/nm/SBRAN.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SBRAN.jpg,Republican,nm,Senate,40
Candie G. Sweetser,/Users/patrick/nra_score_map/img/nm/HSWEE.jpg,http://www.nmlegis.gov/Images/Legislators/House/HSWEE.jpg,Democratic,nm,House,32
Alonzo Baldonado,/Users/patrick/nra_score_map/img/nm/HBALA.jpg,http://www.nmlegis.gov/Images/Legislators/House/HBALA.jpg,Republican,nm,House,8
Patricio Ruiloba,/Users/patrick/nra_score_map/img/nm/HRUIL.jpg,http://www.nmlegis.gov/Images/Legislators/House/HRUIL.jpg,Democratic,nm,House,12
Linda M. Lopez,/Users/patrick/nra_score_map/img/nm/SLOPE.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SLOPE.jpg,Democratic,nm,Senate,11
Michael Padilla,/Users/patrick/nra_score_map/img/nm/SPADI.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SPADI.jpg,Democratic,nm,Senate,14
Gregory A. Baca,/Users/patrick/nra_score_map/img/nm/SBACA.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SBACA.jpg,Republican,nm,Senate,29
"William ""Bill"" R. Rehm",/Users/patrick/nra_score_map/img/nm/HREHM.jpg,http://www.nmlegis.gov/Images/Legislators/House/HREHM.jpg,Republican,nm,House,31
Gerald Ortiz y Pino,/Users/patrick/nra_score_map/img/nm/SORTI.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SORTI.jpg,Democratic,nm,Senate,12
Doreen Y. Gallegos,/Users/patrick/nra_score_map/img/nm/HGADO.jpg,http://www.nmlegis.gov/Images/Legislators/House/HGADO.jpg,Democratic,nm,House,52
Nancy Rodriguez,/Users/patrick/nra_score_map/img/nm/SRODR.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SRODR.jpg,Democratic,nm,Senate,24
Linda M. Trujillo,/Users/patrick/nra_score_map/img/nm/HTRUL.jpg,http://www.nmlegis.gov/Images/Legislators/House/HTRUL.jpg,Democratic,nm,House,48
Patricia Roybal Caballero,/Users/patrick/nra_score_map/img/nm/HROYB.jpg,http://www.nmlegis.gov/Images/Legislators/House/HROYB.jpg,Democratic,nm,House,13
Miguel P. Garcia,/Users/patrick/nra_score_map/img/nm/HGAMP.jpg,http://www.nmlegis.gov/Images/Legislators/House/HGAMP.jpg,Democratic,nm,House,14
Jane E. Powdrell-Culbert,/Users/patrick/nra_score_map/img/nm/HPOWD.jpg,http://www.nmlegis.gov/Images/Legislators/House/HPOWD.jpg,Republican,nm,House,44
Cliff R. Pirtle,/Users/patrick/nra_score_map/img/nm/SPIRT.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SPIRT.jpg,Republican,nm,Senate,32
Larry R. Scott,/Users/patrick/nra_score_map/img/nm/HSCOT.jpg,http://www.nmlegis.gov/Images/Legislators/House/HSCOT.jpg,Republican,nm,House,62
Cathrynn N. Brown,/Users/patrick/nra_score_map/img/nm/HBROW.jpg,http://www.nmlegis.gov/Images/Legislators/House/HBROW.jpg,Republican,nm,House,55
Patricia A. Lundstrom,/Users/patrick/nra_score_map/img/nm/HLUND.jpg,http://www.nmlegis.gov/Images/Legislators/House/HLUND.jpg,Democratic,nm,House,9
Joanne J. Ferrary,/Users/patrick/nra_score_map/img/nm/HFERJ.jpg,http://www.nmlegis.gov/Images/Legislators/House/HFERJ.jpg,Democratic,nm,House,37
Matthew McQueen,/Users/patrick/nra_score_map/img/nm/HMCQU.jpg,http://www.nmlegis.gov/Images/Legislators/House/HMCQU.jpg,Democratic,nm,House,50
G. Andrés Romero,/Users/patrick/nra_score_map/img/nm/HROMA.jpg,http://www.nmlegis.gov/Images/Legislators/House/HROMA.jpg,Democratic,nm,House,10
Eliseo Lee Alcon,/Users/patrick/nra_score_map/img/nm/HALCO.jpg,http://www.nmlegis.gov/Images/Legislators/House/HALCO.jpg,Democratic,nm,House,6
Paul C. Bandy,/Users/patrick/nra_score_map/img/nm/HBAND.jpg,http://www.nmlegis.gov/Images/Legislators/House/HBAND.jpg,Republican,nm,House,3
Ron Griggs,/Users/patrick/nra_score_map/img/nm/SGRIG.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SGRIG.jpg,Republican,nm,Senate,34
Georgene Louis,/Users/patrick/nra_score_map/img/nm/HLOUI.jpg,http://www.nmlegis.gov/Images/Legislators/House/HLOUI.jpg,Democratic,nm,House,26
Daymon Ely,/Users/patrick/nra_score_map/img/nm/HELYD.jpg,http://www.nmlegis.gov/Images/Legislators/House/HELYD.jpg,Democratic,nm,House,23
John Arthur Smith,/Users/patrick/nra_score_map/img/nm/SSMIT.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SSMIT.jpg,Democratic,nm,Senate,35
George K. Munoz,/Users/patrick/nra_score_map/img/nm/SMUNO.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SMUNO.jpg,Democratic,nm,Senate,4
"Elizabeth ""Liz"" Stefanics",/Users/patrick/nra_score_map/img/nm/SSTEF.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SSTEF.jpg,Democratic,nm,Senate,39
Pat Woods,/Users/patrick/nra_score_map/img/nm/SWOOD.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SWOOD.jpg,Republican,nm,Senate,7
Gay G. Kernan,/Users/patrick/nra_score_map/img/nm/SKERN.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SKERN.jpg,Republican,nm,Senate,42
Deborah A. Armstrong,/Users/patrick/nra_score_map/img/nm/HARMS.jpg,http://www.nmlegis.gov/Images/Legislators/House/HARMS.jpg,Democratic,nm,House,17
Mark Moores,/Users/patrick/nra_score_map/img/nm/SMOOR.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SMOOR.jpg,Republican,nm,Senate,21
Stuart Ingle,/Users/patrick/nra_score_map/img/nm/SINGL.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SINGL.jpg,Republican,nm,Senate,27
William H. Payne,/Users/patrick/nra_score_map/img/nm/SPAYN.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SPAYN.jpg,Republican,nm,Senate,20
Randal S. Crowder,/Users/patrick/nra_score_map/img/nm/HCROW.jpg,http://www.nmlegis.gov/Images/Legislators/House/HCROW.jpg,Republican,nm,House,64
Richard C. Martinez,/Users/patrick/nra_score_map/img/nm/SMARR.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SMARR.jpg,Democratic,nm,Senate,5
Gail Chasey,/Users/patrick/nra_score_map/img/nm/HCHAS.jpg,http://www.nmlegis.gov/Images/Legislators/House/HCHAS.jpg,Democratic,nm,House,18
Rebecca Dow,/Users/patrick/nra_score_map/img/nm/HDOWR.jpg,http://www.nmlegis.gov/Images/Legislators/House/HDOWR.jpg,Republican,nm,House,38
Christine Trujillo,/Users/patrick/nra_score_map/img/nm/HTRCH.jpg,http://www.nmlegis.gov/Images/Legislators/House/HTRCH.jpg,Democratic,nm,House,25
Candy Spence Ezzell,/Users/patrick/nra_score_map/img/nm/HEZZE.jpg,http://www.nmlegis.gov/Images/Legislators/House/HEZZE.jpg,Republican,nm,House,58
Zachary J. Cook,/Users/patrick/nra_score_map/img/nm/HCOOK.jpg,http://www.nmlegis.gov/Images/Legislators/House/HCOOK.jpg,Republican,nm,House,56
Rod Montoya,/Users/patrick/nra_score_map/img/nm/HMONR.jpg,http://www.nmlegis.gov/Images/Legislators/House/HMONR.jpg,Republican,nm,House,1
"Benny Shendo, Jr.",/Users/patrick/nra_score_map/img/nm/SSHEN.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SSHEN.jpg,Democratic,nm,Senate,22
John M. Sapien,/Users/patrick/nra_score_map/img/nm/SSAPI.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SSAPI.jpg,Democratic,nm,Senate,9
Candace Gould,/Users/patrick/nra_score_map/img/nm/SGOUL.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SGOUL.jpg,Republican,nm,Senate,10
Steven P. Neville,/Users/patrick/nra_score_map/img/nm/SNEVI.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SNEVI.jpg,Republican,nm,Senate,2
Kelly K. Fajardo,/Users/patrick/nra_score_map/img/nm/HFAJA.jpg,http://www.nmlegis.gov/Images/Legislators/House/HFAJA.jpg,Republican,nm,House,7
Mary Kay Papen,/Users/patrick/nra_score_map/img/nm/SPAPE.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SPAPE.jpg,Democratic,nm,Senate,38
Nathan P. Small,/Users/patrick/nra_score_map/img/nm/HSMAL.jpg,http://www.nmlegis.gov/Images/Legislators/House/HSMAL.jpg,Democratic,nm,House,36
Bill B. O'Neill,/Users/patrick/nra_score_map/img/nm/SONEI.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SONEI.jpg,Democratic,nm,Senate,13
Gregg Schmedes,/Users/patrick/nra_score_map/img/nm/HSCHM.jpg,http://www.nmlegis.gov/Images/Legislators/House/HSCHM.jpg,Republican,nm,House,22
"Clemente ""Memé"" Sanchez",/Users/patrick/nra_score_map/img/nm/SSACL.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SSACL.jpg,Democratic,nm,Senate,30
Sheryl Williams Stapleton,/Users/patrick/nra_score_map/img/nm/HSTAP.jpg,http://www.nmlegis.gov/Images/Legislators/House/HSTAP.jpg,Democratic,nm,House,19
Mimi Stewart,/Users/patrick/nra_score_map/img/nm/SSTEW.jpg,http://www.nmlegis.gov/Images/Legislators/Senate/SSTEW.jpg,Democratic,nm,Senate,17
