name,image_filepath,original_image_url,party,state,chamber,district
Karen McMahon,/Users/patrick/nra_score_map/img/ny/146.jpg,http://assembly.state.ny.us/mem/pic/146.jpg,Democratic,ny,Assembly,146
Colin Schmitt,/Users/patrick/nra_score_map/img/ny/099.jpg,http://assembly.state.ny.us/mem/pic/099.jpg,Republican,ny,Assembly,99
James Skoufis,/Users/patrick/nra_score_map/img/ny/headshot_4.jpg?itok=7Unqzqwx,https://www.nysenate.gov/sites/default/files/styles/160x160/public/headshot_4.jpg?itok=7Unqzqwx,Democratic,ny,Senate,39
Daphne Jordan,/Users/patrick/nra_score_map/img/ny/brm_5284_-_version_3.jpg?itok=rQVL3u-W,https://www.nysenate.gov/sites/default/files/styles/160x160/public/brm_5284_-_version_3.jpg?itok=rQVL3u-W,Republican,ny,Senate,43
Robert Smullen,/Users/patrick/nra_score_map/img/ny/118.jpg,http://assembly.state.ny.us/mem/pic/118.jpg,Republican,ny,Assembly,118
Charles Fall,/Users/patrick/nra_score_map/img/ny/061.jpg,http://assembly.state.ny.us/mem/pic/061.jpg,Democratic,ny,Assembly,61
Robert E. Antonacci,/Users/patrick/nra_score_map/img/ny/robert-e-antonacci-headshot.jpg?itok=3uX48AXz,https://www.nysenate.gov/sites/default/files/styles/160x160/public/robert-e-antonacci-headshot.jpg?itok=3uX48AXz,Republican,ny,Senate,50
Marianne Buttenschon,/Users/patrick/nra_score_map/img/ny/119.jpg,http://assembly.state.ny.us/mem/pic/119.jpg,Democratic,ny,Assembly,119
Julia Salazar,/Users/patrick/nra_score_map/img/ny/sd-18_unofficialhs.jpg?itok=wOwBX2Hq,https://www.nysenate.gov/sites/default/files/styles/160x160/public/sd-18_unofficialhs.jpg?itok=wOwBX2Hq,Democratic,ny,Senate,18
Alessandra Biaggi,/Users/patrick/nra_score_map/img/ny/official-headshot-a.jpg?itok=LIvbywnS,https://www.nysenate.gov/sites/default/files/styles/160x160/public/official-headshot-a.jpg?itok=LIvbywnS,Democratic,ny,Senate,34
Nader Sayegh,/Users/patrick/nra_score_map/img/ny/090.jpg,http://assembly.state.ny.us/mem/pic/090.jpg,Democratic,ny,Assembly,90
Brian Manktelow,/Users/patrick/nra_score_map/img/ny/130.jpg,http://assembly.state.ny.us/mem/pic/130.jpg,Republican,ny,Assembly,130
John Liu,/Users/patrick/nra_score_map/img/ny/sd-11_unofficial-hs.jpg?itok=bjrj7250,https://www.nysenate.gov/sites/default/files/styles/160x160/public/sd-11_unofficial-hs.jpg?itok=bjrj7250,Democratic,ny,Senate,11
Monica R. Martinez,/Users/patrick/nra_score_map/img/ny/mrm.jpg?itok=eNRqqFwb,https://www.nysenate.gov/sites/default/files/styles/160x160/public/mrm.jpg?itok=eNRqqFwb,Democratic,ny,Senate,3
Simcha Eichenstein,/Users/patrick/nra_score_map/img/ny/048.jpg,http://assembly.state.ny.us/mem/pic/048.jpg,Democratic,ny,Assembly,48
James Gaughran,/Users/patrick/nra_score_map/img/ny/sd-5_unofficialhs.jpg?itok=CIch9teg,https://www.nysenate.gov/sites/default/files/styles/160x160/public/sd-5_unofficialhs.jpg?itok=CIch9teg,Democratic,ny,Senate,5
Michael LiPetri,/Users/patrick/nra_score_map/img/ny/009.jpg,http://assembly.state.ny.us/mem/pic/009.jpg,Democratic,ny,Assembly,9
