name,image_filepath,original_image_url,party,state,chamber,district
Haraz N. Ghanbari,/Users/patrick/nra_score_map/img/oh/3.jpg,http://www.ohiohouse.gov/Assets/Headshots/Small/3.jpg,Republican,oh,House,3
Diane V. Grendell,/Users/patrick/nra_score_map/img/oh/76.jpg,http://www.ohiohouse.gov/Assets/Headshots/Small/76.jpg,Republican,oh,House,76
A. Nino Vitale,/Users/patrick/nra_score_map/img/oh/85.jpg,http://www.ohiohouse.gov/Assets/Headshots/Small/85.jpg,Republican,oh,House,85
John Eklund,/Users/patrick/nra_score_map/img/oh/1922.jpg,http://www.ohiosenate.gov/Assets/Members/Headshots/Medium/1922.jpg,Republican,oh,Senate,18
Frank Hoagland,/Users/patrick/nra_score_map/img/oh/2868.jpg,http://www.ohiosenate.gov/Assets/Members/Headshots/Medium/2868.jpg,Republican,oh,Senate,30
Peggy Lehner,/Users/patrick/nra_score_map/img/oh/1682.jpg,http://www.ohiosenate.gov/Assets/Members/Headshots/Medium/1682.jpg,Republican,oh,Senate,6
Bill Dean,/Users/patrick/nra_score_map/img/oh/74.jpg,http://www.ohiohouse.gov/Assets/Headshots/Small/74.jpg,Republican,oh,House,74
Mark J. Romanchuk,/Users/patrick/nra_score_map/img/oh/2.jpg,http://www.ohiohouse.gov/Assets/Headshots/Small/2.jpg,Republican,oh,House,2
John M. Rogers,/Users/patrick/nra_score_map/img/oh/60.jpg,http://www.ohiohouse.gov/Assets/Headshots/Small/60.jpg,Democratic,oh,House,60
Shane Wilkin,/Users/patrick/nra_score_map/img/oh/91.jpg,http://www.ohiohouse.gov/Assets/Headshots/Small/91.jpg,Republican,oh,House,91
Kristin Boggs,/Users/patrick/nra_score_map/img/oh/18.jpg,http://www.ohiohouse.gov/Assets/Headshots/Small/18.jpg,Democratic,oh,House,18
Laura Lanese,/Users/patrick/nra_score_map/img/oh/23.jpg,http://www.ohiohouse.gov/Assets/Headshots/Small/23.jpg,Republican,oh,House,23
Michele Lepore-Hagan,/Users/patrick/nra_score_map/img/oh/58.jpg,http://www.ohiohouse.gov/Assets/Headshots/Small/58.jpg,Democratic,oh,House,58
Riordan T. McClain,/Users/patrick/nra_score_map/img/oh/87.jpg,http://www.ohiohouse.gov/Assets/Headshots/Small/87.jpg,Republican,oh,House,87
Ron Hood,/Users/patrick/nra_score_map/img/oh/78.jpg,http://www.ohiohouse.gov/Assets/Headshots/Small/78.jpg,Republican,oh,House,78
Jay Edwards,/Users/patrick/nra_score_map/img/oh/94.jpg,http://www.ohiohouse.gov/Assets/Headshots/Small/94.jpg,Republican,oh,House,94
Bill Reineke,/Users/patrick/nra_score_map/img/oh/88.jpg,http://www.ohiohouse.gov/Assets/Headshots/Small/88.jpg,Republican,oh,House,88
Larry Obhof,/Users/patrick/nra_score_map/img/oh/1703.jpg,http://www.ohiosenate.gov/Assets/Members/Headshots/Medium/1703.jpg,Republican,oh,Senate,22
Darrell Kick,/Users/patrick/nra_score_map/img/oh/70.jpg,http://www.ohiohouse.gov/Assets/Headshots/Small/70.jpg,Republican,oh,House,70
Rick Carfagna,/Users/patrick/nra_score_map/img/oh/68.jpg,http://www.ohiohouse.gov/Assets/Headshots/Small/68.jpg,Republican,oh,House,68
Stephanie D. Howse,/Users/patrick/nra_score_map/img/oh/11.jpg,http://www.ohiohouse.gov/Assets/Headshots/Small/11.jpg,Democratic,oh,House,11
Paul Zeltwanger,/Users/patrick/nra_score_map/img/oh/54.jpg,http://www.ohiohouse.gov/Assets/Headshots/Small/54.jpg,Republican,oh,House,54
Doug Green,/Users/patrick/nra_score_map/img/oh/66.jpg,http://www.ohiohouse.gov/Assets/Headshots/Small/66.jpg,Republican,oh,House,66
Richard D. Brown,/Users/patrick/nra_score_map/img/oh/20.jpg,http://www.ohiohouse.gov/Assets/Headshots/Small/20.jpg,Democratic,oh,House,20
Rick Perales,/Users/patrick/nra_score_map/img/oh/73.jpg,http://www.ohiohouse.gov/Assets/Headshots/Small/73.jpg,Republican,oh,House,73
Cecil Thomas,/Users/patrick/nra_score_map/img/oh/2801.jpg,http://www.ohiosenate.gov/Assets/Members/Headshots/Medium/2801.jpg,Democratic,oh,Senate,9
