name,image_filepath,original_image_url,party,state,chamber,district
Toni Hasenbeck,"/Users/patrick/nra_score_map/img/ok/Hasenbeck,%20Toni.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Hasenbeck,%20Toni.jpg",Republican,ok,House,65
Sherrie Conley,"/Users/patrick/nra_score_map/img/ok/Conley,%20Sherrie.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Conley,%20Sherrie.jpg",Republican,ok,House,20
Jay Steagall,"/Users/patrick/nra_score_map/img/ok/Steagall,%20Jay.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Steagall,%20Jay.jpg",Republican,ok,House,43
Garry Mize,"/Users/patrick/nra_score_map/img/ok/Mize,%20Gary.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Mize,%20Gary.jpg",Republican,ok,House,31
Sheila Dills,"/Users/patrick/nra_score_map/img/ok/Dills,%20Sheila.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Dills,%20Sheila.jpg",Republican,ok,House,69
Daniel Pae,"/Users/patrick/nra_score_map/img/ok/Pae,%20Daniel.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Pae,%20Daniel.jpg",Republican,ok,House,62
T.J. Marti,"/Users/patrick/nra_score_map/img/ok/Marti,%20TJ.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Marti,%20TJ.jpg",Republican,ok,House,75
David Hardin,"/Users/patrick/nra_score_map/img/ok/Hardin,%20David.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Hardin,%20David.jpg",Republican,ok,House,86
Lonnie Sims,"/Users/patrick/nra_score_map/img/ok/Sims,%20Lonnie.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Sims,%20Lonnie.jpg",Republican,ok,House,68
Cynthia Roe,/Users/patrick/nra_score_map/img/ok/Cindy-Roe.jpg,https://www.okhouse.gov/Members/Pictures/HiRes/Cindy-Roe.jpg,Republican,ok,House,42
George Young,/Users/patrick/nra_score_map/img/ok/young_bio.jpg,http://www.oksenate.gov/Senators/biographies/Images/young_bio.jpg,Democratic,ok,Senate,48
Ty Burns,"/Users/patrick/nra_score_map/img/ok/Burns,%20Ty.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Burns,%20Ty.jpg",Republican,ok,House,35
John Michael Montgomery,/Users/patrick/nra_score_map/img/ok/montgomery_bio.jpg,http://www.oksenate.gov/Senators/biographies/Images/montgomery_bio.jpg,Republican,ok,Senate,32
John Waldron,"/Users/patrick/nra_score_map/img/ok/Waldron,%20John.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Waldron,%20John.jpg",Democratic,ok,House,77
Jeff Boatman,/Users/patrick/nra_score_map/img/ok/Jeff-Boatman.jpg,https://www.okhouse.gov/Members/Pictures/HiRes/Jeff-Boatman.jpg,Republican,ok,House,67
Chuck Hall,/Users/patrick/nra_score_map/img/ok/hall_bio.jpg,http://www.oksenate.gov/Senators/biographies/Images/hall_bio.jpg,Republican,ok,Senate,20
Trish Ranson,"/Users/patrick/nra_score_map/img/ok/Ranson,%20Trish.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Ranson,%20Trish.jpg",Democratic,ok,House,34
Mary Boren,/Users/patrick/nra_score_map/img/ok/boren_bio.jpg,http://www.oksenate.gov/Senators/biographies/Images/boren_bio.jpg,Democratic,ok,Senate,16
David Bullard,/Users/patrick/nra_score_map/img/ok/bullard_bio.jpg,http://www.oksenate.gov/Senators/biographies/Images/bullard_bio.jpg,Republican,ok,Senate,6
Nicole Miller,/Users/patrick/nra_score_map/img/ok/Nicole-Miller.jpg,https://www.okhouse.gov/Members/Pictures/HiRes/Nicole-Miller.jpg,Republican,ok,House,82
Randy Randleman,/Users/patrick/nra_score_map/img/ok/Randy-Randleman.jpg,https://www.okhouse.gov/Members/Pictures/HiRes/Randy-Randleman.jpg,Republican,ok,House,15
Melissa Provenzano,/Users/patrick/nra_score_map/img/ok/Melissa-Provenzano.jpg,https://www.okhouse.gov/Members/Pictures/HiRes/Melissa-Provenzano.jpg,Democratic,ok,House,79
Ken Luttrell,"/Users/patrick/nra_score_map/img/ok/Luttrell,%20Ken.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Luttrell,%20Ken.jpg",Republican,ok,House,37
Brian Hill,"/Users/patrick/nra_score_map/img/ok/Hill,%20Brian.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Hill,%20Brian.jpg",Republican,ok,House,47
David Smith,"/Users/patrick/nra_score_map/img/ok/Smith,%20David.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Smith,%20David.jpg",Republican,ok,House,18
Jim Olsen,"/Users/patrick/nra_score_map/img/ok/Olsen,%20Jim.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Olsen,%20Jim.jpg",Republican,ok,House,2
Bill Coleman,/Users/patrick/nra_score_map/img/ok/coleman_bio.jpg,http://www.oksenate.gov/Senators/biographies/Images/coleman_bio.jpg,Republican,ok,Senate,10
Mark Vancuren,/Users/patrick/nra_score_map/img/ok/Mark-Vancuren.jpg,https://www.okhouse.gov/Members/Pictures/HiRes/Mark-Vancuren.jpg,Republican,ok,House,74
Marilyn Stark,"/Users/patrick/nra_score_map/img/ok/Stark,%20Marilyn.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Stark,%20Marilyn.jpg",Republican,ok,House,100
Carri Hicks,/Users/patrick/nra_score_map/img/ok/hicks_bio.jpg,http://www.oksenate.gov/Senators/biographies/Images/hicks_bio.jpg,Democratic,ok,Senate,40
Ronny Johns,"/Users/patrick/nra_score_map/img/ok/Johns,%20Ronny.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Johns,%20Ronny.jpg",Republican,ok,House,25
Andy Fugate,"/Users/patrick/nra_score_map/img/ok/Fugate,%20Andy.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Fugate,%20Andy.jpg",Democratic,ok,House,94
Kelly Albright,/Users/patrick/nra_score_map/img/ok/Kelly-Albright.jpg,https://www.okhouse.gov/Members/Pictures/HiRes/Kelly-Albright.jpg,Democratic,ok,House,95
John Haste,/Users/patrick/nra_score_map/img/ok/haste_bio.jpg,http://www.oksenate.gov/Senators/biographies/Images/haste_bio.jpg,Republican,ok,Senate,36
Rusty Cornwell,"/Users/patrick/nra_score_map/img/ok/Cornwell,%20Rusty.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Cornwell,%20Rusty.jpg",Republican,ok,House,6
Merleyn Bell,"/Users/patrick/nra_score_map/img/ok/Bell,%20Merleyn.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Bell,%20Merleyn.jpg",Democratic,ok,House,45
Ajay Pittman,/Users/patrick/nra_score_map/img/ok/Ajay-Pittman.jpg,https://www.okhouse.gov/Members/Pictures/HiRes/Ajay-Pittman.jpg,Democratic,ok,House,99
Stan May,"/Users/patrick/nra_score_map/img/ok/May,%20Stan.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/May,%20Stan.jpg",Republican,ok,House,80
Julia Kirt,/Users/patrick/nra_score_map/img/ok/kirt_bio.jpg,http://www.oksenate.gov/Senators/biographies/Images/kirt_bio.jpg,Democratic,ok,Senate,30
Brent Howard,/Users/patrick/nra_score_map/img/ok/howard_bio.jpg,http://www.oksenate.gov/Senators/biographies/Images/howard_bio.jpg,Republican,ok,Senate,38
Denise Crosswhite Hader,"/Users/patrick/nra_score_map/img/ok/Crosswhite%20Hader,%20Denise.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Crosswhite%20Hader,%20Denise.jpg",Republican,ok,House,41
Logan Phillips,"/Users/patrick/nra_score_map/img/ok/Phillips,%20Logan.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Phillips,%20Logan.jpg",Republican,ok,House,24
Darrell Weaver,/Users/patrick/nra_score_map/img/ok/weaver_bio.jpg,http://www.oksenate.gov/Senators/biographies/weaver_bio.jpg,Republican,ok,Senate,24
Robert Manger,"/Users/patrick/nra_score_map/img/ok/Manger,%20Robert.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Manger,%20Robert.jpg",Republican,ok,House,101
Trey Caldwell,"/Users/patrick/nra_score_map/img/ok/Caldwell,%20Trey.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Caldwell,%20Trey.jpg",Republican,ok,House,63
Lundy Kiger,"/Users/patrick/nra_score_map/img/ok/Kiger,%20Lundy.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Kiger,%20Lundy.jpg",Republican,ok,House,3
Denise Brewer,/Users/patrick/nra_score_map/img/ok/Denise-Brewer.jpg,https://www.okhouse.gov/Members/Pictures/HiRes/Denise-Brewer.jpg,Democratic,ok,House,71
Tammy Townley,/Users/patrick/nra_score_map/img/ok/Tammy-Townley.jpg,https://www.okhouse.gov/Members/Pictures/HiRes/Tammy-Townley.jpg,Republican,ok,House,48
Chelsey Branham,/Users/patrick/nra_score_map/img/ok/Chelsey-Branham.jpg,https://www.okhouse.gov/Members/Pictures/HiRes/Chelsey-Branham.jpg,Democratic,ok,House,83
Johnny Tadlock,"/Users/patrick/nra_score_map/img/ok/Tadlock,%20Johnny.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Tadlock,%20Johnny.jpg",Republican,ok,House,1
Derrel Fincher,"/Users/patrick/nra_score_map/img/ok/Fincher,%20Derrel.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Fincher,%20Derrel.jpg",Republican,ok,House,11
Jim Grego,/Users/patrick/nra_score_map/img/ok/Jim-Grego.jpg,https://www.okhouse.gov/Members/Pictures/HiRes/Jim-Grego.jpg,Republican,ok,House,17
John Talley,"/Users/patrick/nra_score_map/img/ok/Talley,%20John.jpg","https://www.okhouse.gov/Members/Pictures/HiRes/Talley,%20John.jpg",Republican,ok,House,33
