name,image_filepath,original_image_url,party,state,chamber,district
Christine Drazan,/Users/patrick/nra_score_map/img/or/drazan.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/drazan.jpg,Republican,or,House,39
Kim Wallan,/Users/patrick/nra_score_map/img/or/wallan.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/wallan.jpg,Republican,or,House,6
Shelly Boshart Davis,/Users/patrick/nra_score_map/img/or/boshartdavis.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/boshartdavis.jpg,Republican,or,House,15
Jack Zika,/Users/patrick/nra_score_map/img/or/zika.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/zika.jpg,Republican,or,House,53
Anna Williams,/Users/patrick/nra_score_map/img/or/williams.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/williams.jpg,Democratic,or,House,52
Tiffiny Mitchell,/Users/patrick/nra_score_map/img/or/mitchell.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/mitchell.jpg,Democratic,or,House,32
Cheri Helt,/Users/patrick/nra_score_map/img/or/helt.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/helt.jpg,Republican,or,House,54
Rachel Prusak,/Users/patrick/nra_score_map/img/or/prusak.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/prusak.jpg,Democratic,or,House,37
Sheri Schouten,/Users/patrick/nra_score_map/img/or/schouten.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/schouten.jpg,Democratic,or,House,27
Jeff Golden,/Users/patrick/nra_score_map/img/or/golden.jpg,https://www.oregonlegislature.gov/senate/MemberPhotos/golden.jpg,Democratic,or,Senate,3
Marty Wilde,/Users/patrick/nra_score_map/img/or/wilde.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/wilde.jpg,Democratic,or,House,11
Courtney Neron,/Users/patrick/nra_score_map/img/or/neron.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/neron.jpg,Democratic,or,House,26
Alan Olsen,/Users/patrick/nra_score_map/img/or/olsen.jpg,https://www.oregonlegislature.gov/senate/MemberPhotos/olsen.jpg,Republican,or,Senate,20
Alissa Keny-Guyer,/Users/patrick/nra_score_map/img/or/keny-guyer.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/keny-guyer.jpg,Democratic,or,House,46
Andrea Salinas,/Users/patrick/nra_score_map/img/or/salinas.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/salinas.jpg,Democratic,or,House,38
Arnie Roblan,/Users/patrick/nra_score_map/img/or/roblan.jpg,https://www.oregonlegislature.gov/senate/MemberPhotos/roblan.jpg,Democratic,or,Senate,5
Barbara Smith Warner,/Users/patrick/nra_score_map/img/or/smithwarner.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/smithwarner.jpg,Democratic,or,House,45
Betsy Johnson,/Users/patrick/nra_score_map/img/or/johnson.jpg,https://www.oregonlegislature.gov/senate/MemberPhotos/johnson.jpg,Democratic,or,Senate,16
Bill Hansell,/Users/patrick/nra_score_map/img/or/hansell.jpg,https://www.oregonlegislature.gov/senate/MemberPhotos/hansell.jpg,Republican,or,Senate,29
Bill Post,/Users/patrick/nra_score_map/img/or/post.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/post.jpg,Republican,or,House,25
Brad Witt,/Users/patrick/nra_score_map/img/or/witt.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/witt.jpg,Democratic,or,House,31
Brian Boquist,/Users/patrick/nra_score_map/img/or/boquist.jpg,https://www.oregonlegislature.gov/senate/MemberPhotos/boquist.jpg,Republican,or,Senate,12
Brian Clem,/Users/patrick/nra_score_map/img/or/clem.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/clem.jpg,Democratic,or,House,21
Caddy McKeown,/Users/patrick/nra_score_map/img/or/mckeown.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/mckeown.jpg,Democratic,or,House,9
Carl Wilson,/Users/patrick/nra_score_map/img/or/wilson.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/wilson.jpg,Republican,or,House,3
Carla Piluso,/Users/patrick/nra_score_map/img/or/piluso.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/piluso.jpg,Democratic,or,House,50
Cedric Hayden,/Users/patrick/nra_score_map/img/or/hayden.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/hayden.jpg,Republican,or,House,7
Chris Gorsek,/Users/patrick/nra_score_map/img/or/gorsek.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/gorsek.jpg,Democratic,or,House,49
Chuck Riley,/Users/patrick/nra_score_map/img/or/riley.jpg,https://www.oregonlegislature.gov/senate/MemberPhotos/riley.jpg,Democratic,or,Senate,15
Chuck Thomsen,/Users/patrick/nra_score_map/img/or/thomsen.jpg,https://www.oregonlegislature.gov/senate/MemberPhotos/thomsen.jpg,Republican,or,Senate,26
Dan Rayfield,/Users/patrick/nra_score_map/img/or/rayfield.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/rayfield.jpg,Democratic,or,House,16
Daniel Bonham,/Users/patrick/nra_score_map/img/or/bonham .jpg,https://www.oregonlegislature.gov/house/MemberPhotos/bonham .jpg,Republican,or,House,59
David Brock Smith,/Users/patrick/nra_score_map/img/or/smithd.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/smithd.jpg,Republican,or,House,1
David Gomberg,/Users/patrick/nra_score_map/img/or/gomberg.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/gomberg.jpg,Democratic,or,House,10
Dennis Linthicum,/Users/patrick/nra_score_map/img/or/linthicum.jpg,https://www.oregonlegislature.gov/senate/MemberPhotos/linthicum.jpg,Republican,or,Senate,28
Diego Hernandez,/Users/patrick/nra_score_map/img/or/hernandez.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/hernandez.jpg,Democratic,or,House,47
Duane Stark,/Users/patrick/nra_score_map/img/or/stark.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/stark.jpg,Republican,or,House,4
E. Werner Reschke,/Users/patrick/nra_score_map/img/or/reschke.jpg,https://www.oregonlegislature.gov/house/MemberPhotos/reschke.jpg,Republican,or,House,56
Elizabeth Steiner Hayward,/Users/patrick/nra_score_map/img/or/steinerhayward.jpg,https://www.oregonlegislature.gov/senate/MemberPhotos/steinerhayward.jpg,Democratic,or,Senate,17
