name,image_filepath,original_image_url,party,state,chamber,district
Migdalia Padilla Alvelo,/Users/patrick/nra_score_map/img/pr/senador-22.jpg,https://senado.pr.gov/PublishingImages/Senadores/senador-22.jpg,Partido Nuevo Progresista,pr,Senate,II
Luis A. Berdiel Rivera,/Users/patrick/nra_score_map/img/pr/senador-19.jpg,https://senado.pr.gov/PublishingImages/Senadores/senador-19.jpg,Partido Nuevo Progresista,pr,Senate,V
Félix G. Lassalle Toro,/Users/patrick/nra_score_map/img/pr/60cc818f-980a-404d-955d-260fa92359da.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/60cc818f-980a-404d-955d-260fa92359da.jpg,Partido Nuevo Progresista,pr,House,16
Luis Pérez Ortiz,/Users/patrick/nra_score_map/img/pr/56894b7f-ca37-47c8-b7cb-1ed814d6991a.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/56894b7f-ca37-47c8-b7cb-1ed814d6991a.jpg,Partido Nuevo Progresista,pr,House,7
Abel Nazario Quiñones,/Users/patrick/nra_score_map/img/pr/senador-1.jpg,https://senado.pr.gov/PublishingImages/Senadores/senador-1.jpg,Partido Nuevo Progresista,pr,Senate,At-Large
Antonio L. Soto Torres,/Users/patrick/nra_score_map/img/pr/7e22dc7b-b52a-480d-b62f-a9e4b9c5fead.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/7e22dc7b-b52a-480d-b62f-a9e4b9c5fead.jpg,Partido Nuevo Progresista,pr,House,6
Maricarmen Mas Rodríguez,/Users/patrick/nra_score_map/img/pr/c3bf7950-08ae-4080-9ca5-2c2008ffe1a8.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/c3bf7950-08ae-4080-9ca5-2c2008ffe1a8.jpg,Partido Nuevo Progresista,pr,House,19
José F. Aponte Hernández,/Users/patrick/nra_score_map/img/pr/9d1b92d5-47e8-4015-914d-6afabb74f5eb.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/9d1b92d5-47e8-4015-914d-6afabb74f5eb.jpg,Partido Nuevo Progresista,pr,House,At-Large
José A. Banchs Alemán,/Users/patrick/nra_score_map/img/pr/f7cec580-5aca-4e18-b11b-3b9914a5a71f.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/f7cec580-5aca-4e18-b11b-3b9914a5a71f.jpg,Partido Nuevo Progresista,pr,House,24
José M. Varela Fernández,/Users/patrick/nra_score_map/img/pr/cb852a64-2bd1-433d-83d8-4836488d8cbe.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/cb852a64-2bd1-433d-83d8-4836488d8cbe.jpg,Partido Popular Democrático,pr,House,32
Nelson Del Valle Colón,/Users/patrick/nra_score_map/img/pr/4f742c36-386b-445d-ac2d-8a0488855f40.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/4f742c36-386b-445d-ac2d-8a0488855f40.jpg,Partido Nuevo Progresista,pr,House,9
Jesús Santa Rodríguez,/Users/patrick/nra_score_map/img/pr/07f656f1-9872-43c9-bd32-64c6d86ea806.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/07f656f1-9872-43c9-bd32-64c6d86ea806.jpg,Partido Popular Democrático,pr,House,31
Javier A. Aponte Dalmau,/Users/patrick/nra_score_map/img/pr/6caa6b19-7a9f-422e-87c5-8420bbf8db53.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/6caa6b19-7a9f-422e-87c5-8420bbf8db53.jpg,Partido Popular Democrático,pr,House,38
Lydia Méndez Silva,/Users/patrick/nra_score_map/img/pr/443a22db-b677-44d6-8a4e-076859a27bef.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/443a22db-b677-44d6-8a4e-076859a27bef.jpg,Partido Popular Democrático,pr,House,21
Brenda López de Arrarás,/Users/patrick/nra_score_map/img/pr/5d66d313-b280-420e-aff6-ba80ab25d8a4.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/5d66d313-b280-420e-aff6-ba80ab25d8a4.jpg,Partido Popular Democrático,pr,House,At-Large
Miguel A. Laureano Correa,/Users/patrick/nra_score_map/img/pr/senador-23.jpg,https://senado.pr.gov/PublishingImages/Senadores/senador-23.jpg,Partido Nuevo Progresista,pr,Senate,VII
Néstor A. Alonso Vega,/Users/patrick/nra_score_map/img/pr/5ae4ed51-d153-4fd6-b4a5-01fd0db060c9.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/5ae4ed51-d153-4fd6-b4a5-01fd0db060c9.jpg,Partido Nuevo Progresista,pr,House,At-Large
Carlos A. Bianchi Angleró,/Users/patrick/nra_score_map/img/pr/c71258b-4b3e-4ca6-a071-bb0b64ae3e57.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/c71258b-4b3e-4ca6-a071-bb0b64ae3e57.jpg,Partido Popular Democrático,pr,House,20
Luis R. Vega Ramos,/Users/patrick/nra_score_map/img/pr/84da49f-248c-489b-8611-aacb49f54a66.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/84da49f-248c-489b-8611-aacb49f54a66.jpg,Partido Popular Democrático,pr,House,At-Large
Henry Neumann Zayas,/Users/patrick/nra_score_map/img/pr/senador-7.jpg,https://senado.pr.gov/PublishingImages/Senadores/senador-7.jpg,Partido Nuevo Progresista,pr,Senate,I
Víctor M. Torres González,/Users/patrick/nra_score_map/img/pr/3e2f20bc-7588-47ed-a087-2a48c21cdfc0.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/3e2f20bc-7588-47ed-a087-2a48c21cdfc0.jpg,Partido Nuevo Progresista,pr,House,23
Rafael Hernández Montañez,/Users/patrick/nra_score_map/img/pr/fa251794-6b94-4041-be9a-0e7ba7399493.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/fa251794-6b94-4041-be9a-0e7ba7399493.jpg,Partido Popular Democrático,pr,House,11
Manuel A. Natal Albelo,/Users/patrick/nra_score_map/img/pr/a1a49dc8-4b3b-43c7-8fb5-e14c889b7a98.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/a1a49dc8-4b3b-43c7-8fb5-e14c889b7a98.jpg,Independent,pr,House,At-Large
Joel I. Franqui Atiles,/Users/patrick/nra_score_map/img/pr/e3f1b6c2-548a-424e-9298-6cc26583a569.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/e3f1b6c2-548a-424e-9298-6cc26583a569.jpg,Partido Nuevo Progresista,pr,House,15
Eddie Charbonier Chinea,/Users/patrick/nra_score_map/img/pr/95a701a5-5c8b-404e-83b6-e022977645a4.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/95a701a5-5c8b-404e-83b6-e022977645a4.jpg,Partido Nuevo Progresista,pr,House,1
Carmelo J. Ríos Santiago,/Users/patrick/nra_score_map/img/pr/senador-3.jpg?RenditionID=1,https://senado.pr.gov/PublishingImages/Senadores/senador-3.jpg?RenditionID=1,Partido Nuevo Progresista,pr,Senate,II
Michael A. Quiñones Irizarry,/Users/patrick/nra_score_map/img/pr/3426bfeb-6a87-4f5e-9b7b-b18cbd02cc3a.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/3426bfeb-6a87-4f5e-9b7b-b18cbd02cc3a.jpg,Partido Nuevo Progresista,pr,House,22
Manuel Claudio,/Users/patrick/nra_score_map/img/pr/196ce829-e9c4-4dab-b5e5-ca9328921565.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/196ce829-e9c4-4dab-b5e5-ca9328921565.jpg,Partido Nuevo Progresista,pr,House,27
Jesús Manuel Ortiz González,/Users/patrick/nra_score_map/img/pr/5e3550bc-265d-4e78-a393-7a4e3a80b215.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/5e3550bc-265d-4e78-a393-7a4e3a80b215.jpg,Partido Popular Democrático,pr,House,At-Large
Jacqueline Rodríguez Hernández,/Users/patrick/nra_score_map/img/pr/d0891542-98fb-4513-b2b9-011767c1a7f4.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/d0891542-98fb-4513-b2b9-011767c1a7f4.jpg,Partido Nuevo Progresista,pr,House,25
Guillermo Miranda Rivera,/Users/patrick/nra_score_map/img/pr/23f801c8-a36d-4d31-92da-27eb8327f676.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/23f801c8-a36d-4d31-92da-27eb8327f676.jpg,Partido Nuevo Progresista,pr,House,12
Ramón L. Cruz Burgos,/Users/patrick/nra_score_map/img/pr/bcd177b1-25db-4bd1-a19b-5314ab410cc9.jpg,http://www.tucamarapr.org/dnncamara/images/Representantes/bcd177b1-25db-4bd1-a19b-5314ab410cc9.jpg,Partido Popular Democrático,pr,House,34
