name,image_filepath,original_image_url,party,state,chamber,district
Kenyan McDuffie,/Users/patrick/nra_score_map/img/dc/Councilmember_Kenyan_R._McDuffie_Official_Photograph_small-copy-1-125x125-c-default.jpg,http://dccouncil.us/wp-content/uploads/2017/03/Councilmember_Kenyan_R._McDuffie_Official_Photograph_small-copy-1-125x125-c-default.jpg,Democratic,dc,,Ward 5
Vincent Gray,/Users/patrick/nra_score_map/img/dc/Headshot_gray_small-125x125-c-default.jpg,http://dccouncil.us/wp-content/uploads/2017/03/Headshot_gray_small-125x125-c-default.jpg,Democratic,dc,,Ward 7
Charles Allen,/Users/patrick/nra_score_map/img/dc/C._Allen_small_1-125x125-c-default.jpg,http://dccouncil.us/wp-content/uploads/2017/06/C._Allen_small_1-125x125-c-default.jpg,Democratic,dc,,Ward 6
David Grosso,/Users/patrick/nra_score_map/img/dc/david_grosso_color__small-copy-2-125x125-c-default.jpg,http://dccouncil.us/wp-content/uploads/2017/03/david_grosso_color__small-copy-2-125x125-c-default.jpg,Independent,dc,,At-Large
Brandon Todd,/Users/patrick/nra_score_map/img/dc/CM-Todd-Formal-Headshot-125x125-c-default.jpg,http://dccouncil.us/wp-content/uploads/2017/06/CM-Todd-Formal-Headshot-125x125-c-default.jpg,Democratic,dc,,Ward 4
Brianne K. Nadeau,/Users/patrick/nra_score_map/img/dc/bkn-125x125-c-default.jpg,http://dccouncil.us/wp-content/uploads/2017/03/bkn-125x125-c-default.jpg,Democratic,dc,,Ward 1
Anita Bonds,/Users/patrick/nra_score_map/img/dc/Anita-125x125-c-default.jpg,http://dccouncil.us/wp-content/uploads/2017/03/Anita-125x125-c-default.jpg,Democratic,dc,,At-Large
Phil Mendelson,/Users/patrick/nra_score_map/img/dc/Photo-107-002-125x125-c-default.jpg,http://dccouncil.us/wp-content/uploads/2017/03/Photo-107-002-125x125-c-default.jpg,Democratic,dc,,At-Large
Jack Evans,/Users/patrick/nra_score_map/img/dc/evans-125x125-c-default.jpg,http://dccouncil.us/wp-content/uploads/2017/03/evans-125x125-c-default.jpg,Democratic,dc,,Ward 2
Robert White,/Users/patrick/nra_score_map/img/dc/CMWhite_WebsitePhoto_small-125x125-c-default.jpg,http://dccouncil.us/wp-content/uploads/2017/06/CMWhite_WebsitePhoto_small-125x125-c-default.jpg,Democratic,dc,,At-Large
Mary Cheh,/Users/patrick/nra_score_map/img/dc/CMMC_head_shot_140_137_c1-125x125-c-default.jpg,http://dccouncil.us/wp-content/uploads/2017/06/CMMC_head_shot_140_137_c1-125x125-c-default.jpg,Democratic,dc,,Ward 3
Trayon White,/Users/patrick/nra_score_map/img/dc/tw-125x125-c-default.jpg,http://dccouncil.us/wp-content/uploads/2017/06/tw-125x125-c-default.jpg,Democratic,dc,,Ward 8
Elissa Silverman,/Users/patrick/nra_score_map/img/dc/silverman2-125x125-c-default.jpg,http://dccouncil.us/wp-content/uploads/2017/03/silverman2-125x125-c-default.jpg,Independent,dc,,At-Large
