name,image_filepath,original_image_url,party,state,chamber,district
Earl G. Jaques Jr.,/Users/patrick/nra_score_map/img/de/EarlJaques.jpg?sfvrsn=0,https://legis.delaware.gov/images/default-source/default-album/EarlJaques.jpg?sfvrsn=0,Democratic,de,House,27
Stephanie L. Hansen,/Users/patrick/nra_score_map/img/de/Hansen.jpg?sfvrsn=0,https://legis.delaware.gov/images/default-source/default-album/Hansen.jpg?sfvrsn=0,Democratic,de,Senate,10
Jeff N. Spiegelman,/Users/patrick/nra_score_map/img/de/JeffSpiegelman2017.jpg?sfvrsn=0,https://legis.delaware.gov/images/default-source/default-album/JeffSpiegelman2017.jpg?sfvrsn=0,Republican,de,House,11
Paul S. Baumbach,/Users/patrick/nra_score_map/img/de/PaulBaumbach.jpg?sfvrsn=0,https://legis.delaware.gov/images/default-source/default-album/PaulBaumbach.jpg?sfvrsn=0,Democratic,de,House,23
Stephanie  T. Bolden,/Users/patrick/nra_score_map/img/de/StephanieTBolden.jpg?sfvrsn=0,https://legis.delaware.gov/images/default-source/default-album/StephanieTBolden.jpg?sfvrsn=0,Democratic,de,House,2
Michael Ramone,/Users/patrick/nra_score_map/img/de/MichaelRamone.jpg?sfvrsn=0,https://legis.delaware.gov/images/default-source/default-album/MichaelRamone.jpg?sfvrsn=0,Republican,de,House,21
John Walsh,/Users/patrick/nra_score_map/img/de/JohnWalsh.jpg?sfvrsn=0,https://legis.delaware.gov/images/default-source/default-album/JohnWalsh.jpg?sfvrsn=0,Democratic,de,Senate,9
Anthony Delcollo,/Users/patrick/nra_score_map/img/de/Delcollo.jpg?sfvrsn=0,https://legis.delaware.gov/images/default-source/default-album/Delcollo.jpg?sfvrsn=0,Republican,de,Senate,7
William J. Carson,/Users/patrick/nra_score_map/img/de/WilliamCarson.jpg?sfvrsn=0,https://legis.delaware.gov/images/default-source/default-album/WilliamCarson.jpg?sfvrsn=0,Democratic,de,House,28
Debra Heffernan,/Users/patrick/nra_score_map/img/de/DebraHeffernan.jpg?sfvrsn=0,https://legis.delaware.gov/images/default-source/default-album/DebraHeffernan.jpg?sfvrsn=0,Democratic,de,House,6
Ernesto B Lopez,/Users/patrick/nra_score_map/img/de/ErnestLopez.jpg?sfvrsn=0,https://legis.delaware.gov/images/default-source/default-album/ErnestLopez.jpg?sfvrsn=0,Republican,de,Senate,6
Kevin S Hensley,/Users/patrick/nra_score_map/img/de/KevinHensley.jpg?sfvrsn=0,https://legis.delaware.gov/images/default-source/default-album/KevinHensley.jpg?sfvrsn=0,Republican,de,House,9
Ruth Briggs King,/Users/patrick/nra_score_map/img/de/RuthBriggsKing.jpg?sfvrsn=2,https://legis.delaware.gov/images/default-source/Legislators/RuthBriggsKing.jpg?sfvrsn=2,Republican,de,House,37
Sean M. Lynn,/Users/patrick/nra_score_map/img/de/SeanLynn.jpg?sfvrsn=0,https://legis.delaware.gov/images/default-source/default-album/SeanLynn.jpg?sfvrsn=0,Democratic,de,House,31
Edward S. Osienski,/Users/patrick/nra_score_map/img/de/EdwardOsienski.jpg?sfvrsn=0,https://legis.delaware.gov/images/default-source/default-album/EdwardOsienski.jpg?sfvrsn=0,Democratic,de,House,24
Quinton Johnson,/Users/patrick/nra_score_map/img/de/QuinnJohnson.jpg?sfvrsn=0,https://legis.delaware.gov/images/default-source/default-album/QuinnJohnson.jpg?sfvrsn=0,Democratic,de,House,8
Brian Pettyjohn,/Users/patrick/nra_score_map/img/de/BrianPettyjohn.jpg?sfvrsn=2,https://legis.delaware.gov/images/default-source/Legislators/BrianPettyjohn.jpg?sfvrsn=2,Republican,de,Senate,19
Gerald L. Brady,/Users/patrick/nra_score_map/img/de/GeraldBrady.jpg?sfvrsn=0,https://legis.delaware.gov/images/default-source/default-album/GeraldBrady.jpg?sfvrsn=0,Democratic,de,House,4
