name,image_filepath,original_image_url,party,state,chamber,district
Patricia H. Williams,/Users/patrick/nra_score_map/img/fl/4629.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4629.jpg,Democratic,fl,House,92
Sharon Pritchett,/Users/patrick/nra_score_map/img/fl/4561.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4561.jpg,Democratic,fl,House,102
Daniel Perez,/Users/patrick/nra_score_map/img/fl/4690.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4690.jpg,Republican,fl,House,116
Bobby Payne,/Users/patrick/nra_score_map/img/fl/4653.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4653.jpg,Republican,fl,House,19
Carlos Guillermo Smith,/Users/patrick/nra_score_map/img/fl/4642.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4642.jpg,Democratic,fl,House,49
Al Jacquet,/Users/patrick/nra_score_map/img/fl/4628.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4628.jpg,Democratic,fl,House,88
Dane Eagle,/Users/patrick/nra_score_map/img/fl/4573.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4573.jpg,Republican,fl,House,77
Jose R. Oliva,/Users/patrick/nra_score_map/img/fl/4534.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4534.jpg,Republican,fl,House,110
"Ralph E. Massullo, MD",/Users/patrick/nra_score_map/img/fl/4624.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4624.jpg,Republican,fl,House,34
Tracie Davis,/Users/patrick/nra_score_map/img/fl/4651.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4651.jpg,Democratic,fl,House,13
Kathleen Passidomo,/Users/patrick/nra_score_map/img/fl/s28_5196.jpg,http://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/s28_5196.jpg,Republican,fl,Senate,28
"James ""J.W."" Grant",/Users/patrick/nra_score_map/img/fl/4504.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4504.jpg,Republican,fl,House,64
Blaise Ingoglia,/Users/patrick/nra_score_map/img/fl/4603.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4603.jpg,Republican,fl,House,35
Josie Tomkow,/Users/patrick/nra_score_map/img/fl/4704.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4704.jpg,Republican,fl,House,39
Ray Wesley Rodrigues,/Users/patrick/nra_score_map/img/fl/4572.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4572.jpg,Republican,fl,House,76
Bruce Antone,/Users/patrick/nra_score_map/img/fl/4269.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4269.jpg,Democratic,fl,House,46
Jason Fischer,/Users/patrick/nra_score_map/img/fl/4639.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4639.jpg,Republican,fl,House,16
Bryan Avila,/Users/patrick/nra_score_map/img/fl/4615.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4615.jpg,Republican,fl,House,111
Jay Trumbull,/Users/patrick/nra_score_map/img/fl/4600.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4600.jpg,Republican,fl,House,6
Javier E. Fernández,/Users/patrick/nra_score_map/img/fl/4705.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4705.jpg,Democratic,fl,House,114
Bob Rommel,/Users/patrick/nra_score_map/img/fl/4634.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4634.jpg,Republican,fl,House,106
Lawrence McClure,/Users/patrick/nra_score_map/img/fl/4686.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4686.jpg,Republican,fl,House,58
Kevin J. Rader,/Users/patrick/nra_score_map/img/fl/s29_5032.jpg,http://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/s29_5032.jpg,Democratic,fl,Senate,29
Gary M. Farmer Jr.,/Users/patrick/nra_score_map/img/fl/s34_5198.jpg,http://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/s34_5198.jpg,Democratic,fl,Senate,34
Jennifer Mae Sullivan,/Users/patrick/nra_score_map/img/fl/4602.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4602.jpg,Republican,fl,House,31
Jackie Toledo,/Users/patrick/nra_score_map/img/fl/4647.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4647.jpg,Republican,fl,House,60
Annette Taddeo,/Users/patrick/nra_score_map/img/fl/s40_5331.jpg,http://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/s40_5331.jpg,Democratic,fl,Senate,40
"Thomas J. ""Tom"" Leek",/Users/patrick/nra_score_map/img/fl/4662.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4662.jpg,Republican,fl,House,25
Bobby B. DuBose,/Users/patrick/nra_score_map/img/fl/4612.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4612.jpg,Democratic,fl,House,94
Charlie Stone,/Users/patrick/nra_score_map/img/fl/4537.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4537.jpg,Republican,fl,House,22
W. Travis Cummings,/Users/patrick/nra_score_map/img/fl/4540.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4540.jpg,Republican,fl,House,18
David Silvers,/Users/patrick/nra_score_map/img/fl/4627.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4627.jpg,Democratic,fl,House,87
Evan Jenne,/Users/patrick/nra_score_map/img/fl/4365.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4365.jpg,Democratic,fl,House,99
David Santiago,/Users/patrick/nra_score_map/img/fl/4544.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4544.jpg,Republican,fl,House,27
Jayer Williamson,/Users/patrick/nra_score_map/img/fl/4622.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4622.jpg,Republican,fl,House,3
Keith Perry,/Users/patrick/nra_score_map/img/fl/s08_5200.jpg,http://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/s08_5200.jpg,Republican,fl,Senate,8
Cyndi Stevenson,/Users/patrick/nra_score_map/img/fl/4620.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4620.jpg,Republican,fl,House,17
"William Cloud ""Will"" Robinson , Jr.",/Users/patrick/nra_score_map/img/fl/4733.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4733.jpg,Republican,fl,House,71
Cindy Polo,/Users/patrick/nra_score_map/img/fl/4721.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4721.jpg,Democratic,fl,House,103
"Joseph A. ""Joe"" Casello",/Users/patrick/nra_score_map/img/fl/4750.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4750.jpg,Democratic,fl,House,90
Tina Scott Polsky,/Users/patrick/nra_score_map/img/fl/4751.jpg,https://www.myfloridahouse.gov//FileStores/Web/Imaging/Member/4751.jpg,Democratic,fl,House,81
