name,image_filepath,original_image_url,party,state,chamber,district
Angus L.K. McKelvey,/Users/patrick/nra_score_map/img/hi/mckelvey.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/mckelvey.jpg,Democratic,hi,House,10
Ty J.K. Cullen,/Users/patrick/nra_score_map/img/hi/cullen.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/cullen.jpg,Democratic,hi,House,39
Gil Riviere,/Users/patrick/nra_score_map/img/hi/riviere.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/riviere.jpg,Democratic,hi,Senate,23
Henry J.C. Aquino,/Users/patrick/nra_score_map/img/hi/aquino.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/aquino.jpg,Democratic,hi,House,38
Bob McDermott,/Users/patrick/nra_score_map/img/hi/mcdermott.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/mcdermott.jpg,Republican,hi,House,40
Laura H. Thielen,/Users/patrick/nra_score_map/img/hi/lthielen.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/lthielen.jpg,Democratic,hi,Senate,25
Nicole E. Lowen,/Users/patrick/nra_score_map/img/hi/lowen.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/lowen.jpg,Democratic,hi,House,6
Joy A. San Buenaventura,/Users/patrick/nra_score_map/img/hi/sanbuenaventura.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/sanbuenaventura.jpg,Democratic,hi,House,4
Nadine K. Nakamura,/Users/patrick/nra_score_map/img/hi/nakamura.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/nakamura.jpg,Democratic,hi,House,14
Gilbert S.C. Keith-Agaran,/Users/patrick/nra_score_map/img/hi/keithagaran.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/keithagaran.jpg,Democratic,hi,Senate,5
Scott Y. Nishimoto,/Users/patrick/nra_score_map/img/hi/nishimoto.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/nishimoto.jpg,Democratic,hi,House,21
Glenn Wakai,/Users/patrick/nra_score_map/img/hi/wakai.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/wakai.jpg,Democratic,hi,Senate,15
Bertrand Kobayashi,/Users/patrick/nra_score_map/img/hi/kobayashi.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/kobayashi.jpg,Democratic,hi,House,19
Lynn DeCoite,/Users/patrick/nra_score_map/img/hi/decoite.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/decoite.jpg,Democratic,hi,House,13
Cynthia Thielen,/Users/patrick/nra_score_map/img/hi/thielen.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/thielen.jpg,Republican,hi,House,50
Richard H.K. Onishi,/Users/patrick/nra_score_map/img/hi/onishi.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/onishi.jpg,Democratic,hi,House,3
Gene Ward,/Users/patrick/nra_score_map/img/hi/ward.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/ward.jpg,Republican,hi,House,17
Justin H. Woodson,/Users/patrick/nra_score_map/img/hi/woodson.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/woodson.jpg,Democratic,hi,House,9
Stanley Chang,/Users/patrick/nra_score_map/img/hi/schang.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/schang.jpg,Democratic,hi,Senate,9
Della Au Belatti,/Users/patrick/nra_score_map/img/hi/belatti.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/belatti.jpg,Democratic,hi,House,24
Kyle T. Yamashita,/Users/patrick/nra_score_map/img/hi/yamashita.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/yamashita.jpg,Democratic,hi,House,12
John M. Mizuno,/Users/patrick/nra_score_map/img/hi/mizuno.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/mizuno.jpg,Democratic,hi,House,28
Donovan M. Dela Cruz,/Users/patrick/nra_score_map/img/hi/delacruz.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/delacruz.jpg,Democratic,hi,Senate,22
Ronald D. Kouchi,/Users/patrick/nra_score_map/img/hi/kouchi.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/kouchi.jpg,Democratic,hi,Senate,8
Sharon E. Har,/Users/patrick/nra_score_map/img/hi/har.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/har.jpg,Democratic,hi,House,42
Tom Brower,/Users/patrick/nra_score_map/img/hi/brower.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/brower.jpg,Democratic,hi,House,22
Troy N. Hashimoto,/Users/patrick/nra_score_map/img/hi/hashimoto.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/hashimoto.jpg,Democratic,hi,House,8
Donna Mercado Kim,/Users/patrick/nra_score_map/img/hi/kim.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/kim.jpg,Democratic,hi,Senate,14
Calvin K.Y. Say,/Users/patrick/nra_score_map/img/hi/say.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/say.jpg,Democratic,hi,House,20
Ryan I. Yamane,/Users/patrick/nra_score_map/img/hi/yamane.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/yamane.jpg,Democratic,hi,House,37
Dee Morikawa,/Users/patrick/nra_score_map/img/hi/morikawa.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/morikawa.jpg,Democratic,hi,House,16
Clarence K. Nishihara,/Users/patrick/nra_score_map/img/hi/nishihara.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/nishihara.jpg,Democratic,hi,Senate,17
James Kunane Tokioka,/Users/patrick/nra_score_map/img/hi/tokioka.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/tokioka.jpg,Democratic,hi,House,15
Romy M. Cachola,/Users/patrick/nra_score_map/img/hi/cachola.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/cachola.jpg,Democratic,hi,House,30
Chris Lee,/Users/patrick/nra_score_map/img/hi/clee.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/clee.jpg,Democratic,hi,House,51
Russell E. Ruderman,/Users/patrick/nra_score_map/img/hi/ruderman.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/ruderman.jpg,Democratic,hi,Senate,2
Aaron Ling Johanson,/Users/patrick/nra_score_map/img/hi/johanson.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/johanson.jpg,Democratic,hi,House,31
Richard P. Creagan,/Users/patrick/nra_score_map/img/hi/creagan.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/creagan.jpg,Democratic,hi,House,5
Brian T. Taniguchi,/Users/patrick/nra_score_map/img/hi/taniguchi.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/taniguchi.jpg,Democratic,hi,Senate,11
Gregg Takayama,/Users/patrick/nra_score_map/img/hi/takayama.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/takayama.jpg,Democratic,hi,House,34
Chris Todd,/Users/patrick/nra_score_map/img/hi/todd.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/todd.jpg,Democratic,hi,House,2
Sean Quinlan,/Users/patrick/nra_score_map/img/hi/quinlan.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/quinlan.jpg,Democratic,hi,House,47
Roy M. Takumi,/Users/patrick/nra_score_map/img/hi/takumi.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/takumi.jpg,Democratic,hi,House,35
Mark M. Nakashima,/Users/patrick/nra_score_map/img/hi/nakashima.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/nakashima.jpg,Democratic,hi,House,1
Rosalyn H. Baker,/Users/patrick/nra_score_map/img/hi/baker.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/baker.jpg,Democratic,hi,Senate,6
Scott K. Saiki,/Users/patrick/nra_score_map/img/hi/saiki.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/saiki.jpg,Democratic,hi,House,26
Daniel Holt,/Users/patrick/nra_score_map/img/hi/holt.jpg,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/holt.jpg,Democratic,hi,House,29
