name,image_filepath,original_image_url,party,state,chamber,district
Jason Probst,/Users/patrick/nra_score_map/img/ks/rep_probst_jason_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_probst_jason_1.jpg,Democratic,ks,House,102
Cindy Holscher,/Users/patrick/nra_score_map/img/ks/rep_holscher_cindy_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_holscher_cindy_1.jpg,Democratic,ks,House,16
Pat Pettey,/Users/patrick/nra_score_map/img/ks/sen_pettey_pat_1.jpg,http://www.kslegislature.org/li/m/images/pics/sen_pettey_pat_1.jpg,Democratic,ks,Senate,6
Leonard Mastroni,/Users/patrick/nra_score_map/img/ks/rep_mastroni_leonard_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_mastroni_leonard_1.jpg,Republican,ks,House,117
Adam Smith,/Users/patrick/nra_score_map/img/ks/rep_smith_adam_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_smith_adam_1.jpg,Republican,ks,House,120
Kyle Hoffman,/Users/patrick/nra_score_map/img/ks/rep_hoffman_kyle_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_hoffman_kyle_1.jpg,Republican,ks,House,116
Dan Kerschen,/Users/patrick/nra_score_map/img/ks/sen_kerschen_dan_1.jpg,http://www.kslegislature.org/li/m/images/pics/sen_kerschen_dan_1.jpg,Republican,ks,Senate,26
Gail Finney,/Users/patrick/nra_score_map/img/ks/rep_finney_gail_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_finney_gail_1.jpg,Democratic,ks,House,84
Jan Kessinger,/Users/patrick/nra_score_map/img/ks/rep_kessinger_jan_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_kessinger_jan_1.jpg,Republican,ks,House,20
Francis Awerkamp,/Users/patrick/nra_score_map/img/ks/rep_awerkamp_francis_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_awerkamp_francis_1.jpg,Republican,ks,House,61
Blake Carpenter,/Users/patrick/nra_score_map/img/ks/rep_carpenter_blake_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_carpenter_blake_1.jpg,Republican,ks,House,81
Susan Humphries,/Users/patrick/nra_score_map/img/ks/rep_humphries_susan_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_humphries_susan_1.jpg,Republican,ks,House,99
Richard Proehl,/Users/patrick/nra_score_map/img/ks/rep_proehl_richard_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_proehl_richard_1.jpg,Republican,ks,House,7
Jim Kelly,/Users/patrick/nra_score_map/img/ks/rep_kelly_jim_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_kelly_jim_1.jpg,Republican,ks,House,11
Doug Blex,/Users/patrick/nra_score_map/img/ks/rep_blex_doug_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_blex_doug_1.jpg,Republican,ks,House,12
Elizabeth Bishop,/Users/patrick/nra_score_map/img/ks/rep_bishop_elizabeth_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_bishop_elizabeth_1.jpg,Democratic,ks,House,88
Jack Thimesch,/Users/patrick/nra_score_map/img/ks/rep_thimesch_jack_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_thimesch_jack_1.jpg,Republican,ks,House,114
Bill Sutton,/Users/patrick/nra_score_map/img/ks/rep_sutton_william_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_sutton_william_1.jpg,Republican,ks,House,43
Broderick Henderson,/Users/patrick/nra_score_map/img/ks/rep_henderson_broderick_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_henderson_broderick_1.jpg,Democratic,ks,House,35
John Barker,/Users/patrick/nra_score_map/img/ks/rep_barker_john_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_barker_john_1.jpg,Republican,ks,House,70
Annie Kuether,/Users/patrick/nra_score_map/img/ks/rep_kuether_annie_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_kuether_annie_1.jpg,Democratic,ks,House,55
Richard Hilderbrand,/Users/patrick/nra_score_map/img/ks/sen_hilderbrand_richard_1.jpg,http://www.kslegislature.org/li/m/images/pics/sen_hilderbrand_richard_1.jpg,Republican,ks,Senate,13
Monica Murnan,/Users/patrick/nra_score_map/img/ks/rep_murnan_monica_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_murnan_monica_1.jpg,Democratic,ks,House,3
Larry Alley,/Users/patrick/nra_score_map/img/ks/sen_alley_larry_1.jpg,http://www.kslegislature.org/li/m/images/pics/sen_alley_larry_1.jpg,Republican,ks,Senate,32
Dave Baker,/Users/patrick/nra_score_map/img/ks/rep_baker_dave_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_baker_dave_1.jpg,Republican,ks,House,68
Elaine Bowers,/Users/patrick/nra_score_map/img/ks/sen_bowers_elaine_1.jpg,http://www.kslegislature.org/li/m/images/pics/sen_bowers_elaine_1.jpg,Republican,ks,Senate,36
Jeff Longbine,/Users/patrick/nra_score_map/img/ks/sen_longbine_jeff_1.jpg,http://www.kslegislature.org/li/m/images/pics/sen_longbine_jeff_1.jpg,Republican,ks,Senate,17
Ron Ryckman,/Users/patrick/nra_score_map/img/ks/rep_ryckman_jr_ron_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_ryckman_jr_ron_1.jpg,Republican,ks,House,78
Brenda Dietrich,/Users/patrick/nra_score_map/img/ks/rep_dietrich_brenda_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_dietrich_brenda_1.jpg,Republican,ks,House,52
Les Mason,/Users/patrick/nra_score_map/img/ks/rep_mason_les_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_mason_les_1.jpg,Republican,ks,House,73
Tom Holland,/Users/patrick/nra_score_map/img/ks/sen_holland_tom_1.jpg,http://www.kslegislature.org/li/m/images/pics/sen_holland_tom_1.jpg,Democratic,ks,Senate,3
Jesse Burris,/Users/patrick/nra_score_map/img/ks/rep_burris_jesse_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_burris_jesse_1.jpg,Republican,ks,House,82
Tom Burroughs,/Users/patrick/nra_score_map/img/ks/rep_burroughs_tom_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_burroughs_tom_1.jpg,Democratic,ks,House,33
Tory Marie Arnberger,/Users/patrick/nra_score_map/img/ks/rep_arnberger_tory_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_arnberger_tory_1.jpg,Republican,ks,House,112
Jim Ward,/Users/patrick/nra_score_map/img/ks/rep_ward_jim_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_ward_jim_1.jpg,Democratic,ks,House,86
Mike Petersen,/Users/patrick/nra_score_map/img/ks/sen_petersen_mike_1.jpg,http://www.kslegislature.org/li/m/images/pics/sen_petersen_mike_1.jpg,Republican,ks,Senate,28
Ed Berger,/Users/patrick/nra_score_map/img/ks/sen_berger_ed_1.jpg,http://www.kslegislature.org/li/m/images/pics/sen_berger_ed_1.jpg,Republican,ks,Senate,34
Susan Concannon,/Users/patrick/nra_score_map/img/ks/rep_concannon_susan_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_concannon_susan_1.jpg,Republican,ks,House,107
Steve Huebert,/Users/patrick/nra_score_map/img/ks/rep_huebert_steve_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_huebert_steve_1.jpg,Republican,ks,House,90
Don Hineman,/Users/patrick/nra_score_map/img/ks/rep_hineman_don_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_hineman_don_1.jpg,Republican,ks,House,118
Barbara Ballard,/Users/patrick/nra_score_map/img/ks/rep_ballard_barbara_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_ballard_barbara_1.jpg,Democratic,ks,House,44
Emil Bergquist,/Users/patrick/nra_score_map/img/ks/rep_bergquist_emil_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_bergquist_emil_1.jpg,Republican,ks,House,91
Anthony Hensley,/Users/patrick/nra_score_map/img/ks/sen_hensley_anthony_1.jpg,http://www.kslegislature.org/li/m/images/pics/sen_hensley_anthony_1.jpg,Democratic,ks,Senate,19
Dan Goddard,/Users/patrick/nra_score_map/img/ks/sen_goddard_dan_1.jpg,http://www.kslegislature.org/li/m/images/pics/sen_goddard_dan_1.jpg,Republican,ks,Senate,15
Michael Houser,/Users/patrick/nra_score_map/img/ks/rep_houser_michael_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_houser_michael_1.jpg,Republican,ks,House,1
Jim Karleskint,/Users/patrick/nra_score_map/img/ks/rep_karleskint_jim_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_karleskint_jim_1.jpg,Republican,ks,House,42
Steven Johnson,/Users/patrick/nra_score_map/img/ks/rep_johnson_steven_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_johnson_steven_1.jpg,Republican,ks,House,108
David Haley,/Users/patrick/nra_score_map/img/ks/sen_haley_david_1.jpg,http://www.kslegislature.org/li/m/images/pics/sen_haley_david_1.jpg,Democratic,ks,Senate,4
Mark Schreiber,/Users/patrick/nra_score_map/img/ks/rep_schreiber_mark_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_schreiber_mark_1.jpg,Republican,ks,House,60
Joe Seiwert,/Users/patrick/nra_score_map/img/ks/rep_seiwert_joe_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_seiwert_joe_1.jpg,Republican,ks,House,101
Tom Phillips,/Users/patrick/nra_score_map/img/ks/rep_phillips_thomas_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_phillips_thomas_1.jpg,Republican,ks,House,67
Lonnie Clark,/Users/patrick/nra_score_map/img/ks/rep_clark_lonnie_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_clark_lonnie_1.jpg,Republican,ks,House,65
Randy Garber,/Users/patrick/nra_score_map/img/ks/rep_garber_randy_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_garber_randy_1.jpg,Republican,ks,House,62
Kristey Williams,/Users/patrick/nra_score_map/img/ks/rep_williams_kristey_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_williams_kristey_1.jpg,Republican,ks,House,77
John Alcala,/Users/patrick/nra_score_map/img/ks/rep_alcala_john_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_alcala_john_1.jpg,Democratic,ks,House,57
Kathy Wolfe Moore,/Users/patrick/nra_score_map/img/ks/rep_wolfe_moore_kathy_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_wolfe_moore_kathy_1.jpg,Democratic,ks,House,36
"Dennis ""Boog"" Highberger",/Users/patrick/nra_score_map/img/ks/rep_highberger_dennis_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_highberger_dennis_1.jpg,Democratic,ks,House,46
Oletha Faust-Goudeau,/Users/patrick/nra_score_map/img/ks/sen_faust_goudeau_oletha_1.jpg,http://www.kslegislature.org/li/m/images/pics/sen_faust_goudeau_oletha_1.jpg,Democratic,ks,Senate,29
Kent Thompson,/Users/patrick/nra_score_map/img/ks/rep_thompson_kent_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_thompson_kent_1.jpg,Republican,ks,House,9
Nancy Lusk,/Users/patrick/nra_score_map/img/ks/rep_lusk_nancy_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_lusk_nancy_1.jpg,Democratic,ks,House,22
Rick Wilborn,/Users/patrick/nra_score_map/img/ks/sen_wilborn_rick_1.jpg,http://www.kslegislature.org/li/m/images/pics/sen_wilborn_rick_1.jpg,Republican,ks,Senate,35
Valdenia Winn,/Users/patrick/nra_score_map/img/ks/rep_winn_valdenia_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_winn_valdenia_1.jpg,Democratic,ks,House,34
Jarrod Ousley,/Users/patrick/nra_score_map/img/ks/rep_ousley_jarrod_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_ousley_jarrod_1.jpg,Democratic,ks,House,24
Trevor Jacobs,/Users/patrick/nra_score_map/img/ks/rep_jacobs_trevor_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_jacobs_trevor_1.jpg,Republican,ks,House,4
Randall Hardy,/Users/patrick/nra_score_map/img/ks/sen_hardy_randall_1.jpg,http://www.kslegislature.org/li/m/images/pics/sen_hardy_randall_1.jpg,Republican,ks,Senate,24
Ty Masterson,/Users/patrick/nra_score_map/img/ks/sen_masterson_ty_1.jpg,http://www.kslegislature.org/li/m/images/pics/sen_masterson_ty_1.jpg,Republican,ks,Senate,16
John Skubal,/Users/patrick/nra_score_map/img/ks/sen_skubal_john_1.jpg,http://www.kslegislature.org/li/m/images/pics/sen_skubal_john_1.jpg,Republican,ks,Senate,11
Tom Cox,/Users/patrick/nra_score_map/img/ks/rep_cox_tom_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_cox_tom_1.jpg,Republican,ks,House,17
Daniel Hawkins,/Users/patrick/nra_score_map/img/ks/rep_hawkins_daniel_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_hawkins_daniel_1.jpg,Republican,ks,House,100
Leo Delperdang,/Users/patrick/nra_score_map/img/ks/rep_delperdang_leo_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_delperdang_leo_1.jpg,Republican,ks,House,94
Henry Helgerson,/Users/patrick/nra_score_map/img/ks/rep_helgerson_henry_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_helgerson_henry_1.jpg,Democratic,ks,House,83
Tom Hawk,/Users/patrick/nra_score_map/img/ks/sen_hawk_tom_1.jpg,http://www.kslegislature.org/li/m/images/pics/sen_hawk_tom_1.jpg,Democratic,ks,Senate,22
Boyd Orr,/Users/patrick/nra_score_map/img/ks/rep_orr_boyd_1.jpg,http://www.kslegislature.org/li/m/images/pics/rep_orr_boyd_1.jpg,Republican,ks,House,115
