name,image_filepath,original_image_url,party,state,chamber,district
Jack O'Malley,/Users/patrick/nra_score_map/img/mi/HS_OMalley_0119-214x300.jpg,http://gophouse.org/wp-content/uploads/2019/01/HS_OMalley_0119-214x300.jpg,Republican,mi,House,101
Isaac Robinson,/Users/patrick/nra_score_map/img/mi/004_Robinson.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D004_Isaac_Robinson/004_Robinson.jpg,Democratic,mi,House,4
Annette Glenn,/Users/patrick/nra_score_map/img/mi/Annette-Glenn.jpg,http://gophouse.org/wp-content/uploads/2018/12/Annette-Glenn.jpg,Republican,mi,House,98
Phil Green,/Users/patrick/nra_score_map/img/mi/HS_GREEN_1218_DSC_9338-214x300.jpg,http://gophouse.org/wp-content/uploads/2019/01/HS_GREEN_1218_DSC_9338-214x300.jpg,Republican,mi,House,84
Graham Filler,/Users/patrick/nra_score_map/img/mi/HS_FILLER_0119_DSC_0077-214x300.jpg,http://gophouse.org/wp-content/uploads/2019/01/HS_FILLER_0119_DSC_0077-214x300.jpg,Republican,mi,House,93
Jim Haadsma,/Users/patrick/nra_score_map/img/mi/062_Haadsma.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D062_Jim_Haadsma/062_Haadsma.jpg,Democratic,mi,House,62
Sarah Lightner,/Users/patrick/nra_score_map/img/mi/HS_LIGHTNER_0119-214x300.jpg,http://gophouse.org/wp-content/uploads/2019/01/HS_LIGHTNER_0119-214x300.jpg,Republican,mi,House,65
Karen Whitsett,/Users/patrick/nra_score_map/img/mi/009_Whitsett.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D009_Karen_Whitsett/009_Whitsett.jpg,Democratic,mi,House,9
Dan Lauwers,/Users/patrick/nra_score_map/img/mi/hr81-197x300.jpg,http://gophouse.org/wp-content/uploads/hr81-197x300.jpg,Republican,mi,Senate,25
Joe Tate,/Users/patrick/nra_score_map/img/mi/002_Tate.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D002_Joe_Tate/002_Tate.jpg,Democratic,mi,House,2
Brad Paquette,/Users/patrick/nra_score_map/img/mi/Brad-Paquette.jpg,http://gophouse.org/wp-content/uploads/2018/12/Brad-Paquette.jpg,Republican,mi,House,78
Pauline Wendzel,/Users/patrick/nra_score_map/img/mi/HS_WENDZEL_1218_DSC_9364-214x300.jpg,http://gophouse.org/wp-content/uploads/2019/01/HS_WENDZEL_1218_DSC_9364-214x300.jpg,Republican,mi,House,79
Matt Hall,/Users/patrick/nra_score_map/img/mi/Updated-Headshot-214x300.jpg,http://gophouse.org/wp-content/uploads/2019/01/Updated-Headshot-214x300.jpg,Republican,mi,House,63
Kara Hope,/Users/patrick/nra_score_map/img/mi/067_Hope.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D067_Kara_Hope/067_Hope.jpg,Democratic,mi,House,67
Lynn Afendoulis,/Users/patrick/nra_score_map/img/mi/HS_AFNDOULIS_0119-214x300.jpg,http://gophouse.org/wp-content/uploads/2019/01/HS_AFNDOULIS_0119-214x300.jpg,Republican,mi,House,73
John Cherry,/Users/patrick/nra_score_map/img/mi/049_Cherry.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D049_John_Cherry/049_Cherry.jpg,Democratic,mi,House,49
Laurie Pohutsky,/Users/patrick/nra_score_map/img/mi/019_Pohutsky.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D019_Laurie_Pohutsky/019_Pohutsky.jpg,Democratic,mi,House,19
Lori Stone,/Users/patrick/nra_score_map/img/mi/028_Stone.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D028_Lori_Stone/028_Stone.jpg,Democratic,mi,House,28
Rodney Wakeman,/Users/patrick/nra_score_map/img/mi/HS_WAKEMAN_0119_DSC_0248-214x300.jpg,http://gophouse.org/wp-content/uploads/2019/01/HS_WAKEMAN_0119_DSC_0248-214x300.jpg,Republican,mi,House,94
Bradley Slagh,/Users/patrick/nra_score_map/img/mi/HS_SLAGH_0119-214x300.jpg,http://gophouse.org/wp-content/uploads/2019/01/HS_SLAGH_0119-214x300.jpg,Republican,mi,House,90
Julie Brixie,/Users/patrick/nra_score_map/img/mi/069_Brixie.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D069_Julie_Brixie/069_Brixie.jpg,Democratic,mi,House,69
Douglas Wozniak,/Users/patrick/nra_score_map/img/mi/Douglas-Wozniak.jpg,http://gophouse.org/wp-content/uploads/2018/12/Douglas-Wozniak.jpg,Republican,mi,House,36
Cynthia A. Johnson,/Users/patrick/nra_score_map/img/mi/005_Johnson.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D005_Cynthia_Johnson/005_Johnson.jpg,Democratic,mi,House,5
Greg VanWoerkom,/Users/patrick/nra_score_map/img/mi/Greg-VanWoerkom.jpg,http://gophouse.org/wp-content/uploads/2018/12/Greg-VanWoerkom.jpg,Republican,mi,House,91
Kyra Bolden,/Users/patrick/nra_score_map/img/mi/035_Bolden.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D035_Kyra_Bolden/035_Bolden.jpg,Democratic,mi,House,35
Ryan Berman,/Users/patrick/nra_score_map/img/mi/HS_BERMAN_0119_DSC_1410-214x300.jpg,http://gophouse.org/wp-content/uploads/2019/01/HS_BERMAN_0119_DSC_1410-214x300.jpg,Republican,mi,House,39
Matt Maddock,/Users/patrick/nra_score_map/img/mi/HS_MADDOCK_0119-214x300.jpg,http://gophouse.org/wp-content/uploads/2019/01/HS_MADDOCK_0119-214x300.jpg,Republican,mi,House,44
Mike Mueller,/Users/patrick/nra_score_map/img/mi/HS_MULLER_1218_DSC_9358-214x300.jpg,http://gophouse.org/wp-content/uploads/2019/01/HS_MULLER_1218_DSC_9358-214x300.jpg,Republican,mi,House,51
Brenda Carter,/Users/patrick/nra_score_map/img/mi/029_Carter.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D029_Brenda_Carter/029_Carter.jpg,Democratic,mi,House,29
Roger Victory,/Users/patrick/nra_score_map/img/mi/hr88-196x300.jpg,http://gophouse.org/wp-content/uploads/hr88-196x300.jpg,Republican,mi,Senate,30
Angela Witwer,/Users/patrick/nra_score_map/img/mi/071_Witwer.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D071_Angela_Witwer/071_Witwer.jpg,Democratic,mi,House,71
Tyrone Carter,/Users/patrick/nra_score_map/img/mi/006_Carter.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D006_Tyrone_Carter/006_Carter.jpg,Democratic,mi,House,6
Ann Bollin,/Users/patrick/nra_score_map/img/mi/Ann-Bollin.jpg,http://gophouse.org/wp-content/uploads/2018/12/Ann-Bollin.jpg,Republican,mi,House,42
Kim LaSata,/Users/patrick/nra_score_map/img/mi/HS_LaSata_0117_DSC0614-214x300.jpg,http://gophouse.org/wp-content/uploads/2017/01/HS_LaSata_0117_DSC0614-214x300.jpg,Republican,mi,Senate,21
Curt VanderWall,/Users/patrick/nra_score_map/img/mi/HS_VanDERWALL_1216-214x300.jpg,http://gophouse.org/wp-content/uploads/2017/04/HS_VanDERWALL_1216-214x300.jpg,Republican,mi,Senate,35
Jim Runestad,/Users/patrick/nra_score_map/img/mi/RUNESTAD_DSC0856_CC-682x1024-200x300.jpg,http://gophouse.org/wp-content/uploads/2017/09/RUNESTAD_DSC0856_CC-682x1024-200x300.jpg,Republican,mi,Senate,15
Matt Koleszar,/Users/patrick/nra_score_map/img/mi/020_Koleszar.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D020_Matt_Koleszar/020_Koleszar.jpg,Democratic,mi,House,20
Mark Huizenga,/Users/patrick/nra_score_map/img/mi/HS_HUIZENGA_0119-214x300.jpg,http://gophouse.org/wp-content/uploads/2019/01/HS_HUIZENGA_0119-214x300.jpg,Republican,mi,House,74
Andrea Schroeder,/Users/patrick/nra_score_map/img/mi/HS_SCHRODER_0119.jpg,http://gophouse.org/wp-content/uploads/2019/01/HS_SCHRODER_0119.jpg,Republican,mi,House,43
Kevin Coleman,/Users/patrick/nra_score_map/img/mi/016_Coleman.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D016_Kevin_Coleman/016_Coleman.jpg,Democratic,mi,House,16
Sheryl Kennedy,/Users/patrick/nra_score_map/img/mi/048_Kennedy.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D048_Sheryl_Kennedy/048_Kennedy.jpg,Democratic,mi,House,48
Gary Eisen,/Users/patrick/nra_score_map/img/mi/Gary-Eisen-2.jpg,http://gophouse.org/wp-content/uploads/2018/12/Gary-Eisen-2.jpg,Republican,mi,House,81
Rebekah Warren,/Users/patrick/nra_score_map/img/mi/055_Warren.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D055_Rebekah_Warren/055_Warren.jpg,Democratic,mi,House,55
Padma Kuppa,/Users/patrick/nra_score_map/img/mi/041_Kuppa.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D041_Padma_Kuppa/041_Kuppa.jpg,Democratic,mi,House,41
Lana Theis,/Users/patrick/nra_score_map/img/mi/DSC0816_CC-768x1154.jpg,http://gophouse.org/wp-content/uploads/2017/01/DSC0816_CC-768x1154.jpg,Republican,mi,Senate,22
Tom Barrett,/Users/patrick/nra_score_map/img/mi/HS_Barrett_0117_DSC0729-214x300.jpg,http://gophouse.org/wp-content/uploads/2017/01/HS_Barrett_0117_DSC0729-214x300.jpg,Republican,mi,Senate,24
Gregory Markkanen,/Users/patrick/nra_score_map/img/mi/HS_MARKKAMEN_0119-214x300.jpg,http://gophouse.org/wp-content/uploads/2019/01/HS_MARKKAMEN_0119-214x300.jpg,Republican,mi,House,110
Rachel Hood,/Users/patrick/nra_score_map/img/mi/076_Hood.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D076_Rachel_Hood/076_Hood.jpg,Democratic,mi,House,76
Alex Garza,/Users/patrick/nra_score_map/img/mi/012_Garza.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D012_Alex_Garza/012_Garza.jpg,Democratic,mi,House,12
Sarah Anthony,/Users/patrick/nra_score_map/img/mi/eheadshot.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D068_Sarah_Anthony/eheadshot.jpg,Democratic,mi,House,68
Nate Shannon,/Users/patrick/nra_score_map/img/mi/025_Shannon.jpg,https://housedems.com/sites/default/files/Images/Representative_Images/D025_Nate_Shannon/025_Shannon.jpg,Democratic,mi,House,25
