name,image_filepath,original_image_url,party,state,chamber,district
Scott Hammond,/Users/patrick/nra_score_map/img/nv/Hammond.Scott.143.jpg,https://leg.state.nv.us/Session/80th2019/legislators/Senators/Images/Hammond.Scott.143.jpg,Republican,nv,Senate,18
Al Kramer,/Users/patrick/nra_score_map/img/nv/Kramer.Al.342.jpg,https://leg.state.nv.us/Session/80th2019/legislators/Assembly/Images/Kramer.Al.342.jpg,Republican,nv,Assembly,40
James A. Settelmeyer,/Users/patrick/nra_score_map/img/nv/Settelmeyer.James.74.jpg,https://leg.state.nv.us/Session/80th2019/legislators/Senators/Images/Settelmeyer.James.74.jpg,Republican,nv,Senate,17
Robin L. Titus,/Users/patrick/nra_score_map/img/nv/Titus.Robin.281.jpg,https://leg.state.nv.us/Session/80th2019/legislators/Assembly/Images/Titus.Robin.281.jpg,Republican,nv,Assembly,38
Heidi Swank,/Users/patrick/nra_score_map/img/nv/Swank.Heidi.235.jpg,https://leg.state.nv.us/Session/80th2019/legislators/Assembly/Images/Swank.Heidi.235.jpg,Democratic,nv,Assembly,16
Yvanna D. Cancela,/Users/patrick/nra_score_map/img/nv/Cancela.Yvanna.349.jpg,https://leg.state.nv.us/Session/80th2019/legislators/Senators/Images/Cancela.Yvanna.349.jpg,Democratic,nv,Senate,10
Moises (Mo) Denis,/Users/patrick/nra_score_map/img/nv/Denis.Moises.11.jpg,https://leg.state.nv.us/Session/80th2019/legislators/Senators/Images/Denis.Moises.11.jpg,Democratic,nv,Senate,2
Jill Tolles,/Users/patrick/nra_score_map/img/nv/Tolles.Jill.326.jpg,https://leg.state.nv.us/Session/80th2019/legislators/Assembly/Images/Tolles.Jill.326.jpg,Republican,nv,Assembly,25
Chris Edwards,/Users/patrick/nra_score_map/img/nv/Edwards.Chris.279.jpg,https://leg.state.nv.us/Session/80th2019/legislators/Assembly/Images/Edwards.Chris.279.jpg,Republican,nv,Assembly,19
Steve Yeager,/Users/patrick/nra_score_map/img/nv/Yeager.Steve.310.jpg,https://leg.state.nv.us/Session/80th2019/legislators/Assembly/Images/Yeager.Steve.310.jpg,Democratic,nv,Assembly,9
Richard Carrillo,/Users/patrick/nra_score_map/img/nv/Carrillo.Richard.116.jpg,https://leg.state.nv.us/Session/80th2019/legislators/Assembly/Images/Carrillo.Richard.116.jpg,Democratic,nv,Assembly,18
David R. Parks,/Users/patrick/nra_score_map/img/nv/Parks.David.34.jpg,https://leg.state.nv.us/Session/80th2019/legislators/Senators/Images/Parks.David.34.jpg,Democratic,nv,Senate,7
Sandra Jauregui,/Users/patrick/nra_score_map/img/nv/Jauregui.Sandra.344.jpg,https://leg.state.nv.us/Session/80th2019/legislators/Assembly/Images/Jauregui.Sandra.344.jpg,Democratic,nv,Assembly,41
Nicole J. Cannizzaro,/Users/patrick/nra_score_map/img/nv/Cannizzaro.Nicole.347.jpg,https://leg.state.nv.us/Session/80th2019/legislators/Senators/Images/Cannizzaro.Nicole.347.jpg,Democratic,nv,Senate,6
John Hambrick,/Users/patrick/nra_score_map/img/nv/Hambrick.John.90.jpg,https://leg.state.nv.us/Session/80th2019/legislators/Assembly/Images/Hambrick.John.90.jpg,Republican,nv,Assembly,2
Julia Ratti,/Users/patrick/nra_score_map/img/nv/Ratti.Julia.294.jpg,https://leg.state.nv.us/Session/80th2019/legislators/Senators/Images/Ratti.Julia.294.jpg,Democratic,nv,Senate,13
Pete Goicoechea,/Users/patrick/nra_score_map/img/nv/Goicoechea.Pete.15.jpg,https://leg.state.nv.us/Session/80th2019/legislators/Senators/Images/Goicoechea.Pete.15.jpg,Republican,nv,Senate,19
Daniele Monroe-Moreno,/Users/patrick/nra_score_map/img/nv/MonroeMoreno.Daniele.307.jpg,https://leg.state.nv.us/Session/80th2019/legislators/Assembly/Images/MonroeMoreno.Daniele.307.jpg,Democratic,nv,Assembly,1
Ellen B. Spiegel,/Users/patrick/nra_score_map/img/nv/Spiegel.Ellen.93.jpg,https://leg.state.nv.us/Session/80th2019/legislators/Assembly/Images/Spiegel.Ellen.93.jpg,Democratic,nv,Assembly,20
Lisa Krasner,/Users/patrick/nra_score_map/img/nv/Krasner.Lisa.327.jpg,https://leg.state.nv.us/Session/80th2019/legislators/Assembly/Images/Krasner.Lisa.327.jpg,Republican,nv,Assembly,26
Maggie Carlton,/Users/patrick/nra_score_map/img/nv/Carlton.Maggie.46.jpg,https://leg.state.nv.us/Session/80th2019/legislators/Assembly/Images/Carlton.Maggie.46.jpg,Democratic,nv,Assembly,14
