name,image_filepath,original_image_url,party,state,chamber,district
Rebecca M. Kislak,/Users/patrick/nra_score_map/img/ri/kislak.jpg,http://www.rilin.state.ri.us/representatives/pictures/kislak.jpg,Democratic,ri,House,4
Joe R. Serodio,/Users/patrick/nra_score_map/img/ri/serodio.jpg,http://www.rilin.state.ri.us/representatives/pictures/serodio.jpg,Democratic,ri,House,64
Samuel W. Bell,/Users/patrick/nra_score_map/img/ri/bell.jpg,http://www.rilin.state.ri.us/Senators/Pictures/bell.jpg,Democratic,ri,Senate,5
Gordon E. Rogers,/Users/patrick/nra_score_map/img/ri/Rogers.jpg,http://www.rilin.state.ri.us/senators/Pictures/Rogers.jpg,Republican,ri,Senate,21
Melissa A. Murray,/Users/patrick/nra_score_map/img/ri/murray.jpg,http://www.rilin.state.ri.us/Senators/Pictures/murray.jpg,Democratic,ri,Senate,24
Liana M. Cassar,/Users/patrick/nra_score_map/img/ri/cassar.jpg,http://www.rilin.state.ri.us/representatives/pictures/cassar.jpg,Democratic,ri,House,66
"John W. Lyle, Jr",/Users/patrick/nra_score_map/img/ri/lyle.jpg,http://www.rilin.state.ri.us/representatives/pictures/lyle.jpg,Republican,ri,House,46
Bridget G. Valverde,/Users/patrick/nra_score_map/img/ri/valverde.jpg,http://www.rilin.state.ri.us/Senators/Pictures/valverde.jpg,Democratic,ri,Senate,35
Bernard A. Hawkins,/Users/patrick/nra_score_map/img/ri/hawkins.jpg,http://www.rilin.state.ri.us/representatives/pictures/hawkins.jpg,Democratic,ri,House,53
Karen Alzate,/Users/patrick/nra_score_map/img/ri/alzate.jpg,http://www.rilin.state.ri.us/representatives/pictures/alzate.jpg,Democratic,ri,House,60
James B. Jackson,/Users/patrick/nra_score_map/img/ri/jackson.jpg,http://www.rilin.state.ri.us/representatives/pictures/jackson.jpg,Democratic,ri,House,26
Valarie J. Lawson,/Users/patrick/nra_score_map/img/ri/lawson.jpg,http://www.rilin.state.ri.us/Senators/Pictures/lawson.jpg,Democratic,ri,Senate,14
Jessica de la Cruz,/Users/patrick/nra_score_map/img/ri/delacruz.jpg,http://www.rilin.state.ri.us/Senators/Pictures/delacruz.jpg,Republican,ri,Senate,23
Mark P. McKenney,/Users/patrick/nra_score_map/img/ri/mckenney.jpg,http://www.rilin.state.ri.us/Senators/Pictures/mckenney.jpg,Democratic,ri,Senate,30
Mario F. Mendez,/Users/patrick/nra_score_map/img/ri/mendez.jpg,http://www.rilin.state.ri.us/representatives/pictures/mendez.jpg,Democratic,ri,House,13
Thomas E. Noret,/Users/patrick/nra_score_map/img/ri/noret.jpg,http://www.rilin.state.ri.us/representatives/pictures/noret.jpg,Democratic,ri,House,25
David J. Place,/Users/patrick/nra_score_map/img/ri/place.jpg,http://www.rilin.state.ri.us/representatives/pictures/place.jpg,Republican,ri,House,47
Justine A. Caldwell,/Users/patrick/nra_score_map/img/ri/caldwell.jpg,http://www.rilin.state.ri.us/representatives/pictures/caldwell.jpg,Democratic,ri,House,30
Christopher T. Millea,/Users/patrick/nra_score_map/img/ri/millea.jpg,http://www.rilin.state.ri.us/representatives/pictures/millea.jpg,Democratic,ri,House,16
Terri Cortvriend,/Users/patrick/nra_score_map/img/ri/cortvriend.jpg,http://www.rilin.state.ri.us/representatives/pictures/cortvriend.jpg,Democratic,ri,House,72
George A Nardone,/Users/patrick/nra_score_map/img/ri/nardone.jpg,http://www.rilin.state.ri.us/representatives/pictures/nardone.jpg,Republican,ri,House,28
