name,image_filepath,original_image_url,party,state,chamber,district
Shedron D. Williams,/Users/patrick/nra_score_map/img/sc/1942187268.jpg,http://www.scstatehouse.gov/images/members/1942187268.jpg,Democratic,sc,House,122
Annie E. McDaniel,/Users/patrick/nra_score_map/img/sc/1221590763.jpg,http://www.scstatehouse.gov/images/members/1221590763.jpg,Democratic,sc,House,41
"Richard A. ""Dick"" Harpootlian",/Users/patrick/nra_score_map/img/sc/0747159001.jpg,http://www.scstatehouse.gov/images/members/0747159001.jpg,Democratic,sc,Senate,20
Adam M. Morgan,/Users/patrick/nra_score_map/img/sc/1370454381.jpg,http://www.scstatehouse.gov/images/members/1370454381.jpg,Republican,sc,House,20
Krystle N. Matthews,/Users/patrick/nra_score_map/img/sc/1694886161.jpg,http://www.scstatehouse.gov/images/members/1694886161.jpg,Democratic,sc,House,117
"Converse A. ""Con"" Chellis, IV",/Users/patrick/nra_score_map/img/sc/0350568140.jpg,http://www.scstatehouse.gov/images/members/0350568140.jpg,Republican,sc,House,94
Seth Rose,/Users/patrick/nra_score_map/img/sc/1584090719.jpg,http://www.scstatehouse.gov/images/members/1584090719.jpg,Democratic,sc,House,72
"Westley P. ""West"" Cox",/Users/patrick/nra_score_map/img/sc/0428693131.jpg,http://www.scstatehouse.gov/images/members/0428693131.jpg,Republican,sc,House,10
"Thomas R. ""Randy"" Ligon",/Users/patrick/nra_score_map/img/sc/1087499870.jpg,http://www.scstatehouse.gov/images/members/1087499870.jpg,Republican,sc,House,43
JA Moore,/Users/patrick/nra_score_map/img/sc/1356818019.jpg,http://www.scstatehouse.gov/images/members/1356818019.jpg,Democratic,sc,House,15
Paula Rawl Calhoon,/Users/patrick/nra_score_map/img/sc/0293181783.jpg,http://www.scstatehouse.gov/images/members/0293181783.jpg,Republican,sc,House,87
Bobby J. Cox,/Users/patrick/nra_score_map/img/sc/0427840858.jpg,http://www.scstatehouse.gov/images/members/0427840858.jpg,Republican,sc,House,21
Kambrell H. Garvin,/Users/patrick/nra_score_map/img/sc/0657954467.jpg,http://www.scstatehouse.gov/images/members/0657954467.jpg,Democratic,sc,House,77
"Leon D. ""Doug"" Gilliam",/Users/patrick/nra_score_map/img/sc/0675426055.jpg,http://www.scstatehouse.gov/images/members/0675426055.jpg,Republican,sc,House,42
"Max T. Hyde, Jr.",/Users/patrick/nra_score_map/img/sc/0914772618.jpg,http://www.scstatehouse.gov/images/members/0914772618.jpg,Republican,sc,House,32
Leola C. Robinson,/Users/patrick/nra_score_map/img/sc/1567045267.jpg,http://www.scstatehouse.gov/images/members/1567045267.jpg,Democratic,sc,House,25
Mandy W. Kimmons,/Users/patrick/nra_score_map/img/sc/0993749881.jpg,http://www.scstatehouse.gov/images/members/0993749881.jpg,Republican,sc,House,97
William H. Bailey,/Users/patrick/nra_score_map/img/sc/0088636353.jpg,http://www.scstatehouse.gov/images/members/0088636353.jpg,Republican,sc,House,104
Stewart O. Jones,/Users/patrick/nra_score_map/img/sc/0952272613.jpg,https://www.scstatehouse.gov/images/members/0952272613.jpg,Republican,sc,House,14
A. Shane Massey,/Users/patrick/nra_score_map/img/sc/1185227131.jpg,http://www.scstatehouse.gov/images/members/1185227131.jpg,Republican,sc,Senate,25
Alan D. Clemmons,/Users/patrick/nra_score_map/img/sc/0353977231.jpg,http://www.scstatehouse.gov/images/members/0353977231.jpg,Republican,sc,House,107
Anne J. Thayer,/Users/patrick/nra_score_map/img/sc/1812499783.jpg,http://www.scstatehouse.gov/images/members/1812499783.jpg,Republican,sc,House,9
Ashley B. Trantham,/Users/patrick/nra_score_map/img/sc/1841477052.jpg,http://www.scstatehouse.gov/images/members/1841477052.jpg,Republican,sc,House,28
Bart T. Blackwell,/Users/patrick/nra_score_map/img/sc/0144318165.jpg,http://www.scstatehouse.gov/images/members/0144318165.jpg,Republican,sc,House,81
Beth E. Bernstein,/Users/patrick/nra_score_map/img/sc/0141477256.jpg,http://www.scstatehouse.gov/images/members/0141477256.jpg,Democratic,sc,House,78
Bill Taylor,/Users/patrick/nra_score_map/img/sc/1811363419.jpg,http://www.scstatehouse.gov/images/members/1811363419.jpg,Republican,sc,House,86
Brad Hutto,/Users/patrick/nra_score_map/img/sc/0912499891.jpg,http://www.scstatehouse.gov/images/members/0912499891.jpg,Democratic,sc,Senate,40
Brandon Michael Newton,/Users/patrick/nra_score_map/img/sc/1418607785.jpg,http://www.scstatehouse.gov/images/members/1418607785.jpg,Republican,sc,House,45
Bruce M. Bryant,/Users/patrick/nra_score_map/img/sc/0234090881.jpg,http://www.scstatehouse.gov/images/members/0234090881.jpg,Republican,sc,House,48
Bruce W. Bannister,/Users/patrick/nra_score_map/img/sc/0103409079.jpg,http://www.scstatehouse.gov/images/members/0103409079.jpg,Republican,sc,House,24
"Cally R. ""Cal"" Forrest",/Users/patrick/nra_score_map/img/sc/0608238564.jpg,http://www.scstatehouse.gov/images/members/0608238564.jpg,Republican,sc,House,39
