name,image_filepath,original_image_url,party,state,chamber,district
Red Dawn Foster,/Users/patrick/nra_score_map/img/sd/LegPlaceholder.png,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Democratic,sd,Senate,27
Fred Deutsch,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Republican,sd,House,4
Dayle Hammock,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Republican,sd,House,31
Lynne DiSanto,/Users/patrick/nra_score_map/img/sd/DiSanto_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/DiSanto_2017.jpg,Republican,sd,Senate,35
Kirk Chaffee,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Republican,sd,House,29
Rocky Blare,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Republican,sd,Senate,21
Caleb Finck,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Republican,sd,House,21
Wayne H Steinhauer,/Users/patrick/nra_score_map/img/sd/Steinhauer_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/Steinhauer_2017.jpg,Republican,sd,Senate,9
Carl E Perry,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Republican,sd,House,3
Randy Gross,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Republican,sd,House,8
Erin Healy,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Democratic,sd,House,14
Tamara St. John,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Republican,sd,House,1
Tony Randolph,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Republican,sd,House,35
Paul R Miskimins,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Republican,sd,House,20
Peri Pourier,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Democratic,sd,House,27
Kaleb Weis,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Republican,sd,House,2
Lance R Koth,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Republican,sd,House,20
V. J. Smith,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Republican,sd,Senate,7
Linda K Duba,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Democratic,sd,House,15
Kelly Sullivan,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Democratic,sd,House,13
Ryan Cwach,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Democratic,sd,House,18
Michael P Saba,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Democratic,sd,House,9
Jess Olson,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Republican,sd,House,34
Rhonda Milstead,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Republican,sd,House,9
Doug Post,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Republican,sd,House,7
Chris P Johnson,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Republican,sd,House,32
Tina L Mulally,,https://sdlegislature.gov/inc/img/LegPlaceholder.png,Republican,sd,House,35
Alan Solano,/Users/patrick/nra_score_map/img/sd/Solano_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/Solano_2017.jpg,Republican,sd,Senate,32
Arthur L Rusch,/Users/patrick/nra_score_map/img/sd/Rusch_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/Rusch_2017.jpg,Republican,sd,Senate,17
Bob Ewing,/Users/patrick/nra_score_map/img/sd/Ewing_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/Ewing_2017.jpg,Republican,sd,Senate,31
Brock L Greenfield,/Users/patrick/nra_score_map/img/sd/Greenfield_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/Greenfield_2017.jpg,Republican,sd,Senate,2
Craig Kennedy,/Users/patrick/nra_score_map/img/sd/Kennedy_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/Kennedy_2017.jpg,Democratic,sd,Senate,18
Deb Soholt,/Users/patrick/nra_score_map/img/sd/Soholt_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/Soholt_2017.jpg,Republican,sd,Senate,14
Ernie Otten,/Users/patrick/nra_score_map/img/sd/Otten_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/Otten_2017.jpg,Republican,sd,Senate,6
Gary L Cammack,/Users/patrick/nra_score_map/img/sd/Cammack_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/Cammack_2017.jpg,Republican,sd,Senate,29
Jack Kolbeck,/Users/patrick/nra_score_map/img/sd/Kolbeck_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/Kolbeck_2017.jpg,Republican,sd,Senate,13
Jeff Monroe,/Users/patrick/nra_score_map/img/sd/Monroe_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/Monroe_2017.jpg,Republican,sd,Senate,24
Jim White,/Users/patrick/nra_score_map/img/sd/White_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/White_2017.jpg,Republican,sd,Senate,22
John Wiik,/Users/patrick/nra_score_map/img/sd/Wiik_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/Wiik_2017.jpg,Republican,sd,Senate,4
Jordan Youngberg,/Users/patrick/nra_score_map/img/sd/Youngberg_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/Youngberg_2017.jpg,Republican,sd,Senate,8
Joshua Klumb,/Users/patrick/nra_score_map/img/sd/Klumb_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/Klumb_2017.jpg,Republican,sd,Senate,20
Margaret A Sutton,/Users/patrick/nra_score_map/img/sd/SuttonM_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/SuttonM_2017.jpg,Republican,sd,Senate,10
Phil Jensen,/Users/patrick/nra_score_map/img/sd/JensenPhil_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/JensenPhil_2017.jpg,Republican,sd,Senate,33
R. Blake Curd,/Users/patrick/nra_score_map/img/sd/Curd_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/Curd_2017.jpg,Republican,sd,Senate,12
Reynold F Nesiba,/Users/patrick/nra_score_map/img/sd/Nesiba_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/Nesiba_2017.jpg,Democratic,sd,Senate,15
Troy Heinert,/Users/patrick/nra_score_map/img/sd/Heinert_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/Heinert_2017.jpg,Democratic,sd,Senate,26
Drew Dennert,/Users/patrick/nra_score_map/img/sd/Dennert_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/Dennert_2017.jpg,Republican,sd,House,3
David Johnson,/Users/patrick/nra_score_map/img/sd/Johnson_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/Johnson_2017.jpg,Republican,sd,House,33
Steve Livermont,/Users/patrick/nra_score_map/img/sd/Livermont_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/Livermont_2017.jpg,Republican,sd,House,27
Timothy R Johns,/Users/patrick/nra_score_map/img/sd/Johns_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/Johns_2017.jpg,Republican,sd,House,31
Scyller J Borglum,/Users/patrick/nra_score_map/img/sd/Borglum_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/Borglum_2017.jpg,Republican,sd,House,32
Sue Peterson,/Users/patrick/nra_score_map/img/sd/PetersonSue_2017.jpg,https://sdlegislature.gov/inc/img/Legislators/PetersonSue_2017.jpg,Republican,sd,House,13
