name,image_filepath,original_image_url,party,state,chamber,district
Paul Rose,/Users/patrick/nra_score_map/img/tn/s32.jpg,http://www.capitol.tn.gov/senate/members/images/s32.jpg,Republican,tn,Senate,32
Jesse Chism,/Users/patrick/nra_score_map/img/tn/h85.jpg,http://www.capitol.tn.gov/house/members/images/h85.jpg,Democratic,tn,House,85
Chris Todd,/Users/patrick/nra_score_map/img/tn/h73.jpg,http://www.capitol.tn.gov/house/members/images/h73.jpg,Republican,tn,House,73
London Lamar,/Users/patrick/nra_score_map/img/tn/h91.jpg,http://www.capitol.tn.gov/house/members/images/h91.jpg,Democratic,tn,House,91
Robin Smith,/Users/patrick/nra_score_map/img/tn/h26.jpg,http://www.capitol.tn.gov/house/members/images/h26.jpg,Republican,tn,House,26
Rick Eldridge,/Users/patrick/nra_score_map/img/tn/h10.jpg,http://www.capitol.tn.gov/house/members/images/h10.jpg,Republican,tn,House,10
Gloria Johnson,/Users/patrick/nra_score_map/img/tn/h13.jpg,http://www.capitol.tn.gov/house/members/images/h13.jpg,Democratic,tn,House,13
Raumesh Akbari,/Users/patrick/nra_score_map/img/tn/s29.jpg,http://www.capitol.tn.gov/senate/members/images/s29.jpg,Democratic,tn,Senate,29
Brandon Ogles,/Users/patrick/nra_score_map/img/tn/h61.jpg,http://www.capitol.tn.gov/house/members/images/h61.jpg,Republican,tn,House,61
Brenda Gilmore,/Users/patrick/nra_score_map/img/tn/s19.jpg,http://www.capitol.tn.gov/senate/members/images/s19.jpg,Democratic,tn,Senate,19
Lowell Russell,/Users/patrick/nra_score_map/img/tn/h21.jpg,http://www.capitol.tn.gov/house/members/images/h21.jpg,Republican,tn,House,21
Bob Freeman,/Users/patrick/nra_score_map/img/tn/h56.jpg,http://www.capitol.tn.gov/house/members/images/h56.jpg,Democratic,tn,House,56
Dave Wright,/Users/patrick/nra_score_map/img/tn/h19.jpg,http://www.capitol.tn.gov/house/members/images/h19.jpg,Republican,tn,House,19
Dawn White,/Users/patrick/nra_score_map/img/tn/s13.jpg,http://www.capitol.tn.gov/senate/members/images/s13.jpg,Republican,tn,Senate,13
Scott Cepicky,/Users/patrick/nra_score_map/img/tn/h64.jpg,http://www.capitol.tn.gov/house/members/images/h64.jpg,Republican,tn,House,64
Clay Doggett,/Users/patrick/nra_score_map/img/tn/h70.jpg,http://www.capitol.tn.gov/house/members/images/h70.jpg,Republican,tn,House,70
Iris Rudder,/Users/patrick/nra_score_map/img/tn/h39.jpg,http://www.capitol.tn.gov/house/members/images/h39.jpg,Republican,tn,House,39
Jason Potts,/Users/patrick/nra_score_map/img/tn/h59.jpg,http://www.capitol.tn.gov/house/members/images/h59.jpg,Democratic,tn,House,59
Mark Cochran,/Users/patrick/nra_score_map/img/tn/h23.jpg,http://www.capitol.tn.gov/house/members/images/h23.jpg,Republican,tn,House,23
Johnny Garrett,/Users/patrick/nra_score_map/img/tn/h45.jpg,http://www.capitol.tn.gov/house/members/images/h45.jpg,Republican,tn,House,45
Bruce Griffey,/Users/patrick/nra_score_map/img/tn/h75.jpg,http://www.capitol.tn.gov/house/members/images/h75.jpg,Republican,tn,House,75
Jason Hodges,/Users/patrick/nra_score_map/img/tn/h67.jpg,http://www.capitol.tn.gov/house/members/images/h67.jpg,Democratic,tn,House,67
Tom Leatherwood,/Users/patrick/nra_score_map/img/tn/h99.jpg,http://www.capitol.tn.gov/house/members/images/h99.jpg,Republican,tn,House,99
Chris Hurt,/Users/patrick/nra_score_map/img/tn/h82.jpg,http://www.capitol.tn.gov/house/members/images/h82.jpg,Republican,tn,House,82
Charlie Baum,/Users/patrick/nra_score_map/img/tn/h37.jpg,http://www.capitol.tn.gov/house/members/images/h37.jpg,Republican,tn,House,37
Rush Bricken,/Users/patrick/nra_score_map/img/tn/h47.jpg,http://www.capitol.tn.gov/house/members/images/h47.jpg,Republican,tn,House,47
Justin Lafferty,/Users/patrick/nra_score_map/img/tn/h89.jpg,http://www.capitol.tn.gov/house/members/images/h89.jpg,Republican,tn,House,89
Vincent Dixie,/Users/patrick/nra_score_map/img/tn/h54.jpg,http://www.capitol.tn.gov/house/members/images/h54.jpg,Democratic,tn,House,54
Esther Helton,/Users/patrick/nra_score_map/img/tn/h30.jpg,http://www.capitol.tn.gov/house/members/images/h30.jpg,Republican,tn,House,30
Mark Hall,/Users/patrick/nra_score_map/img/tn/h24.jpg,http://www.capitol.tn.gov/house/members/images/h24.jpg,Republican,tn,House,24
Yusuf Hakeem,/Users/patrick/nra_score_map/img/tn/h28.jpg,http://www.capitol.tn.gov/house/members/images/h28.jpg,Democratic,tn,House,28
Kirk Haston,/Users/patrick/nra_score_map/img/tn/h72.jpg,http://www.capitol.tn.gov/house/members/images/h72.jpg,Republican,tn,House,72
Katrina Robinson,/Users/patrick/nra_score_map/img/tn/s33.jpg,http://www.capitol.tn.gov/senate/members/images/s33.jpg,Democratic,tn,Senate,33
Andrew Farmer,/Users/patrick/nra_score_map/img/tn/h17.jpg,http://www.capitol.tn.gov/house/members/images/h17.jpg,Republican,tn,House,17
Andy Holt,/Users/patrick/nra_score_map/img/tn/h76.jpg,http://www.capitol.tn.gov/house/members/images/h76.jpg,Republican,tn,House,76
Art Swann,/Users/patrick/nra_score_map/img/tn/s2.jpg,http://www.capitol.tn.gov/senate/members/images/s2.jpg,Republican,tn,Senate,2
Barbara Ward Cooper,/Users/patrick/nra_score_map/img/tn/h86.jpg,http://www.capitol.tn.gov/house/members/images/h86.jpg,Democratic,tn,House,86
Becky Duncan Massey,/Users/patrick/nra_score_map/img/tn/s6.jpg,http://www.capitol.tn.gov/senate/members/images/s6.jpg,Republican,tn,Senate,6
Bill Dunn,/Users/patrick/nra_score_map/img/tn/h16.jpg,http://www.capitol.tn.gov/house/members/images/h16.jpg,Republican,tn,House,16
Bill Sanderson,/Users/patrick/nra_score_map/img/tn/h77.jpg,http://www.capitol.tn.gov/house/members/images/h77.jpg,Republican,tn,House,77
Bo Mitchell,/Users/patrick/nra_score_map/img/tn/h50.jpg,http://www.capitol.tn.gov/house/members/images/h50.jpg,Democratic,tn,House,50
Bo Watson,/Users/patrick/nra_score_map/img/tn/s11.jpg,http://www.capitol.tn.gov/senate/members/images/s11.jpg,Republican,tn,Senate,11
Bob Ramsey,/Users/patrick/nra_score_map/img/tn/h20.jpg,http://www.capitol.tn.gov/house/members/images/h20.jpg,Republican,tn,House,20
Brian Kelsey,/Users/patrick/nra_score_map/img/tn/s31.jpg,http://www.capitol.tn.gov/senate/members/images/s31.jpg,Republican,tn,Senate,31
Bryan Terry,/Users/patrick/nra_score_map/img/tn/h48.jpg,http://www.capitol.tn.gov/house/members/images/h48.jpg,Republican,tn,House,48
Bud Hulsey,/Users/patrick/nra_score_map/img/tn/h2.jpg,http://www.capitol.tn.gov/house/members/images/h2.jpg,Republican,tn,House,2
Cameron Sexton,/Users/patrick/nra_score_map/img/tn/h25.jpg,http://www.capitol.tn.gov/house/members/images/h25.jpg,Republican,tn,House,25
Carson W. (Bill) Beck,/Users/patrick/nra_score_map/img/tn/h51.jpg,http://www.capitol.tn.gov/house/members/images/h51.jpg,Democratic,tn,House,51
Clark Boyd,/Users/patrick/nra_score_map/img/tn/h46.jpg,http://www.capitol.tn.gov/house/members/images/h46.jpg,Republican,tn,House,46
Curtis Halford,/Users/patrick/nra_score_map/img/tn/h79.jpg,http://www.capitol.tn.gov/house/members/images/h79.jpg,Republican,tn,House,79
Curtis Johnson,/Users/patrick/nra_score_map/img/tn/h68.jpg,http://www.capitol.tn.gov/house/members/images/h68.jpg,Republican,tn,House,68
Dale Carr,/Users/patrick/nra_score_map/img/tn/h12.jpg,http://www.capitol.tn.gov/house/members/images/h12.jpg,Republican,tn,House,12
Dan Howell,/Users/patrick/nra_score_map/img/tn/h22.jpg,http://www.capitol.tn.gov/house/members/images/h22.jpg,Republican,tn,House,22
Darren Jernigan,/Users/patrick/nra_score_map/img/tn/h60.jpg,http://www.capitol.tn.gov/house/members/images/h60.jpg,Democratic,tn,House,60
David B. Hawk,/Users/patrick/nra_score_map/img/tn/h5.jpg,http://www.capitol.tn.gov/house/members/images/h5.jpg,Republican,tn,House,5
David Byrd,/Users/patrick/nra_score_map/img/tn/h71.jpg,http://www.capitol.tn.gov/house/members/images/h71.jpg,Republican,tn,House,71
Debra Moody,/Users/patrick/nra_score_map/img/tn/h81.jpg,http://www.capitol.tn.gov/house/members/images/h81.jpg,Republican,tn,House,81
Dennis Powers,/Users/patrick/nra_score_map/img/tn/h36.jpg,http://www.capitol.tn.gov/house/members/images/h36.jpg,Republican,tn,House,36
Dolores R. Gresham,/Users/patrick/nra_score_map/img/tn/s26.jpg,http://www.capitol.tn.gov/senate/members/images/s26.jpg,Republican,tn,Senate,26
Dwayne Thompson,/Users/patrick/nra_score_map/img/tn/h96.jpg,http://www.capitol.tn.gov/house/members/images/h96.jpg,Democratic,tn,House,96
Ed Jackson,/Users/patrick/nra_score_map/img/tn/s27.jpg,http://www.capitol.tn.gov/senate/members/images/s27.jpg,Republican,tn,Senate,27
Ferrell Haile,/Users/patrick/nra_score_map/img/tn/s18.jpg,http://www.capitol.tn.gov/senate/members/images/s18.jpg,Republican,tn,Senate,18
Frank S. Niceley,/Users/patrick/nra_score_map/img/tn/s8.jpg,http://www.capitol.tn.gov/senate/members/images/s8.jpg,Republican,tn,Senate,8
G. A. Hardaway,/Users/patrick/nra_score_map/img/tn/h93.jpg,http://www.capitol.tn.gov/house/members/images/h93.jpg,Democratic,tn,House,93
Gary Hicks,/Users/patrick/nra_score_map/img/tn/h9.jpg,http://www.capitol.tn.gov/house/members/images/h9.jpg,Republican,tn,House,9
Glen Casada,/Users/patrick/nra_score_map/img/tn/h63.jpg,http://www.capitol.tn.gov/house/members/images/h63.jpg,Republican,tn,House,63
"Harold M. Love, Jr.",/Users/patrick/nra_score_map/img/tn/h58.jpg,http://www.capitol.tn.gov/house/members/images/h58.jpg,Democratic,tn,House,58
Jack Johnson,/Users/patrick/nra_score_map/img/tn/s23.jpg,http://www.capitol.tn.gov/senate/members/images/s23.jpg,Republican,tn,Senate,23
James (Micah) Van Huss,/Users/patrick/nra_score_map/img/tn/h6.jpg,http://www.capitol.tn.gov/house/members/images/h6.jpg,Republican,tn,House,6
Janice Bowling,/Users/patrick/nra_score_map/img/tn/s16.jpg,http://www.capitol.tn.gov/senate/members/images/s16.jpg,Republican,tn,Senate,16
Jason Powell,/Users/patrick/nra_score_map/img/tn/h53.jpg,http://www.capitol.tn.gov/house/members/images/h53.jpg,Democratic,tn,House,53
