name,image_filepath,original_image_url,party,state,chamber,district
Gary Gates,/Users/patrick/nra_score_map/img/tx/3920.jpg,https://house.texas.gov/photos/members/3920.jpg,Republican,tx,House,28
Lorraine Birabil,/Users/patrick/nra_score_map/img/tx/3925.jpg,https://house.texas.gov/photos/members/3925.jpg,Democratic,tx,House,100
Anna Eastman,/Users/patrick/nra_score_map/img/tx/3935.jpg,https://house.texas.gov/photos/members/3935.jpg,Democratic,tx,House,148
John Bucy III,/Users/patrick/nra_score_map/img/tx/3595.jpg,https://house.texas.gov/photos/members/3595.jpg,Democratic,tx,House,136
Sheryl Cole,/Users/patrick/nra_score_map/img/tx/3625.jpg,https://house.texas.gov/photos/members/3625.jpg,Democratic,tx,House,46
Carl Sherman Sr.,/Users/patrick/nra_score_map/img/tx/3675.jpg,https://house.texas.gov/photos/members/3675.jpg,Democratic,tx,House,109
Vikki Goodwin,/Users/patrick/nra_score_map/img/tx/3820.jpg,https://house.texas.gov/photos/members/3820.jpg,Democratic,tx,House,47
Abel Herrero,/Users/patrick/nra_score_map/img/tx/3140.jpg,https://house.texas.gov/photos/members/3140.jpg,Democratic,tx,House,34
Alma A. Allen,/Users/patrick/nra_score_map/img/tx/2100.jpg,https://house.texas.gov/photos/members/2100.jpg,Democratic,tx,House,131
Ana Hernandez,/Users/patrick/nra_score_map/img/tx/3155.jpg,https://house.texas.gov/photos/members/3155.jpg,Democratic,tx,House,143
Andrew Murr,/Users/patrick/nra_score_map/img/tx/2965.jpg,https://house.texas.gov/photos/members/2965.jpg,Republican,tx,House,53
Angie Chen Button,/Users/patrick/nra_score_map/img/tx/2510.jpg,https://house.texas.gov/photos/members/2510.jpg,Republican,tx,House,112
"Armando ""Mando"" Martinez ",/Users/patrick/nra_score_map/img/tx/3780.jpg,https://house.texas.gov/photos/members/3780.jpg,Democratic,tx,House,39
Armando Walle,/Users/patrick/nra_score_map/img/tx/4930.jpg,https://house.texas.gov/photos/members/4930.jpg,Democratic,tx,House,140
