name,image_filepath,original_image_url,party,state,chamber,district
Daniel McCay,/Users/patrick/nra_score_map/img/ut/MCCAYD.jpg,https://le.utah.gov/images/legislator/MCCAYD.jpg,Republican,ut,Senate,11
Scott D. Sandall,/Users/patrick/nra_score_map/img/ut/SANDASD.jpg,https://le.utah.gov/images/legislator/SANDASD.jpg,Republican,ut,Senate,17
Suzanne Harrison,/Users/patrick/nra_score_map/img/ut/HARRIS.jpg,https://le.utah.gov/images/legislator/HARRIS.jpg,Democratic,ut,House,32
Jon Hawkins,/Users/patrick/nra_score_map/img/ut/HAWKIJ.jpg,https://le.utah.gov/images/legislator/HAWKIJ.jpg,Republican,ut,House,57
Phil Lyman,/Users/patrick/nra_score_map/img/ut/LYMANP.jpg,https://le.utah.gov/images/legislator/LYMANP.jpg,Republican,ut,House,73
Jen Dailey-Provost,/Users/patrick/nra_score_map/img/ut/DAILEJ.jpg,https://le.utah.gov/images/legislator/DAILEJ.jpg,Democratic,ut,House,24
Stephanie Pitcher,/Users/patrick/nra_score_map/img/ut/PITCHS.jpg,https://le.utah.gov/images/legislator/PITCHS.jpg,Democratic,ut,House,40
Ronald Winterton,/Users/patrick/nra_score_map/img/ut/WINTER.jpg,https://le.utah.gov/images/legislator/WINTER.jpg,Republican,ut,Senate,26
Casey Snider,/Users/patrick/nra_score_map/img/ut/SNIDEC.jpg,https://le.utah.gov/images/legislator/SNIDEC.jpg,Republican,ut,House,5
Jeffrey D. Stenquist,/Users/patrick/nra_score_map/img/ut/STENQJ.jpg,https://le.utah.gov/images/legislator/STENQJ.jpg,Republican,ut,House,51
Melissa Garff Ballard,/Users/patrick/nra_score_map/img/ut/BALLAMG.jpg,https://le.utah.gov/images/legislator/BALLAMG.jpg,Republican,ut,House,20
Kirk A. Cullimore,/Users/patrick/nra_score_map/img/ut/CULLIKA.jpg,https://le.utah.gov/images/legislator/CULLIKA.jpg,Republican,ut,Senate,9
Mark A. Strong,/Users/patrick/nra_score_map/img/ut/STRONMA.jpg,https://le.utah.gov/images/legislator/STRONMA.jpg,Republican,ut,House,41
Dan N. Johnson,/Users/patrick/nra_score_map/img/ut/JOHNSDN.jpg,https://le.utah.gov/images/legislator/JOHNSDN.jpg,Republican,ut,House,4
Joel Ferry,/Users/patrick/nra_score_map/img/ut/FERRYJ.jpg,https://le.utah.gov/images/legislator/FERRYJ.jpg,Republican,ut,House,1
Calvin R. Musselman,/Users/patrick/nra_score_map/img/ut/MUSSECR.jpg,https://le.utah.gov/images/legislator/MUSSECR.jpg,Republican,ut,House,9
Brady Brammer,/Users/patrick/nra_score_map/img/ut/BRAMMB.jpg,https://le.utah.gov/images/legislator/BRAMMB.jpg,Republican,ut,House,27
Andrew Stoddard,/Users/patrick/nra_score_map/img/ut/STODDA.jpg,https://le.utah.gov/images/legislator/STODDA.jpg,Democratic,ut,House,44
Derek Kitchen,/Users/patrick/nra_score_map/img/ut/KITCHDL.jpg,https://le.utah.gov/images/legislator/KITCHDL.jpg,Democratic,ut,Senate,2
Lawanna Shurtliff,/Users/patrick/nra_score_map/img/ut/SHURTLL.jpg,https://le.utah.gov/images/legislator/SHURTLL.jpg,Democratic,ut,House,10
