name,image_filepath,original_image_url,party,state,chamber,district
Ronnie R. Campbell,/Users/patrick/nra_score_map/img/va/H0309,http://memdata.virginiageneralassembly.gov/images/display_image/H0309,Republican,va,House,24
Joseph P. McNamara,/Users/patrick/nra_score_map/img/va/H0308,http://memdata.virginiageneralassembly.gov/images/display_image/H0308,Republican,va,House,8
Ibraheem S. Samirah,/Users/patrick/nra_score_map/img/va/H0310,http://memdata.virginiageneralassembly.gov/images/display_image/H0310,Democratic,va,House,86
Jennifer B. Boysko,,https://apps.lis.virginia.gov/senatepics/newbiopics/Boysko33.jpg,Democratic,va,Senate,33
"A. Benton ""Ben"" Chafin",,https://apps.lis.virginia.gov/senatepics/newbiopics/Chafin38.jpg,Republican,va,Senate,38
Adam P. Ebbin,,https://apps.lis.virginia.gov/senatepics/newbiopics/Ebbin30.jpg,Democratic,va,Senate,30
Alfonso H. Lopez,/Users/patrick/nra_score_map/img/va/H0239,http://memdata.virginiageneralassembly.gov/images/display_image/H0239,Democratic,va,House,49
Amanda F. Chase,,https://apps.lis.virginia.gov/senatepics/newbiopics/Chase11.jpg,Republican,va,Senate,11
Barbara A. Favola,,https://apps.lis.virginia.gov/senatepics/newbiopics/FavolaBW2014.png,Democratic,va,Senate,31
Barry D. Knight,/Users/patrick/nra_score_map/img/va/H0206,http://memdata.virginiageneralassembly.gov/images/display_image/H0206,Republican,va,House,81
Betsy B. Carr,/Users/patrick/nra_score_map/img/va/H0212,http://memdata.virginiageneralassembly.gov/images/display_image/H0212,Democratic,va,House,69
Bill DeSteph,,https://apps.lis.virginia.gov/senatepics/newbiopics/DeSteph08.jpg,Republican,va,Senate,8
Bryce E. Reeves,,https://apps.lis.virginia.gov/senatepics/newbiopics/Reeves.jpg,Republican,va,Senate,17
C. Matthew Fariss,/Users/patrick/nra_score_map/img/va/H0235,http://memdata.virginiageneralassembly.gov/images/display_image/H0235,Republican,va,House,59
C. Todd Gilbert,/Users/patrick/nra_score_map/img/va/H0181,http://memdata.virginiageneralassembly.gov/images/display_image/H0181,Republican,va,House,15
"C.E. Cliff Hayes, Jr.",/Users/patrick/nra_score_map/img/va/H0285,http://memdata.virginiageneralassembly.gov/images/display_image/H0285,Democratic,va,House,77
Charles D. Poindexter,/Users/patrick/nra_score_map/img/va/H0204,http://memdata.virginiageneralassembly.gov/images/display_image/H0204,Republican,va,House,9
"Charles W. Carrico, Sr.",,https://apps.lis.virginia.gov/senatepics/newbiopics/Carrico40.jpg,Republican,va,Senate,40
Charniele L. Herring,/Users/patrick/nra_score_map/img/va/H0208,http://memdata.virginiageneralassembly.gov/images/display_image/H0208,Democratic,va,House,46
Chris L. Hurst,/Users/patrick/nra_score_map/img/va/H0298,http://memdata.virginiageneralassembly.gov/images/display_image/H0298,Democratic,va,House,12
Christopher E. Collins,/Users/patrick/nra_score_map/img/va/H0277,http://memdata.virginiageneralassembly.gov/images/display_image/H0277,Republican,va,House,29
Christopher T. Head,/Users/patrick/nra_score_map/img/va/H0237,http://memdata.virginiageneralassembly.gov/images/display_image/H0237,Republican,va,House,17
Danica A. Roem,/Users/patrick/nra_score_map/img/va/H0303,http://memdata.virginiageneralassembly.gov/images/display_image/H0303,Democratic,va,House,13
"Daniel W. Marshall, III",/Users/patrick/nra_score_map/img/va/H0150,http://memdata.virginiageneralassembly.gov/images/display_image/H0150,Republican,va,House,14
Dave A. LaRock,/Users/patrick/nra_score_map/img/va/H0261,http://memdata.virginiageneralassembly.gov/images/display_image/H0261,Republican,va,House,33
David A. Reid,/Users/patrick/nra_score_map/img/va/H0301,http://memdata.virginiageneralassembly.gov/images/display_image/H0301,Democratic,va,House,32
David L. Bulova,/Users/patrick/nra_score_map/img/va/H0177,http://memdata.virginiageneralassembly.gov/images/display_image/H0177,Democratic,va,House,37
David R. Suetterlein,,https://apps.lis.virginia.gov/senatepics/newbiopics/Sutterlein19.jpg,Republican,va,Senate,19
David W. Marsden,,https://apps.lis.virginia.gov/senatepics/newbiopics/Marsden37.jpg,Democratic,va,Senate,37
Dawn M. Adams,/Users/patrick/nra_score_map/img/va/H0289,http://memdata.virginiageneralassembly.gov/images/display_image/H0289,Democratic,va,House,68
Delores L. McQuinn,/Users/patrick/nra_score_map/img/va/H0207,http://memdata.virginiageneralassembly.gov/images/display_image/H0207,Democratic,va,House,70
Eileen Filler-Corn,/Users/patrick/nra_score_map/img/va/H0229,http://memdata.virginiageneralassembly.gov/images/display_image/H0229,Democratic,va,House,41
Elizabeth R. Guzman,/Users/patrick/nra_score_map/img/va/H0297,http://memdata.virginiageneralassembly.gov/images/display_image/H0297,Democratic,va,House,31
Emily M. Brewer,/Users/patrick/nra_score_map/img/va/H0291,http://memdata.virginiageneralassembly.gov/images/display_image/H0291,Republican,va,House,64
"Emmett W. Hanger, Jr.",,https://apps.lis.virginia.gov/senatepics/newbiopics/Hanger24.jpg,Republican,va,Senate,24
"Frank M. Ruff, Jr.",,https://apps.lis.virginia.gov/senatepics/newbiopics/Ruff15.jpg,Republican,va,Senate,15
George L. Barker,,https://apps.lis.virginia.gov/senatepics/newbiopics/Barker39.jpg,Democratic,va,Senate,39
Glenn R. Davis,/Users/patrick/nra_score_map/img/va/H0257,http://memdata.virginiageneralassembly.gov/images/display_image/H0257,Republican,va,House,84
Hala S. Ayala,/Users/patrick/nra_score_map/img/va/H0290,http://memdata.virginiageneralassembly.gov/images/display_image/H0290,Democratic,va,House,51
"Hyland F. ""Buddy"" Fowler, Jr.",/Users/patrick/nra_score_map/img/va/H0259,http://memdata.virginiageneralassembly.gov/images/display_image/H0259,Republican,va,House,55
Israel D. O'Quinn,/Users/patrick/nra_score_map/img/va/H0242,http://memdata.virginiageneralassembly.gov/images/display_image/H0242,Republican,va,House,5
J. Chapman Petersen,,https://apps.lis.virginia.gov/senatepics/newbiopics/Petersen34.jpg,Democratic,va,Senate,34
"James A. ""Jay"" Leftwich",/Users/patrick/nra_score_map/img/va/H0262,http://memdata.virginiageneralassembly.gov/images/display_image/H0262,Republican,va,House,78
"James E. Edmunds, II",/Users/patrick/nra_score_map/img/va/H0216,http://memdata.virginiageneralassembly.gov/images/display_image/H0216,Republican,va,House,60
James W. Morefield,/Users/patrick/nra_score_map/img/va/H0224,http://memdata.virginiageneralassembly.gov/images/display_image/H0224,Republican,va,House,3
Janet D. Howell,,https://apps.lis.virginia.gov/senatepics/newbiopics/Howell32.jpg,Democratic,va,Senate,32
Jason S. Miyares,/Users/patrick/nra_score_map/img/va/H0283,http://memdata.virginiageneralassembly.gov/images/display_image/H0283,Republican,va,House,82
Jeffrey L. Campbell,/Users/patrick/nra_score_map/img/va/H0255,http://memdata.virginiageneralassembly.gov/images/display_image/H0255,Republican,va,House,6
Jeffrey M. Bourne,/Users/patrick/nra_score_map/img/va/H0288,http://memdata.virginiageneralassembly.gov/images/display_image/H0288,Democratic,va,House,71
Jeion A. Ward,/Users/patrick/nra_score_map/img/va/H0173,http://memdata.virginiageneralassembly.gov/images/display_image/H0173,Democratic,va,House,92
Jennifer Carroll Foy,/Users/patrick/nra_score_map/img/va/H0292,http://memdata.virginiageneralassembly.gov/images/display_image/H0292,Democratic,va,House,2
Jennifer L. McClellan,,https://apps.lis.virginia.gov/senatepics/newbiopics/McClellan09.jpg,Democratic,va,Senate,9
Jeremy S. McPike,,https://apps.lis.virginia.gov/senatepics/newbiopics/McPike29.jpg,Democratic,va,Senate,29
"Jerrauld C. ""Jay"" Jones",/Users/patrick/nra_score_map/img/va/H0299,http://memdata.virginiageneralassembly.gov/images/display_image/H0299,Democratic,va,House,89
Jill Holtzman Vogel,,https://apps.lis.virginia.gov/senatepics/newbiopics/Vogel27.jpg,Republican,va,Senate,27
"John A. Cosgrove, Jr.",,https://apps.lis.virginia.gov/senatepics/newbiopics/cosgrove_john_bw.jpg,Republican,va,Senate,14
"John J. McGuire, III",/Users/patrick/nra_score_map/img/va/H0300,http://memdata.virginiageneralassembly.gov/images/display_image/H0300,Republican,va,House,56
John S. Edwards,,https://apps.lis.virginia.gov/senatepics/newbiopics/Edwards21.jpg,Democratic,va,Senate,21
Joseph C. Lindsey,/Users/patrick/nra_score_map/img/va/H0268,http://memdata.virginiageneralassembly.gov/images/display_image/H0268,Democratic,va,House,90
Karrie K. Delaney,/Users/patrick/nra_score_map/img/va/H0294,http://memdata.virginiageneralassembly.gov/images/display_image/H0294,Democratic,va,House,67
Kathleen Murphy,/Users/patrick/nra_score_map/img/va/H0271,http://memdata.virginiageneralassembly.gov/images/display_image/H0271,Democratic,va,House,34
Kathy J. Byron,/Users/patrick/nra_score_map/img/va/H0115,http://memdata.virginiageneralassembly.gov/images/display_image/H0115,Republican,va,House,22
Kathy K.L. Tran,/Users/patrick/nra_score_map/img/va/H0305,http://memdata.virginiageneralassembly.gov/images/display_image/H0305,Democratic,va,House,42
Kaye Kory,/Users/patrick/nra_score_map/img/va/H0222,http://memdata.virginiageneralassembly.gov/images/display_image/H0222,Democratic,va,House,38
Kelly K. Convirs-Fowler,/Users/patrick/nra_score_map/img/va/H0295,http://memdata.virginiageneralassembly.gov/images/display_image/H0295,Democratic,va,House,21
Kenneth R. Plum,/Users/patrick/nra_score_map/img/va/H0076,http://memdata.virginiageneralassembly.gov/images/display_image/H0076,Democratic,va,House,36
L. Louise Lucas,,https://apps.lis.virginia.gov/senatepics/newbiopics/Lucas2018.jpg,Democratic,va,Senate,18
Lamont Bagby,/Users/patrick/nra_score_map/img/va/H0273,http://memdata.virginiageneralassembly.gov/images/display_image/H0273,Democratic,va,House,74
Lashrecse D. Aird,/Users/patrick/nra_score_map/img/va/H0274,http://memdata.virginiageneralassembly.gov/images/display_image/H0274,Democratic,va,House,63
Lee J. Carter,/Users/patrick/nra_score_map/img/va/H0293,http://memdata.virginiageneralassembly.gov/images/display_image/H0293,Democratic,va,House,50
Les R. Adams,/Users/patrick/nra_score_map/img/va/H0252,http://memdata.virginiageneralassembly.gov/images/display_image/H0252,Republican,va,House,16
"Lionell Spruill, Sr.",,https://apps.lis.virginia.gov/senatepics/newbiopics/Spruill05.jpg,Democratic,va,Senate,5
Luke E. Torian,/Users/patrick/nra_score_map/img/va/H0227,http://memdata.virginiageneralassembly.gov/images/display_image/H0227,Democratic,va,House,52
"Lynwood W. Lewis, Jr.",,https://apps.lis.virginia.gov/senatepics/newbiopics/Lewis.jpg,Democratic,va,Senate,6
M. Keith Hodges,/Users/patrick/nra_score_map/img/va/H0238,http://memdata.virginiageneralassembly.gov/images/display_image/H0238,Republican,va,House,98
M. Kirkland Cox,/Users/patrick/nra_score_map/img/va/H0021,http://memdata.virginiageneralassembly.gov/images/display_image/H0021,Republican,va,House,66
Mamie E. Locke,,https://apps.lis.virginia.gov/senatepics/newbiopics/Locke2012sm.jpg,Democratic,va,Senate,2
"Marcia S. ""Cia"" Price",/Users/patrick/nra_score_map/img/va/H0284,http://memdata.virginiageneralassembly.gov/images/display_image/H0284,Democratic,va,House,95
