name,image_filepath,original_image_url,party,state,chamber,district
Jeremie Dufault,/Users/patrick/nra_score_map/img/wa/dufault.jpg,http://www.leg.wa.gov/House/Representatives/PublishingImages/dufault.jpg,Republican,wa,House,15
Emily Randall,/Users/patrick/nra_score_map/img/wa/randall.jpg,http://www.leg.wa.gov/Senate/Senators/PublishingImages/randall.jpg,Democratic,wa,Senate,26
Dave Paul,/Users/patrick/nra_score_map/img/wa/paul.jpg,http://www.leg.wa.gov/House/Representatives/PublishingImages/paul.jpg,Democratic,wa,House,10
Alex Ybarra,/Users/patrick/nra_score_map/img/wa/ybarra.jpg,http://www.leg.wa.gov/House/Representatives/PublishingImages/ybarra.jpg,Republican,wa,House,13
My-Linh Thai,/Users/patrick/nra_score_map/img/wa/thai.jpg,http://www.leg.wa.gov/House/Representatives/PublishingImages/thai.jpg,Democratic,wa,House,41
Lisa Callan,/Users/patrick/nra_score_map/img/wa/callan.jpg,http://www.leg.wa.gov/House/Representatives/PublishingImages/callan.jpg,Democratic,wa,House,5
Matt Boehnke,/Users/patrick/nra_score_map/img/wa/boehnke.jpg,http://www.leg.wa.gov/House/Representatives/PublishingImages/boehnke.jpg,Republican,wa,House,8
Lauren Davis,/Users/patrick/nra_score_map/img/wa/davis.jpg,http://www.leg.wa.gov/House/Representatives/PublishingImages/davis.jpg,Democratic,wa,House,32
Melanie Morgan,/Users/patrick/nra_score_map/img/wa/morgan.jpg,http://www.leg.wa.gov/House/Representatives/PublishingImages/morgan.jpg,Democratic,wa,House,29
Chris Gildon,/Users/patrick/nra_score_map/img/wa/gildon.jpg,http://www.leg.wa.gov/House/Representatives/PublishingImages/gildon.jpg,Republican,wa,House,25
Larry Hoff,/Users/patrick/nra_score_map/img/wa/hoff.jpg,http://www.leg.wa.gov/House/Representatives/PublishingImages/hoff.jpg,Republican,wa,House,18
Kelly Chambers,/Users/patrick/nra_score_map/img/wa/chambers.jpg,http://www.leg.wa.gov/House/Representatives/PublishingImages/chambers.jpg,Republican,wa,House,25
Jeff Holy,/Users/patrick/nra_score_map/img/wa/holy.jpg,http://www.leg.wa.gov/Senate/Senators/PublishingImages/holy.jpg,Republican,wa,Senate,6
Mona Das,/Users/patrick/nra_score_map/img/wa/das.jpg,http://www.leg.wa.gov/Senate/Senators/PublishingImages/das.jpg,Democratic,wa,Senate,47
Claire Wilson,/Users/patrick/nra_score_map/img/wa/wilsonc.jpg,http://www.leg.wa.gov/Senate/Senators/PublishingImages/wilsonc.jpg,Democratic,wa,Senate,30
Keith Goehner,/Users/patrick/nra_score_map/img/wa/goehner.jpg,http://www.leg.wa.gov/House/Representatives/PublishingImages/goehner.jpg,Republican,wa,House,12
Joe Nguyen,/Users/patrick/nra_score_map/img/wa/nguyen.jpg,http://www.leg.wa.gov/Senate/Senators/PublishingImages/nguyen.jpg,Democratic,wa,Senate,34
Amy Walen,/Users/patrick/nra_score_map/img/wa/walen.jpg,http://www.leg.wa.gov/House/Representatives/PublishingImages/walen.jpg,Democratic,wa,House,48
Jesse Salomon,/Users/patrick/nra_score_map/img/wa/salomon.jpg,http://www.leg.wa.gov/Senate/Senators/PublishingImages/salomon.jpg,Democratic,wa,Senate,32
